Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?ReportConfigurationInDevMode@CNriAgent@MpService@@AEAAJXZ,0x1802fb86e,Defender.NriAgentTestProvider,{F43D3058-073E-4223-A8D9-E34321FA3136},configuration,5,0x0,value:AnsiString(UTF8),Direct-Preceding
?GetAzureAdGroupsWorkerWithRetries@CDeviceControlEngine@@AEAAJAEAV?$vector@VCAzureAdGroup@CommonUtil@@V?$allocator@VCAzureAdGroup@CommonUtil@@@std@@@std@@PEB_W@Z,0x18030e869,Microsoft.Windows.Defender,{7AF898D7-7E0E-518D-5F96-B1E79239484C},DC.AzureAdQueryFailure,5,0x400000000000,"PartA_PrivTags:UInt64, ProductGuid:UnicodeString, EngineVersion:UnicodeString, SigVersion:UnicodeString, AppVersion:UnicodeString, PartnerGuid:UnicodeString, OrgId:UnicodeString, IsBeta:Bool32, IsManaged:Bool32, IsPassiveMode:Bool32, IsSxsPassiveMode:Bool32, ShouldHashIds:Bool32, EngineRing:UInt32, CampRing:UInt32, SignatureRing:UInt32, HRESULT:Int32(HResult)",Direct-Preceding
?RefreshFilterDeviceRegistration@CDeviceControlEngine@@AEAAJXZ,0x180317e6e,Microsoft.Windows.Defender,{7AF898D7-7E0E-518D-5F96-B1E79239484C},DC.ClassRegistrationFailure,5,0x400000000000,"PartA_PrivTags:UInt64, ProductGuid:UnicodeString, EngineVersion:UnicodeString, SigVersion:UnicodeString, AppVersion:UnicodeString, PartnerGuid:UnicodeString, OrgId:UnicodeString, IsBeta:Bool32, IsManaged:Bool32, IsPassiveMode:Bool32, IsSxsPassiveMode:Bool32, ShouldHashIds:Bool32, EngineRing:UInt32, CampRing:UInt32, SignatureRing:UInt32, HRESULT:Int32(HResult), Operation:AnsiString, DeviceClass:UnicodeString, DeviceControlState:UInt32, SecuredDevicesMap:UnicodeString",Direct-Preceding
?RefreshFilterDeviceRegistration@CDeviceControlEngine@@AEAAJXZ,0x180318088,Microsoft.Windows.Defender,{7AF898D7-7E0E-518D-5F96-B1E79239484C},DC.ClassRegistrationFailure,5,0x400000000000,"PartA_PrivTags:UInt64, ProductGuid:UnicodeString, EngineVersion:UnicodeString, SigVersion:UnicodeString, AppVersion:UnicodeString, PartnerGuid:UnicodeString, OrgId:UnicodeString, IsBeta:Bool32, IsManaged:Bool32, IsPassiveMode:Bool32, IsSxsPassiveMode:Bool32, ShouldHashIds:Bool32, EngineRing:UInt32, CampRing:UInt32, SignatureRing:UInt32, HRESULT:Int32(HResult), Operation:AnsiString, DeviceClass:UnicodeString, DeviceControlState:UInt32, SecuredDevicesMap:UnicodeString",Direct-Preceding
?InitializeComponents@CDeviceControlEngine@@AEAAJXZ,0x1803105a1,Microsoft.Windows.Defender,{7AF898D7-7E0E-518D-5F96-B1E79239484C},DC.ComponentInitFailure,5,0x400000000000,"PartA_PrivTags:UInt64, ProductGuid:UnicodeString, EngineVersion:UnicodeString, SigVersion:UnicodeString, AppVersion:UnicodeString, PartnerGuid:UnicodeString, OrgId:UnicodeString, IsBeta:Bool32, IsManaged:Bool32, IsPassiveMode:Bool32, IsSxsPassiveMode:Bool32, ShouldHashIds:Bool32, EngineRing:UInt32, CampRing:UInt32, SignatureRing:UInt32, ComponentName:UnicodeString, HRESULT:Int32(HResult)",Direct-Preceding
?InitializeComponents@CDeviceControlEngine@@AEAAJXZ,0x18031077f,Microsoft.Windows.Defender,{7AF898D7-7E0E-518D-5F96-B1E79239484C},DC.ComponentInitFailure,5,0x400000000000,"PartA_PrivTags:UInt64, ProductGuid:UnicodeString, EngineVersion:UnicodeString, SigVersion:UnicodeString, AppVersion:UnicodeString, PartnerGuid:UnicodeString, OrgId:UnicodeString, IsBeta:Bool32, IsManaged:Bool32, IsPassiveMode:Bool32, IsSxsPassiveMode:Bool32, ShouldHashIds:Bool32, EngineRing:UInt32, CampRing:UInt32, SignatureRing:UInt32, ComponentName:UnicodeString, HRESULT:Int32(HResult)",Direct-Preceding
?InitializeComponents@CDeviceControlEngine@@AEAAJXZ,0x180310941,Microsoft.Windows.Defender,{7AF898D7-7E0E-518D-5F96-B1E79239484C},DC.ComponentInitFailure,5,0x400000000000,"PartA_PrivTags:UInt64, ProductGuid:UnicodeString, EngineVersion:UnicodeString, SigVersion:UnicodeString, AppVersion:UnicodeString, PartnerGuid:UnicodeString, OrgId:UnicodeString, IsBeta:Bool32, IsManaged:Bool32, IsPassiveMode:Bool32, IsSxsPassiveMode:Bool32, ShouldHashIds:Bool32, EngineRing:UInt32, CampRing:UInt32, SignatureRing:UInt32, ComponentName:UnicodeString, HRESULT:Int32(HResult)",Direct-Preceding
?InitializeComponents@CDeviceControlEngine@@AEAAJXZ,0x180310b10,Microsoft.Windows.Defender,{7AF898D7-7E0E-518D-5F96-B1E79239484C},DC.ComponentInitFailure,5,0x400000000000,"PartA_PrivTags:UInt64, ProductGuid:UnicodeString, EngineVersion:UnicodeString, SigVersion:UnicodeString, AppVersion:UnicodeString, PartnerGuid:UnicodeString, OrgId:UnicodeString, IsBeta:Bool32, IsManaged:Bool32, IsPassiveMode:Bool32, IsSxsPassiveMode:Bool32, ShouldHashIds:Bool32, EngineRing:UInt32, CampRing:UInt32, SignatureRing:UInt32, ComponentName:UnicodeString, HRESULT:Int32(HResult)",Direct-Preceding
?InitializeComponents@CDeviceControlEngine@@AEAAJXZ,0x180310d08,Microsoft.Windows.Defender,{7AF898D7-7E0E-518D-5F96-B1E79239484C},DC.ComponentInitFailure,5,0x400000000000,"PartA_PrivTags:UInt64, ProductGuid:UnicodeString, EngineVersion:UnicodeString, SigVersion:UnicodeString, AppVersion:UnicodeString, PartnerGuid:UnicodeString, OrgId:UnicodeString, IsBeta:Bool32, IsManaged:Bool32, IsPassiveMode:Bool32, IsSxsPassiveMode:Bool32, ShouldHashIds:Bool32, EngineRing:UInt32, CampRing:UInt32, SignatureRing:UInt32, ComponentName:UnicodeString, HRESULT:Int32(HResult)",Direct-Preceding
?InitializeComponents@CDeviceControlEngine@@AEAAJXZ,0x180310eda,Microsoft.Windows.Defender,{7AF898D7-7E0E-518D-5F96-B1E79239484C},DC.ComponentInitFailure,5,0x400000000000,"PartA_PrivTags:UInt64, ProductGuid:UnicodeString, EngineVersion:UnicodeString, SigVersion:UnicodeString, AppVersion:UnicodeString, PartnerGuid:UnicodeString, OrgId:UnicodeString, IsBeta:Bool32, IsManaged:Bool32, IsPassiveMode:Bool32, IsSxsPassiveMode:Bool32, ShouldHashIds:Bool32, EngineRing:UInt32, CampRing:UInt32, SignatureRing:UInt32, ComponentName:UnicodeString, HRESULT:Int32(HResult)",Direct-Preceding
