Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?NarratorHomeLaunchedFromSystemTray@NarratorHomeTelemetry@@SAXXZ,0x14003b9e2,Microsoft.Windows.Accessibility.NarratorHome,{2E1FDC26-4250-4850-82D8-2AEF9EAFA3B8},NarratorHomeLaunchedFromSystemTray,5,0x400000000000,PartA_PrivTags:UInt64,CallGraph-d2
?OnCommand@CIntroduceModernKeyboardLayout@@AEAA_JI_K_JAEAH@Z,0x14003c1bb,Microsoft.Windows.Narrator.Asimov,{72D164BF-FD64-4B2B-87A0-62DBCEC9AE2A},ExitNarratorFromDialog,5,0x400000000000,PartA_PrivTags:UInt64,Direct-Preceding
?OnCommand@CIntroduceModernKeyboardLayout@@AEAA_JI_K_JAEAH@Z,0x14003c27a,Microsoft.Windows.Narrator.Asimov,{72D164BF-FD64-4B2B-87A0-62DBCEC9AE2A},KeyboardDialogCheckbox,5,0x400000000000,"PartA_PrivTags:UInt64, CheckedStatus:Bool32",Direct-Preceding
?AddElement@CSearchAndSelect@@UEAAJPEAUIUnknown@@@Z,0x14006cb70,Microsoft.Windows.Narrator.Asimov,{72D164BF-FD64-4B2B-87A0-62DBCEC9AE2A},LaunchSearchAndSelectStop,5,0x200000000000,PartA_PrivTags:UInt64,Direct-Preceding
?AddText@CSearchAndSelect@@UEAAJPEAG0HH@Z,0x14006cf1d,Microsoft.Windows.Narrator.Asimov,{72D164BF-FD64-4B2B-87A0-62DBCEC9AE2A},LaunchSearchAndSelectStop,5,0x200000000000,PartA_PrivTags:UInt64,Direct-Preceding
?Initialize@ModelUpdateErrorDialogNew@@QEAAXXZ,0x140060f26,Microsoft.Windows.Narrator.Asimov,{72D164BF-FD64-4B2B-87A0-62DBCEC9AE2A},ModelUpdateErrorDialogNew::LocalizeXaml,2,0x0,"""Localization failed, empty result."":AnsiString",Direct-Preceding
?CloseWindow@BrailleViewer@@QEAAXXZ,0x140047784,Microsoft.Windows.Narrator.Asimov,{72D164BF-FD64-4B2B-87A0-62DBCEC9AE2A},NarratorBrailleViewerDuration,5,0x400000000000,"PartA_PrivTags:UInt64, time:UInt64, duration:UInt64, SessionID:GUID",Direct-Preceding
?Initialize@BrailleViewer@@QEAAX_K0_N@Z,0x14004d118,Microsoft.Windows.Narrator.Asimov,{72D164BF-FD64-4B2B-87A0-62DBCEC9AE2A},NarratorBrailleViewerStart,5,0x400000000000,"PartA_PrivTags:UInt64, time:UInt64, SessionID:GUID",Direct-Preceding
?CloseWindow@NarratorSpeechHistory@@QEAAXXZ,0x14003f0c3,Microsoft.Windows.Narrator.Asimov,{72D164BF-FD64-4B2B-87A0-62DBCEC9AE2A},NarratorSpeechRecapDuration,5,0x400000000000,"PartA_PrivTags:UInt64, time:UInt64, duration:UInt64, SessionID:GUID",Direct-Preceding
?Initialize@NarratorSpeechHistory@@QEAAXAEBUhstring@winrt@@@Z,0x14003fef3,Microsoft.Windows.Narrator.Asimov,{72D164BF-FD64-4B2B-87A0-62DBCEC9AE2A},NarratorSpeechRecapStart,5,0x400000000000,"PartA_PrivTags:UInt64, time:UInt64, SessionID:GUID",Direct-Preceding
