Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?NotifyFailure@?$ActivityBase@VPrintWorkFlowLogging@@$00$0EAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x18001d065,Microsoft.Windows.Print.WorkFlowBroker,{F69D3E6C-298B-466C-B84F-486E1F21E347},ActivityError,2,0x600000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
?NotifyFailure@?$ActivityBase@VPrintWorkFlowLogging@@$00$0EAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x18001d1ad,Microsoft.Windows.Print.WorkFlowBroker,{F69D3E6C-298B-466C-B84F-486E1F21E347},ActivityError,2,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d2
?Stop@?$ActivityBase@VPrintWorkFlowLogging@@$00$0EAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x18001ddf1,Microsoft.Windows.Print.WorkFlowBroker,{F69D3E6C-298B-466C-B84F-486E1F21E347},ActivityIntermediateStop,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
??$AppId@PEBG@LaunchWorkFlowAppActivity@PrintWorkFlowTelemetry@@QEAAX$$QEAPEBG@Z,0x18001c1ce,Microsoft.Windows.Print.WorkFlowBroker,{F69D3E6C-298B-466C-B84F-486E1F21E347},AppId,5,0x400000000000,PackageFullName:UnicodeString,CallGraph-d2
?StartActivity@AppSessionFinalize@PrintWorkFlowTelemetry@@QEAAXKW4_PWF_SESSION_STATE@Workflow@Printing@Internal@Graphics@Windows@@J@Z,0x1800220f3,Microsoft.Windows.Print.WorkFlowBroker,{F69D3E6C-298B-466C-B84F-486E1F21E347},AppSessionFinalize,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32, SessionId:UInt32, State:UInt32, ErrorCode:Int32",CallGraph-d2
?StopActivity@AppSessionFinalize@PrintWorkFlowTelemetry@@MEAAXXZ,0x180022262,Microsoft.Windows.Print.WorkFlowBroker,{F69D3E6C-298B-466C-B84F-486E1F21E347},AppSessionFinalize,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
?StopActivity@AppSessionFinalize@PrintWorkFlowTelemetry@@MEAAXXZ,0x1800223c7,Microsoft.Windows.Print.WorkFlowBroker,{F69D3E6C-298B-466C-B84F-486E1F21E347},AppSessionFinalize,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
?StartActivity@LaunchWorkFlowAppActivity@PrintWorkFlowTelemetry@@QEAAXKAEBV?$ComPtr@UIWorkflowSession@Workflow@Printing@Internal@Graphics@Windows@@@WRL@Microsoft@@@Z,0x18001db72,Microsoft.Windows.Print.WorkFlowBroker,{F69D3E6C-298B-466C-B84F-486E1F21E347},LaunchWorkFlowAppActivity,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32, SessionId:UInt32, PrinterName:UnicodeString",CallGraph-d2
?StopActivity@LaunchWorkFlowAppActivity@PrintWorkFlowTelemetry@@MEAAXXZ,0x18001dec2,Microsoft.Windows.Print.WorkFlowBroker,{F69D3E6C-298B-466C-B84F-486E1F21E347},LaunchWorkFlowAppActivity,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
?StopActivity@LaunchWorkFlowAppActivity@PrintWorkFlowTelemetry@@MEAAXXZ,0x18001e027,Microsoft.Windows.Print.WorkFlowBroker,{F69D3E6C-298B-466C-B84F-486E1F21E347},LaunchWorkFlowAppActivity,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
