Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?Connect@BluetoothConnectionManager@pos@@UEAAJPEBG@Z,0x180022199,Microsoft.IoT.POS.PrinterProtocolProvider,{A1E769B6-694B-46D3-A804-3A5251D9527E},BluetoothConnectionManager_Connect,5,0x200000000000,Result:Int32(HResult),SingleProvider
?Connect@BluetoothConnectionManager@pos@@UEAAJPEBG@Z,0x180022174,Microsoft.IoT.POS.PrinterProtocolProvider,{A1E769B6-694B-46D3-A804-3A5251D9527E},BluetoothConnectionManager_Connect failed,3,0x200000000000,Result:Int32(HResult),SingleProvider
?Connect@BluetoothConnectionManager@pos@@UEAAJPEBG@Z,0x180022125,Microsoft.IoT.POS.PrinterProtocolProvider,{A1E769B6-694B-46D3-A804-3A5251D9527E},BluetoothConnectionManager_Connect_Fallback,5,0x200000000000,"deviceAddress:UnicodeString, serialPortConnectStatus:Int32(HResult)",SingleProvider
?BeginDeviceEnumeration@CEscPosBaseBluetoothPrinterEnumerator@@UEAAJPEAUIRemotePosProtocolDeviceEnumerationCallback@@E@Z,0x180005f6d,Microsoft.IoT.POS.PrinterProtocolProvider,{A1E769B6-694B-46D3-A804-3A5251D9527E},BluetoothPrinterEnumeratorBeginDeviceEnumeration called,5,0x0,(none),SingleProvider
?CancelDeviceEnumeration@CEscPosBaseBluetoothPrinterEnumerator@@UEAAJXZ,0x180005f9d,Microsoft.IoT.POS.PrinterProtocolProvider,{A1E769B6-694B-46D3-A804-3A5251D9527E},BluetoothPrinterEnumeratorCancelDeviceEnumeration called,5,0x0,(none),SingleProvider
?BeginDeviceEnumeration@CEscPosEpsonNetworkPrinterEnumerator@@UEAAJPEAUIRemotePosProtocolDeviceEnumerationCallback@@E@Z,0x180008904,Microsoft.IoT.POS.PrinterProtocolProvider,{A1E769B6-694B-46D3-A804-3A5251D9527E},CEscPosEpsonNetworkPrinterEnumerator::BeginDeviceEnumeration,4,0x200000000000,hResult:HexInt32,SingleProvider
?BeginDeviceEnumeration@CEscPosStarNetworkPrinterEnumerator@@UEAAJPEAUIRemotePosProtocolDeviceEnumerationCallback@@E@Z,0x1800065a4,Microsoft.IoT.POS.PrinterProtocolProvider,{A1E769B6-694B-46D3-A804-3A5251D9527E},CEscPosStarNetworkPrinterEnumerator::BeginDeviceEnumeration,4,0x200000000000,hResult:HexInt32,SingleProvider
?CancelDeviceEnumeration@CEscPosStarNetworkPrinterEnumerator@@UEAAJXZ,0x180006602,Microsoft.IoT.POS.PrinterProtocolProvider,{A1E769B6-694B-46D3-A804-3A5251D9527E},CEscPosStarNetworkPrinterEnumerator::CancelDeviceEnumeration,5,0x0,(none),SingleProvider
?put_PageModeStation@CPrinterProtocolProvider@pos@@UEAAJW4PosPrinterStation@@@Z,0x180017979,Microsoft.IoT.POS.PrinterProtocolProvider,{A1E769B6-694B-46D3-A804-3A5251D9527E},CPrinterProtocolProvider::put_PageModeStation,5,0x0,"value:UInt32, Result:Int32(HResult)",SingleProvider
?BeginDeviceEnumeration@CEscPosEpsonNetworkPrinterEnumerator@@UEAAJPEAUIRemotePosProtocolDeviceEnumerationCallback@@E@Z,0x180008866,Microsoft.IoT.POS.PrinterProtocolProvider,{A1E769B6-694B-46D3-A804-3A5251D9527E},DeviceEnumerationStarted,5,0x0,(none),SingleProvider
