Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
_lambda_5de14702399efc11a1d59b6ce136cdba_::operator(),0x18003cad2,Microsoft.Windows.Capture.Photography,{2AA2B8DF-8A4E-52A7-8CC7-C72F28293393},GetGeotagAsync,4,0x0,hr:Int32(HResult),Direct-Preceding
_lambda_625609ea0576d4aeb9b384df5ed0d4a7_::operator(),0x18003cbff,Microsoft.Windows.Capture.Photography,{2AA2B8DF-8A4E-52A7-8CC7-C72F28293393},GetGeotagAsync,2,0x0,hr:Int32(HResult),Direct-Preceding
_lambda_13495076ca719b9be31bdf6031f6c52a_::operator(),0x18003c464,Microsoft.Windows.Capture.Photography,{2AA2B8DF-8A4E-52A7-8CC7-C72F28293393},SaveGeotagToFileWithRetryAsyncFailed,2,0x0,"hr:Int32(HResult), iteration:Int32",Direct-Preceding
_lambda_13495076ca719b9be31bdf6031f6c52a_::operator(),0x18003c4d5,Microsoft.Windows.Capture.Photography,{2AA2B8DF-8A4E-52A7-8CC7-C72F28293393},SaveGeotagToFileWithRetryAsyncFailed,2,0x0,"hr:Int32(HResult), iteration:Int32",Direct-Preceding
_lambda_13495076ca719b9be31bdf6031f6c52a_::operator(),0x18003c41c,Microsoft.Windows.Capture.Photography,{2AA2B8DF-8A4E-52A7-8CC7-C72F28293393},SaveGeotagToFileWithRetryAsyncSucceeded,4,0x0,iteration:Int32,Direct-Preceding
_lambda_6f9f2c9dce2418256fa1957ec0e38db5_::operator(),0x18003cdc4,Microsoft.Windows.Capture.Photography,{2AA2B8DF-8A4E-52A7-8CC7-C72F28293393},SaveGeotagWhenFileReadyAsyncFailed,2,0x0,"hr:Int32(HResult), iteration:Int32",Direct-Preceding
_lambda_7125e4d4d47540d9ef530b6e6d18e565_::operator(),0x18003cf13,Microsoft.Windows.Capture.Photography,{2AA2B8DF-8A4E-52A7-8CC7-C72F28293393},SaveGeotagWhenFileReadyAsyncFailed,2,0x0,hr:Int32(HResult),Direct-Preceding
_lambda_6f9f2c9dce2418256fa1957ec0e38db5_::operator(),0x18003cd13,Microsoft.Windows.Capture.Photography,{2AA2B8DF-8A4E-52A7-8CC7-C72F28293393},SaveGeotagWhenFileReadyAsyncSucceeded,4,0x0,"iteration:Int32, timeout:UInt32",Direct-Preceding
_lambda_21e398b560ebe52471563a9c3d5cc950_::operator(),0x18003c809,Microsoft.Windows.Capture.Photography,{2AA2B8DF-8A4E-52A7-8CC7-C72F28293393},SetGeotagAsync,2,0x0,hr:Int32(HResult),Direct-Preceding
_lambda_81035fbc5bd0e33f4ab3848dfe6c806b_::operator(),0x18003cfad,Microsoft.Windows.Capture.Photography,{2AA2B8DF-8A4E-52A7-8CC7-C72F28293393},SetGeotagAsync,4,0x0,hr:Int32(HResult),Direct-Preceding
_lambda_9394343979c7f9e9480eef61066edbd9_::operator(),0x18003d171,Microsoft.Windows.Capture.Photography,{2AA2B8DF-8A4E-52A7-8CC7-C72F28293393},SetGeotagFromGeolocatorAsync,2,0x0,hr:Int32(HResult),Direct-Preceding
_lambda_1737d6b18f07868940bea6f9ad0f06c4_::operator(),0x18003c6d5,Microsoft.Windows.Capture.Photography,{2AA2B8DF-8A4E-52A7-8CC7-C72F28293393},SetGeotagInBrokerInternalAsyncFailed,2,0x0,"hr:Int32(HResult), timeElapsed:UInt32",Direct-Preceding
