Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
FveCheckSuspendBitLockerOnUpgrade,0x180145ec8,FveDetectTelemetry,{B142EB8C-3426-11E7-B687-92EBCB67FE33},FveCheckSuspendBitLockerOnUpgrade,5,0x400000000000,"ShouldSuspendBitlocker:Int32, IsSecureBootBoundOrBindingPossible:UInt8(Boolean), pcrProfile:UInt32, IsOsPreRS1:UInt8(Boolean), AuthUsesFlags:UInt32, hr:Int32, LineNumber:UInt32",Direct-Preceding
?TraceApplyWimResult@TelemetrySession@PushButtonReset@@QEBAXJ@Z,0x18012e126,Microsoft.Windows.PBR,{7339C7D7-8F99-4A30-A3B2-FEC35CA17D56},ApplyWimResult,5,0x800000000000,"sessionID:UnicodeString, timestamp:UInt64, PartA_PrivTags:UInt64, __TlgCV__:AnsiString, errorCode:UInt32",Direct-Preceding
?TraceBitLockerNoStateFile@TelemetrySession@PushButtonReset@@QEBAXXZ,0x18012e23d,Microsoft.Windows.PBR,{7339C7D7-8F99-4A30-A3B2-FEC35CA17D56},BitLockerNoStateFile,5,0x800000000000,"sessionID:UnicodeString, timestamp:UInt64, PartA_PrivTags:UInt64, __TlgCV__:AnsiString",Direct-Preceding
?TraceBitLockerResumeResult@TelemetrySession@PushButtonReset@@QEBAXAEBV?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@J@Z,0x18012e418,Microsoft.Windows.PBR,{7339C7D7-8F99-4A30-A3B2-FEC35CA17D56},BitLockerResumeFinished,5,0x800000000000,"sessionID:UnicodeString, timestamp:UInt64, PartA_PrivTags:UInt64, __TlgCV__:AnsiString, path:UnicodeString, volume:UnicodeString, succeeded:Bool32, errorCode:UInt32",Direct-Preceding
?TraceBitLockerSuspendResult@TelemetrySession@PushButtonReset@@QEBAXAEBV?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@J@Z,0x18012e5f4,Microsoft.Windows.PBR,{7339C7D7-8F99-4A30-A3B2-FEC35CA17D56},BitLockerSuspendFinished,5,0x800000000000,"sessionID:UnicodeString, timestamp:UInt64, PartA_PrivTags:UInt64, __TlgCV__:AnsiString, path:UnicodeString, volume:UnicodeString, succeeded:Bool32, errorCode:UInt32",Direct-Preceding
?TraceBitLockerWinRETrust@TelemetrySession@PushButtonReset@@QEBAX_N@Z,0x18012e70b,Microsoft.Windows.PBR,{7339C7D7-8F99-4A30-A3B2-FEC35CA17D56},BitLockerWinRETrust,5,0x800000000000,"sessionID:UnicodeString, timestamp:UInt64, PartA_PrivTags:UInt64, __TlgCV__:AnsiString, TrustWinRE:Bool32",Direct-Preceding
?TraceBitLockerWinRETrustDetectionFailed@TelemetrySession@PushButtonReset@@QEBAXJ@Z,0x18012e836,Microsoft.Windows.PBR,{7339C7D7-8F99-4A30-A3B2-FEC35CA17D56},BitLockerWinRETrustDetectFailed,5,0x800000000000,"sessionID:UnicodeString, timestamp:UInt64, PartA_PrivTags:UInt64, __TlgCV__:AnsiString, errorCode:UInt32",Direct-Preceding
?TraceBitLockerWipeComplete@TelemetrySession@PushButtonReset@@QEBAXXZ,0x18012e960,Microsoft.Windows.PBR,{7339C7D7-8F99-4A30-A3B2-FEC35CA17D56},BitLockerWipeFinished,5,0x800000000000,"sessionID:UnicodeString, timestamp:UInt64, PartA_PrivTags:UInt64, __TlgCV__:AnsiString, succeeded:Bool32, errorCode:UInt32",Direct-Preceding
?TraceBitLockerWipeFailed@TelemetrySession@PushButtonReset@@QEBAXJ@Z,0x18012ea93,Microsoft.Windows.PBR,{7339C7D7-8F99-4A30-A3B2-FEC35CA17D56},BitLockerWipeFinished,5,0x800000000000,"sessionID:UnicodeString, timestamp:UInt64, PartA_PrivTags:UInt64, __TlgCV__:AnsiString, succeeded:Bool32, errorCode:UInt32",Direct-Preceding
?TraceBootState@TelemetrySession@PushButtonReset@@QEBAXAEBV?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@@Z,0x18012ebcb,Microsoft.Windows.PBR,{7339C7D7-8F99-4A30-A3B2-FEC35CA17D56},BootState,5,0x800000000000,"sessionID:UnicodeString, timestamp:UInt64, PartA_PrivTags:UInt64, __TlgCV__:AnsiString, BsdSummaryInfo:UnicodeString",Direct-Preceding
?TraceCBMRAppxDownloadFailed@TelemetrySession@PushButtonReset@@QEBAXPEBG@Z,0x18012ed97,Microsoft.Windows.PBR,{7339C7D7-8F99-4A30-A3B2-FEC35CA17D56},CBMRAppxDownloadFailed,5,0x800000000000,"packageFamilyName:UnicodeString, sessionID:UnicodeString, timestamp:UInt64, PartA_PrivTags:UInt64, __TlgCV__:AnsiString",Direct-Preceding
?TraceCBMRFolderMissing@TelemetrySession@PushButtonReset@@QEBAXXZ,0x18012ee91,Microsoft.Windows.PBR,{7339C7D7-8F99-4A30-A3B2-FEC35CA17D56},CBMRFolderMissing,5,0x800000000000,"sessionID:UnicodeString, timestamp:UInt64, PartA_PrivTags:UInt64, __TlgCV__:AnsiString",Direct-Preceding
?TraceCBMRInvalidEnvironment@TelemetrySession@PushButtonReset@@QEBAXXZ,0x18012ef95,Microsoft.Windows.PBR,{7339C7D7-8F99-4A30-A3B2-FEC35CA17D56},CBMRInvalidEnvironment,5,0x800000000000,"sessionID:UnicodeString, timestamp:UInt64, PartA_PrivTags:UInt64, __TlgCV__:AnsiString",Direct-Preceding
?TraceClearOfflineCIValidationFailed@TelemetrySession@PushButtonReset@@QEBAXJ@Z,0x18012f0aa,Microsoft.Windows.PBR,{7339C7D7-8F99-4A30-A3B2-FEC35CA17D56},ClearOfflineCIValidationFailed,5,0x800000000000,"sessionID:UnicodeString, timestamp:UInt64, PartA_PrivTags:UInt64, __TlgCV__:AnsiString, errorCode:UInt32",Direct-Preceding
?TraceClearTPMCompleted@TelemetrySession@PushButtonReset@@QEBAXXZ,0x18012f1d4,Microsoft.Windows.PBR,{7339C7D7-8F99-4A30-A3B2-FEC35CA17D56},ClearTPMFinished,5,0x800000000000,"sessionID:UnicodeString, timestamp:UInt64, PartA_PrivTags:UInt64, __TlgCV__:AnsiString, succeeded:Bool32, errorCode:UInt32",Direct-Preceding
