Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
??$_tlgWriteActivityAutoStop@$0A@$04@@YAXPEBU_tlgProvider_t@@PEBU_GUID@@@Z,0x1800066a5,Microsoft.Windows.Security.SmartCards.Bi,{0F1B810E-C19E-48B3-AA52-EE8E840B4F78},ActivityStoppedAutomatically,5,0x0,(none),GlobalFallback
?Initialize@SmartCardBiManagerImpl@@QEAAJXZ,0x180007ee4,Microsoft.Windows.Security.SmartCards.Bi,{0F1B810E-C19E-48B3-AA52-EE8E840B4F78},Error:BrCreateBrokerInstance2Failed,2,0x0,returnValue:Int32,Direct-Preceding
?Initialize@SmartCardBiManagerImpl@@QEAAJXZ,0x180007f20,Microsoft.Windows.Security.SmartCards.Bi,{0F1B810E-C19E-48B3-AA52-EE8E840B4F78},Error:BrCreateBrokerInstance2Failed,2,0x0,returnValue:Int32,Direct-Preceding
_lambda_5a28056e7b967c12f909609614413d29_::operator(),0x1800078a5,Microsoft.Windows.Security.SmartCards.Bi,{0F1B810E-C19E-48B3-AA52-EE8E840B4F78},Error:BrSignalBrokerEvent2Failed,2,0x0,returnValue:Int32,Direct-Preceding
?CreateEventA@SmartCardBiEventManager@@QEAAJPEAU_BROKERED_EVENT@@W4SmartCardTriggerType@SmartCards@Devices@Windows@@@Z,0x180006a67,Microsoft.Windows.Security.SmartCards.Bi,{0F1B810E-C19E-48B3-AA52-EE8E840B4F78},Error:BrokeredEventAlreadyExists,2,0x0,returnValue:Int32,Direct-Preceding
?OnCreateBrokerEvent@SmartCardBiManagerImpl@@CAKW4_BR_EVENT_CALL_REASON@@PEAU_BROKER@@PEAU_BROKERED_EVENT@@PEAU_BR_EVENT_PARAMETERS@@PEBGPEAX55PEAPEAXPEAKPEAU_BR_NEW_EVENT_INFORMATION@@@Z,0x1800081c1,Microsoft.Windows.Security.SmartCards.Bi,{0F1B810E-C19E-48B3-AA52-EE8E840B4F78},Error:InvalidParameterName,2,0x0,returnValue:Int32,Direct-Preceding
?CreateEventA@SmartCardBiEventManager@@QEAAJPEAU_BROKERED_EVENT@@W4SmartCardTriggerType@SmartCards@Devices@Windows@@@Z,0x180006988,Microsoft.Windows.Security.SmartCards.Bi,{0F1B810E-C19E-48B3-AA52-EE8E840B4F78},Error:ParameterBrokeredEventNull,2,0x0,returnValue:Int32,Direct-Preceding
?DeleteEvent@SmartCardBiEventManager@@QEAAJPEAU_BROKERED_EVENT@@@Z,0x180006b01,Microsoft.Windows.Security.SmartCards.Bi,{0F1B810E-C19E-48B3-AA52-EE8E840B4F78},Error:ParameterBrokeredEventNull,2,0x0,returnValue:Int32,Direct-Preceding
?DisableEvent@SmartCardBiEventManager@@QEAAJPEAU_BROKERED_EVENT@@@Z,0x180006c6e,Microsoft.Windows.Security.SmartCards.Bi,{0F1B810E-C19E-48B3-AA52-EE8E840B4F78},Error:ParameterBrokeredEventNull,2,0x0,returnValue:Int32,Direct-Preceding
?EnableEvent@SmartCardBiEventManager@@QEAAJPEAU_BROKERED_EVENT@@@Z,0x180006d1e,Microsoft.Windows.Security.SmartCards.Bi,{0F1B810E-C19E-48B3-AA52-EE8E840B4F78},Error:ParameterBrokeredEventNull,2,0x0,returnValue:Int32,Direct-Preceding
?TriggerEvents@SmartCardBiEventManager@@QEAAJW4SmartCardTriggerType@SmartCards@Devices@Windows@@PEAKV?$function@$$A6AJAEAUSmartCardBiEvent@@@Z@std@@@Z,0x180006f85,Microsoft.Windows.Security.SmartCards.Bi,{0F1B810E-C19E-48B3-AA52-EE8E840B4F78},Error:ParameterNumTriggeredNull,2,0x0,returnValue:Int32,Direct-Preceding
?OnCreateBrokerEvent@SmartCardBiManagerImpl@@CAKW4_BR_EVENT_CALL_REASON@@PEAU_BROKER@@PEAU_BROKERED_EVENT@@PEAU_BR_EVENT_PARAMETERS@@PEBGPEAX55PEAPEAXPEAKPEAU_BR_NEW_EVENT_INFORMATION@@@Z,0x18000821e,Microsoft.Windows.Security.SmartCards.Bi,{0F1B810E-C19E-48B3-AA52-EE8E840B4F78},Error:TriggerTypeNotSupported,2,0x0,returnValue:Int32,Direct-Preceding
?TriggerEvents@SmartCardBiEventManager@@QEAAJW4SmartCardTriggerType@SmartCards@Devices@Windows@@PEAKV?$function@$$A6AJAEAUSmartCardBiEvent@@@Z@std@@@Z,0x180006f12,Microsoft.Windows.Security.SmartCards.Bi,{0F1B810E-C19E-48B3-AA52-EE8E840B4F78},SmartCardBiEventManager::TriggerEvents,5,0x0,triggerType:UInt32,Direct-Preceding
_lambda_bed37c4c7620b9e9cd481bc0b8ff4e7c_::operator(),0x18000688c,Microsoft.Windows.Security.SmartCards.Bi,{0F1B810E-C19E-48B3-AA52-EE8E840B4F78},SmartCardBiEventManager::TriggerEvents,5,0x0,"returnValue:Int32, triggerType:UInt32",Direct-Preceding
?Initialize@SmartCardBiManager@@SAJXZ,0x180007346,Microsoft.Windows.Security.SmartCards.Bi,{0F1B810E-C19E-48B3-AA52-EE8E840B4F78},SmartCardBiManager::Initialize,5,0x0,(none),Direct-Preceding
_lambda_aef14464fa768b16ef43c5543c0f48e0_::operator(),0x180007211,Microsoft.Windows.Security.SmartCards.Bi,{0F1B810E-C19E-48B3-AA52-EE8E840B4F78},SmartCardBiManager::Initialize,5,0x0,returnValue:Int32,Direct-Preceding
?EventTriggeredInternal@SmartCardBiManagerImpl@@AEAAJW4SmartCardTriggerType@SmartCards@Devices@Windows@@PEAEK@Z,0x180007cb9,Microsoft.Windows.Security.SmartCards.Bi,{0F1B810E-C19E-48B3-AA52-EE8E840B4F78},SmartCardBiManagerImpl::EventTriggered,5,0x0,numEventsTriggered:UInt32,Direct-Preceding
_lambda_4e5560e9b650bde8892aab0d450db290_::operator(),0x1800077d0,Microsoft.Windows.Security.SmartCards.Bi,{0F1B810E-C19E-48B3-AA52-EE8E840B4F78},SmartCardBiManagerImpl::EventTriggered,5,0x0,"returnValue:Int32, numEventsTriggered:UInt32",Direct-Preceding
