Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
UpdateTraceProvidersListInvoke,0x180038667,Microsoft.Windows.NetworkController.SdnDiagnosticsTask,{BFDA1346-1327-46CB-9761-959D40C3B68D},BailOnMIFailed,2,0x0,error:AnsiString,SingleProvider
?ChangeTaskState@ProviderHelper@WmiProvider@SDNDiagnostics@Networking@Windows@Microsoft@@SAJHPEAVSDNDiagnosticsWmiContext@23456@@Z,0x18002e69c,Microsoft.Windows.NetworkController.SdnDiagnosticsTask,{BFDA1346-1327-46CB-9761-959D40C3B68D},ChangeTaskStateFailed,2,0x0,hr:Int32(HResult),SingleProvider
EnableInvoke,0x1800380ba,Microsoft.Windows.NetworkController.SdnDiagnosticsTask,{BFDA1346-1327-46CB-9761-959D40C3B68D},CreateLogmanSessionException,2,0x0,error:AnsiString,SingleProvider
EnableInvoke,0x180038272,Microsoft.Windows.NetworkController.SdnDiagnosticsTask,{BFDA1346-1327-46CB-9761-959D40C3B68D},CreateLogmanSessionException,2,0x0,error:AnsiString,SingleProvider
EnableInvoke,0x18003834e,Microsoft.Windows.NetworkController.SdnDiagnosticsTask,{BFDA1346-1327-46CB-9761-959D40C3B68D},CreateLogmanSessionException,2,0x0,error:AnsiString,SingleProvider
EnableInvoke,0x18003842a,Microsoft.Windows.NetworkController.SdnDiagnosticsTask,{BFDA1346-1327-46CB-9761-959D40C3B68D},CreateLogmanSessionException,2,0x0,error:AnsiString,SingleProvider
EnableInvoke,0x18002ce44,Microsoft.Windows.NetworkController.SdnDiagnosticsTask,{BFDA1346-1327-46CB-9761-959D40C3B68D},CryptProtectDataFailed,2,0x0,error:UInt32(Win32Error),SingleProvider
?DeletePreUpgradeDataCollector@@YA_NAEAVRegistryUtilities@Utilities@SDNDiagnostics@Networking@Windows@Microsoft@@@Z,0x18003771d,Microsoft.Windows.NetworkController.SdnDiagnosticsTask,{BFDA1346-1327-46CB-9761-959D40C3B68D},DeleteLogmanSessionException,2,0x0,error:AnsiString,SingleProvider
EnableInvoke,0x18003804c,Microsoft.Windows.NetworkController.SdnDiagnosticsTask,{BFDA1346-1327-46CB-9761-959D40C3B68D},DeleteLogmanSessionException,2,0x0,error:AnsiString,SingleProvider
EnableInvoke,0x180038204,Microsoft.Windows.NetworkController.SdnDiagnosticsTask,{BFDA1346-1327-46CB-9761-959D40C3B68D},DeleteLogmanSessionException,2,0x0,error:AnsiString,SingleProvider
DisableInvoke,0x180037b31,Microsoft.Windows.NetworkController.SdnDiagnosticsTask,{BFDA1346-1327-46CB-9761-959D40C3B68D},DeleteLogmanSessionFailed,2,0x0,error:AnsiString,SingleProvider
DisableInvoke,0x180037c0d,Microsoft.Windows.NetworkController.SdnDiagnosticsTask,{BFDA1346-1327-46CB-9761-959D40C3B68D},DeleteLogmanSessionFailed,2,0x0,error:AnsiString,SingleProvider
DisableInvoke,0x180037cd5,Microsoft.Windows.NetworkController.SdnDiagnosticsTask,{BFDA1346-1327-46CB-9761-959D40C3B68D},DisableInvokeFailed,2,0x0,error:AnsiString,SingleProvider
EnableInvoke,0x180038560,Microsoft.Windows.NetworkController.SdnDiagnosticsTask,{BFDA1346-1327-46CB-9761-959D40C3B68D},EnableInvokeException,2,0x0,error:AnsiString,SingleProvider
EnableInvoke,0x18002d281,Microsoft.Windows.NetworkController.SdnDiagnosticsTask,{BFDA1346-1327-46CB-9761-959D40C3B68D},EnablingLogging,4,0x0,deviceType:UInt32,SingleProvider
?BAIL_ON_HR_ERROR@SDNDiagnosticsMIError@WmiProvider@SDNDiagnostics@Networking@Windows@Microsoft@@SAXJV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@PEAVSDNDiagnosticsWmiContext@23456@@Z,0x18002db39,Microsoft.Windows.NetworkController.SdnDiagnosticsTask,{BFDA1346-1327-46CB-9761-959D40C3B68D},HandleBailOnMIError,2,0x0,"hr:Int32(HResult), message:AnsiString",SingleProvider
?BAIL_ON_WIN32_ERROR@SDNDiagnosticsMIError@WmiProvider@SDNDiagnostics@Networking@Windows@Microsoft@@SAXKV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@PEAVSDNDiagnosticsWmiContext@23456@@Z,0x18002dc4d,Microsoft.Windows.NetworkController.SdnDiagnosticsTask,{BFDA1346-1327-46CB-9761-959D40C3B68D},HandleBailOnMIError,2,0x0,"dwError:UInt32(Win32Error), message:AnsiString",SingleProvider
?BailOnMIError@SDNDiagnosticsMIError@WmiProvider@SDNDiagnostics@Networking@Windows@Microsoft@@SAXW4_MI_Result@@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z,0x18002dd6e,Microsoft.Windows.NetworkController.SdnDiagnosticsTask,{BFDA1346-1327-46CB-9761-959D40C3B68D},HandleBailOnMIError,2,0x0,"MI_Result:UInt32, operation:AnsiString",SingleProvider
?HandleException@SDNDiagnosticsMIError@WmiProvider@SDNDiagnostics@Networking@Windows@Microsoft@@SAXPEAVSDNDiagnosticsWmiContext@23456@AEAVexception@@@Z,0x18003889c,Microsoft.Windows.NetworkController.SdnDiagnosticsTask,{BFDA1346-1327-46CB-9761-959D40C3B68D},HandleMIException,2,0x0,error:AnsiString,SingleProvider
?HandleException@SDNDiagnosticsMIError@WmiProvider@SDNDiagnostics@Networking@Windows@Microsoft@@SAXPEAVSDNDiagnosticsWmiContext@23456@AEAVexception@@@Z,0x18003880e,Microsoft.Windows.NetworkController.SdnDiagnosticsTask,{BFDA1346-1327-46CB-9761-959D40C3B68D},HandleSDNDiagnosticsMIException,2,0x0,MI_Result:UInt32,SingleProvider
EnableInvoke,0x180038506,Microsoft.Windows.NetworkController.SdnDiagnosticsTask,{BFDA1346-1327-46CB-9761-959D40C3B68D},IgnoredWmiException,3,0x0,error:AnsiString,SingleProvider
?DeletePreUpgradeDataCollector@@YA_NAEAVRegistryUtilities@Utilities@SDNDiagnostics@Networking@Windows@Microsoft@@@Z,0x180027420,Microsoft.Windows.NetworkController.SdnDiagnosticsTask,{BFDA1346-1327-46CB-9761-959D40C3B68D},LogLocation,4,0x0,"version:Int32, expectedVersion:Int32",SingleProvider
EnableInvoke,0x18002cd21,Microsoft.Windows.NetworkController.SdnDiagnosticsTask,{BFDA1346-1327-46CB-9761-959D40C3B68D},LogLocation,5,0x0,logLocation:UnicodeString,SingleProvider
DisableInvoke,0x180037c7b,Microsoft.Windows.NetworkController.SdnDiagnosticsTask,{BFDA1346-1327-46CB-9761-959D40C3B68D},SDNDiagnostics_Disable_SetFailed,2,0x0,error:AnsiString,SingleProvider
EnableInvoke,0x180038128,Microsoft.Windows.NetworkController.SdnDiagnosticsTask,{BFDA1346-1327-46CB-9761-959D40C3B68D},StartLogmanSessionException,2,0x0,error:AnsiString,SingleProvider
EnableInvoke,0x1800382e0,Microsoft.Windows.NetworkController.SdnDiagnosticsTask,{BFDA1346-1327-46CB-9761-959D40C3B68D},StartLogmanSessionException,2,0x0,error:AnsiString,SingleProvider
EnableInvoke,0x1800383bc,Microsoft.Windows.NetworkController.SdnDiagnosticsTask,{BFDA1346-1327-46CB-9761-959D40C3B68D},StartLogmanSessionException,2,0x0,error:AnsiString,SingleProvider
EnableInvoke,0x180038498,Microsoft.Windows.NetworkController.SdnDiagnosticsTask,{BFDA1346-1327-46CB-9761-959D40C3B68D},StartLogmanSessionException,2,0x0,error:AnsiString,SingleProvider
EnableInvoke,0x180037fde,Microsoft.Windows.NetworkController.SdnDiagnosticsTask,{BFDA1346-1327-46CB-9761-959D40C3B68D},StopLogmanSessionException,2,0x0,error:AnsiString,SingleProvider
EnableInvoke,0x180038196,Microsoft.Windows.NetworkController.SdnDiagnosticsTask,{BFDA1346-1327-46CB-9761-959D40C3B68D},StopLogmanSessionException,2,0x0,error:AnsiString,SingleProvider
DisableInvoke,0x180037ac3,Microsoft.Windows.NetworkController.SdnDiagnosticsTask,{BFDA1346-1327-46CB-9761-959D40C3B68D},StopLogmanSessionFailed,2,0x0,error:AnsiString,SingleProvider
DisableInvoke,0x180037b9f,Microsoft.Windows.NetworkController.SdnDiagnosticsTask,{BFDA1346-1327-46CB-9761-959D40C3B68D},StopLogmanSessionFailed,2,0x0,error:AnsiString,SingleProvider
EnableInvoke,0x180037f70,Microsoft.Windows.NetworkController.SdnDiagnosticsTask,{BFDA1346-1327-46CB-9761-959D40C3B68D},UpdateLogmanSessionException,2,0x0,error:AnsiString,SingleProvider
UpdateTraceProvidersListInvoke,0x1800385f9,Microsoft.Windows.NetworkController.SdnDiagnosticsTask,{BFDA1346-1327-46CB-9761-959D40C3B68D},UpdateTraceProvidersForLogmanSessionFailed,2,0x0,error:AnsiString,SingleProvider
UpdateTraceProvidersListInvoke,0x1800386c1,Microsoft.Windows.NetworkController.SdnDiagnosticsTask,{BFDA1346-1327-46CB-9761-959D40C3B68D},UpdateTraceProvidersListInvokeFailed,2,0x0,error:AnsiString,SingleProvider
