Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
??$StudioEffectsCurrentCameraChanged@PEBGPEBG@QuickActionsTelemetry@@SAX$$QEAPEBG0@Z,0x1800451be,Microsoft.Windows.Desktop.Shell.QuickActions,{C6BA71AE-658C-5A9B-94F5-B2026290198A},StudioEffectsCurrentCameraChanged,5,0x400000000000,"oldCameraName:UnicodeString, newCameraName:UnicodeString, PartA_PrivTags:UInt64",CallGraph-d2
??$StudioEffectsDeviceDisabledMessageVisible@W4StudioEffectsPageIndex@QuickActionsTelemetry@@@QuickActionsTelemetry@@SAX$$QEAW4StudioEffectsPageIndex@0@@Z,0x18004524c,Microsoft.Windows.Desktop.Shell.QuickActions,{C6BA71AE-658C-5A9B-94F5-B2026290198A},StudioEffectsDeviceDisabledMessageVisible,5,0x400000000000,"type:UInt32, PartA_PrivTags:UInt64",CallGraph-d2
?StudioEffectsIntegratedCameraFound@QuickActionsTelemetry@@SAXXZ,0x180049e36,Microsoft.Windows.Desktop.Shell.QuickActions,{C6BA71AE-658C-5A9B-94F5-B2026290198A},StudioEffectsIntegratedCameraFound,5,0x400000000000,PartA_PrivTags:UInt64,CallGraph-d2
?StudioEffectsOptedInExternalCameraFound@QuickActionsTelemetry@@SAXXZ,0x180049e86,Microsoft.Windows.Desktop.Shell.QuickActions,{C6BA71AE-658C-5A9B-94F5-B2026290198A},StudioEffectsOptedInExternalCameraFound,5,0x400000000000,PartA_PrivTags:UInt64,CallGraph-d2
??$StudioEffectsPrivacyDisabledMessageVisible@W4StudioEffectsPageIndex@QuickActionsTelemetry@@@QuickActionsTelemetry@@SAX$$QEAW4StudioEffectsPageIndex@0@@Z,0x1800452b8,Microsoft.Windows.Desktop.Shell.QuickActions,{C6BA71AE-658C-5A9B-94F5-B2026290198A},StudioEffectsPrivacyDisabledMessageVisible,5,0x400000000000,"type:UInt32, PartA_PrivTags:UInt64",CallGraph-d2
??$StudioEffectsAutomaticFramingChanged@AEA_N@CameraSettingsHandlerTelemetry@@SAXAEA_N@Z,0x18003fbe8,Microsoft.Windows.SystemSettings.SettingsHandlers.Camera,{779C4ED4-290A-43EA-9B3A-650F27C060D1},StudioEffectsAutomaticFramingChanged,5,0x400000000000,"isAutomaticFramingOn:UInt8(Boolean), PartA_PrivTags:UInt64",CallGraph-d2
??$StudioEffectsAutomaticFramingSelected@W4TelemetryAutomaticFraming2@Camera@SystemSettings@@@CameraSettingsHandlerTelemetry@@SAX$$QEAW4TelemetryAutomaticFraming2@Camera@SystemSettings@@@Z,0x18004f61c,Microsoft.Windows.SystemSettings.SettingsHandlers.Camera,{779C4ED4-290A-43EA-9B3A-650F27C060D1},StudioEffectsAutomaticFramingSelected,5,0x400000000000,"effectType:UInt32, PartA_PrivTags:UInt64",CallGraph-d2
??$StudioEffectsBackgroundBlurSelected@W4TelemetryBackgroundBlur@Camera@SystemSettings@@@CameraSettingsHandlerTelemetry@@SAX$$QEAW4TelemetryBackgroundBlur@Camera@SystemSettings@@@Z,0x180041400,Microsoft.Windows.SystemSettings.SettingsHandlers.Camera,{779C4ED4-290A-43EA-9B3A-650F27C060D1},StudioEffectsBackgroundBlurSelected,5,0x400000000000,"effectType:UInt32, PartA_PrivTags:UInt64",CallGraph-d2
??$StudioEffectsEffect1Changed@AEA_N@CameraSettingsHandlerTelemetry@@SAXAEA_N@Z,0x18004d85c,Microsoft.Windows.SystemSettings.SettingsHandlers.Camera,{779C4ED4-290A-43EA-9B3A-650F27C060D1},StudioEffectsEffect1Changed,5,0x400000000000,"isEffect1On:UInt8(Boolean), PartA_PrivTags:UInt64",CallGraph-d2
??$StudioEffectsEffect2Selected@W4TelemetryEffect2@Camera@SystemSettings@@@CameraSettingsHandlerTelemetry@@SAX$$QEAW4TelemetryEffect2@Camera@SystemSettings@@@Z,0x18004e264,Microsoft.Windows.SystemSettings.SettingsHandlers.Camera,{779C4ED4-290A-43EA-9B3A-650F27C060D1},StudioEffectsEffect2Selected,5,0x400000000000,"effectType:UInt32, PartA_PrivTags:UInt64",CallGraph-d2
??$StudioEffectsEyeContactSelected@W4TelemetryEyeGazeCorrection@Camera@SystemSettings@@@CameraSettingsHandlerTelemetry@@SAX$$QEAW4TelemetryEyeGazeCorrection@Camera@SystemSettings@@@Z,0x18004ac20,Microsoft.Windows.SystemSettings.SettingsHandlers.Camera,{779C4ED4-290A-43EA-9B3A-650F27C060D1},StudioEffectsEyeContactSelected,5,0x400000000000,"effectType:UInt32, PartA_PrivTags:UInt64",CallGraph-d2
??$StudioEffectsUsageByApp@PEBG@CameraSettingsHandlerTelemetry@@SAX$$QEAPEBG@Z,0x18002474d,Microsoft.Windows.SystemSettings.SettingsHandlers.Camera,{779C4ED4-290A-43EA-9B3A-650F27C060D1},StudioEffectsUsageByApp,5,0x400000000000,"appName:UnicodeString, PartA_PrivTags:UInt64",CallGraph-d2
?FeatureLoggingHook@details@wil@@YAXIPEBUFEATURE_LOGGED_TRAITS@@PEBUFEATURE_ERROR@@HPEBW4wil_ReportingKind@@PEBW4wil_VariantReportingKind@@E_K@Z,0x1800058c1,Microsoft.Windows.Wil.FeatureLogging,{DCEF5411-1F98-5EE7-238B-5ABD0E078E97},EnabledFeatureUsage,5,0xa,"featureId:UInt32, featureVersion:Int32, featureBaseVersion:Int32, featureStage:Int16, enabled:UInt8(Boolean), kind:UInt32, addend:UInt64",CallGraph-d2
