Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
??$SetAcceptedPrivacyPolicy@AEB_NAEAJ@SpeechPlatformSettingsTrace@Telemetry@Settings@SpeechPlatform@@SAXAEB_NAEAJ@Z,0x18000c536,Microsoft.Windows.SpeechPlatform.Settings,{ADBB52AD-4E74-56C1-ECBE-CC4539AC4B2D},SetAcceptedPrivacyPolicy,5,0x400000000000,"accepted:UInt8(Boolean), hResult:UInt32",CallGraph-d2
?NotifyFailure@?$ActivityBase@VInkingTypingPrivacyHandlerProvider@@$00$0CAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x180012b25,Microsoft.Windows.SystemSettings.SettingsHandlers.InkingTypingPrivacy,{A00D2097-96A9-4889-925E-1298E09460A0},ActivityError,2,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
?NotifyFailure@?$ActivityBase@VInkingTypingPrivacyHandlerProvider@@$00$0CAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x180012c6d,Microsoft.Windows.SystemSettings.SettingsHandlers.InkingTypingPrivacy,{A00D2097-96A9-4889-925E-1298E09460A0},ActivityError,2,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d2
?Stop@?$ActivityBase@VInkingTypingPrivacyHandlerProvider@@$00$0CAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x180014a1a,Microsoft.Windows.SystemSettings.SettingsHandlers.InkingTypingPrivacy,{A00D2097-96A9-4889-925E-1298E09460A0},ActivityIntermediateStop,5,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
?StartActivity@ToggleInkingTypingPersonalization@InkingTypingPrivacyHandlerTelemetry@@QEAAXXZ,0x18001473e,Microsoft.Windows.SystemSettings.SettingsHandlers.InkingTypingPrivacy,{A00D2097-96A9-4889-925E-1298E09460A0},ToggleInkingTypingPersonalization,5,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",CallGraph-d2
?StopActivity@ToggleInkingTypingPersonalization@InkingTypingPrivacyHandlerTelemetry@@MEAAXXZ,0x180014af2,Microsoft.Windows.SystemSettings.SettingsHandlers.InkingTypingPrivacy,{A00D2097-96A9-4889-925E-1298E09460A0},ToggleInkingTypingPersonalization,5,0x200000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
?StopActivity@ToggleInkingTypingPersonalization@InkingTypingPrivacyHandlerTelemetry@@MEAAXXZ,0x180014c57,Microsoft.Windows.SystemSettings.SettingsHandlers.InkingTypingPrivacy,{A00D2097-96A9-4889-925E-1298E09460A0},ToggleInkingTypingPersonalization,5,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
?FeatureLoggingHook@details@wil@@YAXIPEBUFEATURE_LOGGED_TRAITS@@PEBUFEATURE_ERROR@@HPEBW4wil_ReportingKind@@PEBW4wil_VariantReportingKind@@E_K@Z,0x180005081,Microsoft.Windows.Wil.FeatureLogging,{DCEF5411-1F98-5EE7-238B-5ABD0E078E97},EnabledFeatureUsage,5,0xa,"featureId:UInt32, featureVersion:Int32, featureBaseVersion:Int32, featureStage:Int16, enabled:UInt8(Boolean), kind:UInt32, addend:UInt64",CallGraph-d2
?FeatureLoggingHook@details@wil@@YAXIPEBUFEATURE_LOGGED_TRAITS@@PEBUFEATURE_ERROR@@HPEBW4wil_ReportingKind@@PEBW4wil_VariantReportingKind@@E_K@Z,0x180005293,Microsoft.Windows.Wil.FeatureLogging,{DCEF5411-1F98-5EE7-238B-5ABD0E078E97},FeatureError,2,0x1,"featureId:UInt32, featureVersion:Int32, featureBaseVersion:Int32, featureStage:Int16, hr:Int32(HResult), file:AnsiString, lineNumber:UInt16, module:AnsiString, process:AnsiString, originFile:AnsiString, originLineNumber:UInt16, originModule:AnsiString, originName:AnsiString, message:AnsiString, callerModule:AnsiString, callerReturnAddressOffset:UInt32, originCallerModule:AnsiString, originCallerReturnAddressOffset:UInt32",CallGraph-d2
?FeatureLoggingHook@details@wil@@YAXIPEBUFEATURE_LOGGED_TRAITS@@PEBUFEATURE_ERROR@@HPEBW4wil_ReportingKind@@PEBW4wil_VariantReportingKind@@E_K@Z,0x180004fec,Microsoft.Windows.Wil.FeatureLogging,{DCEF5411-1F98-5EE7-238B-5ABD0E078E97},FeatureUsage,5,0x2,"featureId:UInt32, featureVersion:Int32, featureBaseVersion:Int32, featureStage:Int16, enabled:UInt8(Boolean), kind:UInt32, addend:UInt64",CallGraph-d2
