Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?CInstalledUpdateSettingItemDestroyed@InstalledUpdatesLogger@@SAXXZ,0x18001f0ea,Microsoft.Windows.Shell.SystemSettings.InstalledUpdates,{4B82BB6F-58CD-52D8-01FF-3DBAD39DECAC},CInstalledUpdateSettingItemDestroyed,5,0x0,(none),CallGraph-d2
?CInstalledUpdateSettingItemInitialized@InstalledUpdatesLogger@@SAXXZ,0x18001f116,Microsoft.Windows.Shell.SystemSettings.InstalledUpdates,{4B82BB6F-58CD-52D8-01FF-3DBAD39DECAC},CInstalledUpdateSettingItemInitialized,5,0x0,(none),CallGraph-d2
?CInstalledUpdatesCollectionSettingDestroyed@InstalledUpdatesLogger@@SAXXZ,0x18001613e,Microsoft.Windows.Shell.SystemSettings.InstalledUpdates,{4B82BB6F-58CD-52D8-01FF-3DBAD39DECAC},CInstalledUpdatesCollectionSettingDestroyed,5,0x0,(none),CallGraph-d2
?CInstalledUpdatesCollectionSettingInitialized@InstalledUpdatesLogger@@SAXXZ,0x18001616a,Microsoft.Windows.Shell.SystemSettings.InstalledUpdates,{4B82BB6F-58CD-52D8-01FF-3DBAD39DECAC},CInstalledUpdatesCollectionSettingInitialized,5,0x0,(none),CallGraph-d2
?CInstalledUpdatesListHelperDestroyed@InstalledUpdatesLogger@@SAXXZ,0x18001c3ea,Microsoft.Windows.Shell.SystemSettings.InstalledUpdates,{4B82BB6F-58CD-52D8-01FF-3DBAD39DECAC},CInstalledUpdatesListHelperDestroyed,5,0x0,(none),CallGraph-d2
?CInstalledUpdatesListHelperInitialized@InstalledUpdatesLogger@@SAXXZ,0x18001c416,Microsoft.Windows.Shell.SystemSettings.InstalledUpdates,{4B82BB6F-58CD-52D8-01FF-3DBAD39DECAC},CInstalledUpdatesListHelperInitialized,5,0x0,(none),CallGraph-d2
?CInstalledUpdatesSingletonDestroyed@InstalledUpdatesLogger@@SAXXZ,0x18001b41a,Microsoft.Windows.Shell.SystemSettings.InstalledUpdates,{4B82BB6F-58CD-52D8-01FF-3DBAD39DECAC},CInstalledUpdatesSingletonDestroyed,5,0x0,(none),CallGraph-d2
?CInstalledUpdatesSingletonInitialized@InstalledUpdatesLogger@@SAXXZ,0x18001b446,Microsoft.Windows.Shell.SystemSettings.InstalledUpdates,{4B82BB6F-58CD-52D8-01FF-3DBAD39DECAC},CInstalledUpdatesSingletonInitialized,5,0x0,(none),CallGraph-d2
??$CbsProcessingError@AEAJAEAPEBG@InstalledUpdatesLogger@@SAXAEAJAEAPEBG@Z,0x180021929,Microsoft.Windows.Shell.SystemSettings.InstalledUpdates,{4B82BB6F-58CD-52D8-01FF-3DBAD39DECAC},CbsProcessingError,5,0x400000000000,"code:Int32, message:UnicodeString, PartA_PrivTags:UInt64",CallGraph-d2
?CbsUpdateProgressHelperDestroyed@InstalledUpdatesLogger@@SAXXZ,0x180021a3a,Microsoft.Windows.Shell.SystemSettings.InstalledUpdates,{4B82BB6F-58CD-52D8-01FF-3DBAD39DECAC},CbsUpdateProgressHelperDestroyed,5,0x0,(none),CallGraph-d2
?CbsUpdateProgressHelperInitialized@InstalledUpdatesLogger@@SAXXZ,0x180021a66,Microsoft.Windows.Shell.SystemSettings.InstalledUpdates,{4B82BB6F-58CD-52D8-01FF-3DBAD39DECAC},CbsUpdateProgressHelperInitialized,5,0x0,(none),CallGraph-d2
?InstalledUpdatesAdminHelperImplDestroyed@InstalledUpdatesLogger@@SAXXZ,0x18001a9fe,Microsoft.Windows.Shell.SystemSettings.InstalledUpdates,{4B82BB6F-58CD-52D8-01FF-3DBAD39DECAC},InstalledUpdatesAdminHelperImplDestroyed,5,0x0,(none),CallGraph-d2
?InstalledUpdatesAdminHelperImplInitialized@InstalledUpdatesLogger@@SAXXZ,0x18001aa2a,Microsoft.Windows.Shell.SystemSettings.InstalledUpdates,{4B82BB6F-58CD-52D8-01FF-3DBAD39DECAC},InstalledUpdatesAdminHelperImplInitialized,5,0x0,(none),CallGraph-d2
??$UpdatesListLoaded@N@InstalledUpdatesLogger@@SAX$$QEAN@Z,0x180014007,Microsoft.Windows.Shell.SystemSettings.InstalledUpdates,{4B82BB6F-58CD-52D8-01FF-3DBAD39DECAC},UpdatesListLoaded,5,0x400000000000,"duration:Double, PartA_PrivTags:UInt64",CallGraph-d2
?FeatureLoggingHook@details@wil@@YAXIPEBUFEATURE_LOGGED_TRAITS@@PEBUFEATURE_ERROR@@HPEBW4wil_ReportingKind@@PEBW4wil_VariantReportingKind@@E_K@Z,0x180010f81,Microsoft.Windows.Wil.FeatureLogging,{DCEF5411-1F98-5EE7-238B-5ABD0E078E97},EnabledFeatureUsage,5,0xa,"featureId:UInt32, featureVersion:Int32, featureBaseVersion:Int32, featureStage:Int16, enabled:UInt8(Boolean), kind:UInt32, addend:UInt64",CallGraph-d2
?FeatureLoggingHook@details@wil@@YAXIPEBUFEATURE_LOGGED_TRAITS@@PEBUFEATURE_ERROR@@HPEBW4wil_ReportingKind@@PEBW4wil_VariantReportingKind@@E_K@Z,0x180011193,Microsoft.Windows.Wil.FeatureLogging,{DCEF5411-1F98-5EE7-238B-5ABD0E078E97},FeatureError,2,0x1,"featureId:UInt32, featureVersion:Int32, featureBaseVersion:Int32, featureStage:Int16, hr:Int32(HResult), file:AnsiString, lineNumber:UInt16, module:AnsiString, process:AnsiString, originFile:AnsiString, originLineNumber:UInt16, originModule:AnsiString, originName:AnsiString, message:AnsiString, callerModule:AnsiString, callerReturnAddressOffset:UInt32, originCallerModule:AnsiString, originCallerReturnAddressOffset:UInt32",CallGraph-d2
?FeatureLoggingHook@details@wil@@YAXIPEBUFEATURE_LOGGED_TRAITS@@PEBUFEATURE_ERROR@@HPEBW4wil_ReportingKind@@PEBW4wil_VariantReportingKind@@E_K@Z,0x180010eec,Microsoft.Windows.Wil.FeatureLogging,{DCEF5411-1F98-5EE7-238B-5ABD0E078E97},FeatureUsage,5,0x2,"featureId:UInt32, featureVersion:Int32, featureBaseVersion:Int32, featureStage:Int16, enabled:UInt8(Boolean), kind:UInt32, addend:UInt64",CallGraph-d2
?FeatureLoggingHook@details@wil@@YAXIPEBUFEATURE_LOGGED_TRAITS@@PEBUFEATURE_ERROR@@HPEBW4wil_ReportingKind@@PEBW4wil_VariantReportingKind@@E_K@Z,0x18001106f,Microsoft.Windows.Wil.FeatureLogging,{DCEF5411-1F98-5EE7-238B-5ABD0E078E97},FeatureVariantUsage,5,0x4,"featureId:UInt32, featureVersion:Int32, featureBaseVersion:Int32, featureStage:Int16, enabled:UInt8(Boolean), variantKind:UInt32, variant:UInt8, addend:UInt64",CallGraph-d2
?ReportTelemetryFailure@TraceLoggingProvider@wil@@IEAAXAEBUFailureInfo@2@@Z,0x1800127c5,Unknown,Unknown,FallbackError,2,0x200000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilResult:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",Unresolved
?ReportTraceLoggingFailure@TraceLoggingProvider@wil@@IEAAXAEBUFailureInfo@2@@Z,0x180012987,Unknown,Unknown,FallbackError,2,0x0,"PartA_PrivTags:UInt64, wilResult:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",Unresolved
