Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
??$_tlgWriteActivityAutoStop@$0A@$04@@YAXPEBU_tlgProvider_t@@PEBU_GUID@@@Z,0x180029994,Microsoft.Windows.Security.SmartCards.CredProv,{7B5367D6-EBEB-5E35-CC39-476F46842DDC},ActivityStoppedAutomatically,5,0x0,(none),GlobalFallback
??$_tlgWriteActivityAutoStop@$0EAAAAAAAAAAA@$04@@YAXPEBU_tlgProvider_t@@PEBU_GUID@@@Z,0x1800845ee,Microsoft.Windows.Security.SmartCards.CredProv,{7B5367D6-EBEB-5E35-CC39-476F46842DDC},ActivityStoppedAutomatically,5,0x400000000000,(none),GlobalFallback
?_BuildCredentialList@CProvider@@EEAAJXZ,0x180042620,Microsoft.Windows.Security.SmartCards.CredProv,{7B5367D6-EBEB-5E35-CC39-476F46842DDC},BuildCredentialList,5,0x200000000000,"retVal:Int32(HResult), usageScenario:UInt32, numberOfTotalCerts:UInt32, numberOfReaders:UInt32, sessionId:UInt32",Direct-Preceding
?ParseNgcKeyNameString@NgcKeyName@DsNgcUtils@@SAJAEBV?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@PEAV?$vector@EV?$allocator@E@std@@@4@PEAU_GUID@@PEAV34@33@Z,0x18007fc7b,Microsoft.Windows.Security.SmartCards.CredProv,{7B5367D6-EBEB-5E35-CC39-476F46842DDC},BuildNgcKeyNameStringConvertContainerId,2,0x0,retVal:Int32,Direct-Preceding
?ParseNgcKeyNameString@NgcKeyName@DsNgcUtils@@SAJAEBV?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@PEAV?$vector@EV?$allocator@E@std@@@4@PEAU_GUID@@PEAV34@33@Z,0x18007fb56,Microsoft.Windows.Security.SmartCards.CredProv,{7B5367D6-EBEB-5E35-CC39-476F46842DDC},BuildNgcKeyNameStringConvertSid,2,0x0,retVal:Int32,Direct-Preceding
I_CollectCertsUsingCapi,0x18007892f,Microsoft.Windows.Security.SmartCards.CredProv,{7B5367D6-EBEB-5E35-CC39-476F46842DDC},CollectCertificatesUsingCapi,5,0x0,(none),Direct-Preceding
I_CollectCertsUsingCapi,0x180078c58,Microsoft.Windows.Security.SmartCards.CredProv,{7B5367D6-EBEB-5E35-CC39-476F46842DDC},CollectCertificatesUsingCapi,5,0x0,"numberOfCertsAdded:UInt32, retVal:UInt32",Direct-Preceding
I_CollectCertsUsingCng,0x18000b96d,Microsoft.Windows.Security.SmartCards.CredProv,{7B5367D6-EBEB-5E35-CC39-476F46842DDC},CollectCertificatesUsingCng,5,0x0,(none),Direct-Preceding
I_CollectCertsUsingCng,0x18000bb51,Microsoft.Windows.Security.SmartCards.CredProv,{7B5367D6-EBEB-5E35-CC39-476F46842DDC},CollectCertificatesUsingCng,5,0x0,"numberOfCertsAdded:UInt32, retVal:UInt32",Direct-Preceding
I_CollectRootCertsUsingCapi,0x180078d99,Microsoft.Windows.Security.SmartCards.CredProv,{7B5367D6-EBEB-5E35-CC39-476F46842DDC},CollectRootCertificatesUsingCapi,5,0x0,(none),Direct-Preceding
