Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?Purge@CleanMgrHelper@@QEAAJW4CLEANMGR_TYPE@@@Z,0x1800822c1,Microsoft.Windows.Storage.Cleanup,{265551FA-4F81-4678-8AFB-497821A795CA},ClientPurge,5,0x400000000000,"clsid:GUID, purgeTimeMs:UInt64, beforeBytes:UInt64, afterBytes:UInt64, requestedBytes:UInt64, totalBytes:UInt64, freeBytesBefore:UInt64, freeBytesAfter:UInt64, storageReserveBefore:Int64[N], storageReserveAfter:Int64[N], hresult:Int32(HResult), PartA_PrivTags:UInt64",CallGraph-d2
?InitializeWithType@CleanMgrHelper@@QEAAJPEBGW4CLEANMGR_TYPE@@K@Z,0x180081e08,Microsoft.Windows.Storage.Cleanup,{265551FA-4F81-4678-8AFB-497821A795CA},InitClients,5,0x400000000000,"clsid:GUID, subkeyname:UnicodeString, index:UInt32, flags:UInt32, hresult:Int32(HResult), DrivePath:UnicodeString",CallGraph-d2
?InitializeWithType@CleanMgrHelper@@QEAAJPEBGW4CLEANMGR_TYPE@@K@Z,0x180081eed,Microsoft.Windows.Storage.Cleanup,{265551FA-4F81-4678-8AFB-497821A795CA},InitClients,5,0x400000000000,"clsid:GUID, subkeyname:UnicodeString, index:UInt32, flags:UInt32, hresult:Int32(HResult), DrivePath:UnicodeString",CallGraph-d2
??0CleanMgrHelper@@QEAA@XZ,0x18008182d,Microsoft.Windows.Storage.Cleanup,{265551FA-4F81-4678-8AFB-497821A795CA},StorageCleanupActivity,5,0x400000000000,(none),CallGraph-d2
??1CleanMgrHelper@@UEAA@XZ,0x180081908,Microsoft.Windows.Storage.Cleanup,{265551FA-4F81-4678-8AFB-497821A795CA},StorageCleanupActivity,5,0x400000000000,(none),CallGraph-d2
?EnumerateExistingDisks@DiskMonitor@@QEAAXXZ,0x18007d25e,Microsoft.Windows.Storage.StorageDiskMonitor,{F5273E8B-490F-4008-9416-BC6C72AEBFBC},DeviceInterfaceLink,5,0x0,Link:UnicodeString,Direct-Preceding
?DetectProperties@DiskInfo@@QEAA_N_N0@Z,0x18007e719,Microsoft.Windows.Storage.StorageDiskMonitor,{F5273E8B-490F-4008-9416-BC6C72AEBFBC},DiskInfo::DetectProperties,5,0x0,DiskInterfaceName:UnicodeString,Direct-Preceding
?DetectProperties@DiskInfo@@QEAA_N_N0@Z,0x18007ecb3,Microsoft.Windows.Storage.StorageDiskMonitor,{F5273E8B-490F-4008-9416-BC6C72AEBFBC},DiskInfo::DetectProperties:DeviceAlignment,5,0x0,"BytesPerLogicalSector:Int32, BytesPerPhysicalSector:Int32",Direct-Preceding
?DetectProperties@DiskInfo@@QEAA_N_N0@Z,0x18007e9b1,Microsoft.Windows.Storage.StorageDiskMonitor,{F5273E8B-490F-4008-9416-BC6C72AEBFBC},DiskInfo::DetectProperties:DeviceAttributes,5,0x0,Attributes:UInt64,Direct-Preceding
?DetectProperties@DiskInfo@@QEAA_N_N0@Z,0x18007eb66,Microsoft.Windows.Storage.StorageDiskMonitor,{F5273E8B-490F-4008-9416-BC6C72AEBFBC},DiskInfo::DetectProperties:DeviceDescriptor,5,0x0,"RemovableMedia:Int32, BusType:Int32, VendorId:AnsiString, ProductId:AnsiString, ProductRevision:AnsiString, SerialNumber:AnsiString",Direct-Preceding
