Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?VerifyTrustedClientFromSecurityCallback@RpcSecurity@disruption@sense@@YAJPEAX0@Z,0x180007e78,Microsoft.Windows.Sense.Client,{65A1B6FC-4C24-59C9-E3F3-AD11AC510B41},DisruptionCommon,2,0x0,"errorCode:Int32, message:UnicodeString",SingleProvider
?VerifyTrustedClientFromSecurityCallback@RpcSecurity@disruption@sense@@YAJPEAX0@Z,0x180007ee3,Microsoft.Windows.Sense.Client,{65A1B6FC-4C24-59C9-E3F3-AD11AC510B41},DisruptionCommon,2,0x0,"errorCode:Int32(HResult), message:UnicodeString",SingleProvider
?ReportTelemetryFailure@TraceLoggingProvider@wil@@IEAAXAEBUFailureInfo@2@@Z,0x18000666a,Microsoft.Windows.Sense.Client,{65A1B6FC-4C24-59C9-E3F3-AD11AC510B41},FallbackError,2,0x200000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilResult:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",SingleProvider
?ReportTraceLoggingFailure@TraceLoggingProvider@wil@@IEAAXAEBUFailureInfo@2@@Z,0x1800067b9,Microsoft.Windows.Sense.Client,{65A1B6FC-4C24-59C9-E3F3-AD11AC510B41},FallbackError,2,0x0,"PartA_PrivTags:UInt64, wilResult:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",SingleProvider
??1SubAuthLoader@SubAuth@sense@@AEAA@XZ,0x180020bb2,Microsoft.Windows.Sense.Client,{65A1B6FC-4C24-59C9-E3F3-AD11AC510B41},SenseSubAuthLoader,3,0x0,message:UnicodeString,SingleProvider
?InitializeImpl@SubAuthLoader@SubAuth@sense@@AEAAJUwrite_lock_required@wil@@@Z,0x180006231,Microsoft.Windows.Sense.Client,{65A1B6FC-4C24-59C9-E3F3-AD11AC510B41},SenseSubAuthLoader,4,0x0,message:UnicodeString,SingleProvider
?InitializeImpl@SubAuthLoader@SubAuth@sense@@AEAAJUwrite_lock_required@wil@@@Z,0x180020c24,Microsoft.Windows.Sense.Client,{65A1B6FC-4C24-59C9-E3F3-AD11AC510B41},SenseSubAuthLoader,3,0x0,message:UnicodeString,SingleProvider
?LoadSubAuthPackage@SubAuthLoader@SubAuth@sense@@QEAAJPEB_W@Z,0x1800062da,Microsoft.Windows.Sense.Client,{65A1B6FC-4C24-59C9-E3F3-AD11AC510B41},SenseSubAuthLoader,4,0x0,"message:UnicodeString, Path:UnicodeString",SingleProvider
?LoadSubAuthPackage@SubAuthLoader@SubAuth@sense@@QEAAJPEB_W@Z,0x180006438,Microsoft.Windows.Sense.Client,{65A1B6FC-4C24-59C9-E3F3-AD11AC510B41},SenseSubAuthLoader,4,0x0,"message:UnicodeString, Path:UnicodeString",SingleProvider
?UnloadSubAuthPackage@SubAuthLoader@SubAuth@sense@@QEAAXXZ,0x180006a85,Microsoft.Windows.Sense.Client,{65A1B6FC-4C24-59C9-E3F3-AD11AC510B41},SenseSubAuthLoader,4,0x0,message:UnicodeString,SingleProvider
?UnloadSubAuthPackage@SubAuthLoader@SubAuth@sense@@QEAAXXZ,0x180006acf,Microsoft.Windows.Sense.Client,{65A1B6FC-4C24-59C9-E3F3-AD11AC510B41},SenseSubAuthLoader,3,0x0,message:UnicodeString,SingleProvider
?UnloadSubAuthPackage@SubAuthLoader@SubAuth@sense@@QEAAXXZ,0x180006b32,Microsoft.Windows.Sense.Client,{65A1B6FC-4C24-59C9-E3F3-AD11AC510B41},SenseSubAuthLoader,4,0x0,message:UnicodeString,SingleProvider
