Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?NotifyFailure@?$ActivityBase@VTDLLoggingProvider@Logging@TDL@@$0A@$0A@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x1800118c1,Microsoft.Windows.AppModel.TileDataModel,{594BF743-CE2E-48EE-83EE-3D50A0ADD692},ActivityError,2,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d2
?Stop@?$ActivityBase@VTDLLoggingProvider@Logging@TDL@@$0A@$0A@$03$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x18001e9ef,Microsoft.Windows.AppModel.TileDataModel,{594BF743-CE2E-48EE-83EE-3D50A0ADD692},ActivityIntermediateStop,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
?Stop@?$ActivityBase@VTDLLoggingProvider@Logging@TDL@@$0A@$0A@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x180012060,Microsoft.Windows.AppModel.TileDataModel,{594BF743-CE2E-48EE-83EE-3D50A0ADD692},ActivityIntermediateStop,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
??$_tlgWriteActivityAutoStop@$0A@$03@@YAXPEBU_tlgProvider_t@@PEBU_GUID@@@Z,0x18001d270,Microsoft.Windows.AppModel.TileDataModel,{594BF743-CE2E-48EE-83EE-3D50A0ADD692},ActivityStoppedAutomatically,4,0x0,(none),GlobalFallback
??$_tlgWriteActivityAutoStop@$0A@$04@@YAXPEBU_tlgProvider_t@@PEBU_GUID@@@Z,0x18000e6ac,Microsoft.Windows.AppModel.TileDataModel,{594BF743-CE2E-48EE-83EE-3D50A0ADD692},ActivityStoppedAutomatically,5,0x0,(none),GlobalFallback
?StartActivity@AddDbTableColumns@DBManager@Logging@TDL@@QEAAXPEBG@Z,0x18001e7d0,Microsoft.Windows.AppModel.TileDataModel,{594BF743-CE2E-48EE-83EE-3D50A0ADD692},AddDbTableColumns,4,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32, TableName:UnicodeString",CallGraph-d2
?StopActivity@AddDbTableColumns@DBManager@Logging@TDL@@MEAAXXZ,0x18001eaa7,Microsoft.Windows.AppModel.TileDataModel,{594BF743-CE2E-48EE-83EE-3D50A0ADD692},AddDbTableColumns,4,0x0,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d2
?StopActivity@AddDbTableColumns@DBManager@Logging@TDL@@MEAAXXZ,0x18001ec2f,Microsoft.Windows.AppModel.TileDataModel,{594BF743-CE2E-48EE-83EE-3D50A0ADD692},AddDbTableColumns,4,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
?LogCallerIdenity@Utils@Logging@TDL@@SAJPEBD@Z,0x1800182a7,Microsoft.Windows.AppModel.TileDataModel,{594BF743-CE2E-48EE-83EE-3D50A0ADD692},CallerIdentity,5,0x0,"SessionID:UInt32, CallingProcessId:UInt32, CallingProcessName:UnicodeString, Function:AnsiString",CallGraph-d2
?LogCallerIdenity@Utils@Logging@TDL@@SAJPEBD@Z,0x1800181a9,Microsoft.Windows.AppModel.TileDataModel,{594BF743-CE2E-48EE-83EE-3D50A0ADD692},CallerIdentityFailed,5,0x0,"CallingProcessName:UnicodeString, HResult:HexInt32, Function:AnsiString",CallGraph-d2
?StartActivity@DBInitialize@DBManager@Logging@TDL@@QEAAXK@Z,0x1800187fa,Microsoft.Windows.AppModel.TileDataModel,{594BF743-CE2E-48EE-83EE-3D50A0ADD692},DBInitialize,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32, SessionId:UInt32",CallGraph-d2
?StopActivity@DBInitialize@DBManager@Logging@TDL@@MEAAXXZ,0x180018bf7,Microsoft.Windows.AppModel.TileDataModel,{594BF743-CE2E-48EE-83EE-3D50A0ADD692},DBInitialize,5,0x0,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d2
?StopActivity@DBInitialize@DBManager@Logging@TDL@@MEAAXXZ,0x180018d7f,Microsoft.Windows.AppModel.TileDataModel,{594BF743-CE2E-48EE-83EE-3D50A0ADD692},DBInitialize,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
?DBInitializeDenied_@DBManager@Logging@TDL@@QEAAXXZ,0x180016e01,Microsoft.Windows.AppModel.TileDataModel,{594BF743-CE2E-48EE-83EE-3D50A0ADD692},DBInitializeDenied,3,0x0,CallerProcessId:UInt32,CallGraph-d3
?StartActivity@DBManagerInstance@DBManager@Logging@TDL@@QEAAXPEBX@Z,0x1800188ad,Microsoft.Windows.AppModel.TileDataModel,{594BF743-CE2E-48EE-83EE-3D50A0ADD692},DBManagerInstance,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32, DBManager Start - InstanceId:HexInt64",CallGraph-d2
?Stop@DBManagerInstance@DBManager@Logging@TDL@@QEAAXPEBX@Z,0x18001898d,Microsoft.Windows.AppModel.TileDataModel,{594BF743-CE2E-48EE-83EE-3D50A0ADD692},DBManagerInstance,5,0x0,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString, DBManager Stop - InstanceId:HexInt64",CallGraph-d2
?Stop@DBManagerInstance@DBManager@Logging@TDL@@QEAAXPEBX@Z,0x180018b28,Microsoft.Windows.AppModel.TileDataModel,{594BF743-CE2E-48EE-83EE-3D50A0ADD692},DBManagerInstance,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32, DBManager Stop - InstanceId:HexInt64",CallGraph-d2
