Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?MigratePinnedDatabaseToDscAttribute@TieringPinnedSession@@QEAAJXZ,0x140022412,Microsoft.Windows.Storage.Tiering.Telemetry,{6971CAD2-D856-417F-B84D-383A6144FB11},FailedMigratePinnedDbToDscAttrib,5,0x200000000000,"tieredVolumeCsvGuidRootPath:CountedString, hResult:Int32(HResult), lastSourceId:UInt8, recordCount:UInt32, failedMigrateCount:UInt32, errors:Struct[](String), errorCode:Int32, sourceId:Int8",Direct-Preceding
?PopulatePinnedCacheFromQfl@CTieredVolume@@AEAAJPEAVTieringPinnedSession@@@Z,0x140030d3c,Microsoft.Windows.Storage.Tiering.Telemetry,{6971CAD2-D856-417F-B84D-383A6144FB11},FailedQueryPinnedFiles,5,0x200000000000,"tieredVolumeCsvGuidRootPath:CountedString, sourceId:UInt8, numberOfEntries:UInt64, failedPinRecord:UInt64, hResult:Int32(HResult), pinRecordsError:UInt32[]",Direct-Preceding
?GetMovementsListForDiskOptimizer@TieringHeatSession@@QEAAJW4_STORAGE_TIER_CLASS@@KPEAVTieringMovementSession@@PEAU_TE_ENUM_INTERNAL_RESUME_KEY@@PEAHPEAJPEAPEAU__MIDL___MIDL_itf_tieringengine_0000_0000_0005@@@Z,0x140023fe6,Microsoft.Windows.Storage.Tiering.Telemetry,{6971CAD2-D856-417F-B84D-383A6144FB11},HeatFileListForDiskOptimizer,4,0x200000000000,"PartA_PrivTags:UInt64, tieredVolumeCsvGuidRootPath:CountedString, desiredStorageTierClass:UInt32, recordCount:UInt32, continueRequired:Bool32, resumeKeyPriority:UInt32, resumeKeyFileIdHigh:UInt64, resumeKeyFileIdLow:UInt64, resumeKeyLastFileOffset:Int64, jetDBFileName:UnicodeString",Direct-Preceding
?InitiateProcessing@CTieredVolume@@AEAAJK@Z,0x140025341,Microsoft.Windows.Storage.Tiering.Telemetry,{6971CAD2-D856-417F-B84D-383A6144FB11},InitiateTierProcessingStart,4,0x200000000000,"PartA_PrivTags:UInt64, processingState:UInt16, flags:UInt32, tieredVolumeCsvGuidRootPath:CountedString",Direct-Preceding
?OnNewVolume@CTieringEngineLib@@AEAAXPEBU_TIERING_VOLUME_INFO_EVENT_DATA@@@Z,0x140007e73,Microsoft.Windows.Storage.Tiering.Telemetry,{6971CAD2-D856-417F-B84D-383A6144FB11},NewTieredVolumeMount,5,0x200000000000,"tieredVolumeGuid:GUID, tieredVolumeCsvGuidRootPath:CountedString",Direct-Preceding
?GetPinnedFilesListForDiskOptimizer@TieringPinnedSession@@QEAAJW4_STORAGE_TIER_CLASS@@KPEAU_TE_ENUM_INTERNAL_RESUME_KEY@@PEAHPEAJPEAPEAU__MIDL___MIDL_itf_tieringengine_0000_0000_0005@@@Z,0x140024fac,Microsoft.Windows.Storage.Tiering.Telemetry,{6971CAD2-D856-417F-B84D-383A6144FB11},PinnedFileListForDiskOptimizer,4,0x200000000000,"PartA_PrivTags:UInt64, tieredVolumeCsvGuidRootPath:CountedString, desiredStorageTierClass:UInt32, recordCount:UInt32, continueRequired:Bool32, resumeKeyFileIdHigh:UInt64, resumeKeyFileIdLow:UInt64, jetDBFileName:UnicodeString",Direct-Preceding
?ProcessVolumeTables@CTieredVolume@@AEAAJPEA_N@Z,0x140031d81,Microsoft.Windows.Storage.Tiering.Telemetry,{6971CAD2-D856-417F-B84D-383A6144FB11},ProcessVolumeTablesEnd,4,0x200000000000,"PartA_PrivTags:UInt64, processingState:UInt16, tieredVolumeCsvGuidRootPath:CountedString",Direct-Preceding
?ProcessVolumeTables@CTieredVolume@@AEAAJPEA_N@Z,0x140031151,Microsoft.Windows.Storage.Tiering.Telemetry,{6971CAD2-D856-417F-B84D-383A6144FB11},ProcessVolumeTablesStart,4,0x200000000000,"PartA_PrivTags:UInt64, processingState:UInt16, tieredVolumeCsvGuidRootPath:CountedString",Direct-Preceding
?Processing_Pass3@CTieredVolume@@AEAAJPEAXPEAVTieringHeatSession@@_K2_J32@Z,0x14003717a,Microsoft.Windows.Storage.Tiering.Telemetry,{6971CAD2-D856-417F-B84D-383A6144FB11},ProcessingPass3End,5,0x400000000000,"tieredVolumeCsvGuidRoothPath:CountedString, heatRecordsProcessed:UInt32, flashClustersFree:Int64, diskClustersFree:Int64, totalFlashHeatClusters:UInt64, totalDiskHeatClusters:UInt64, priorityToPromote:UInt32, priorityToDemote:UInt32, priorityToRetain:UInt32, averagePriorityOnFlash:UInt32, averagePriorityOnDisk:UInt32, totalIOsPinnedDiskCurrentlyFlash:UInt64, totalIOsPinnedFlashCurrentlyDisk:UInt64",Direct-Preceding
?Processing_Pass3@CTieredVolume@@AEAAJPEAXPEAVTieringHeatSession@@_K2_J32@Z,0x14003464a,Microsoft.Windows.Storage.Tiering.Telemetry,{6971CAD2-D856-417F-B84D-383A6144FB11},ProcessingPass3Start,4,0x200000000000,"PartA_PrivTags:UInt64, tieredVolumeCsvGuidRoothPath:CountedString, maxHeatReplaceInPercentage:UInt16, totalFlashClusters:UInt64, flashClustersFree:Int64, diskClustersFree:Int64, largestPrioritySeen:UInt32, numberOfHeatBuckets:UInt32, prioritiesPerBucket:UInt32, pinnedToFlashClusterCount:UInt64, pinnedToDiskClusterCount:UInt64",Direct-Preceding
?StartTieringEngine@CTieringEngineLib@@QEAAJPEAX@Z,0x140009593,Microsoft.Windows.Storage.Tiering.Telemetry,{6971CAD2-D856-417F-B84D-383A6144FB11},StartTieringEngine,5,0x200000000000,numberOfActiveVolumes:Int32,Direct-Preceding
?SignalShutdownAndWait@CTieringEngineLib@@QEAAXXZ,0x1400093d1,Microsoft.Windows.Storage.Tiering.Telemetry,{6971CAD2-D856-417F-B84D-383A6144FB11},StopTieringEngine,5,0x200000000000,numberOfActiveVolumes:Int32,Direct-Preceding
?LogTierOptimizationReport@CTieredVolume@@AEAAJXZ,0x1400259c7,Microsoft.Windows.Storage.Tiering.Telemetry,{6971CAD2-D856-417F-B84D-383A6144FB11},TierOptimizationReport,5,0x400000000000,"tieredVolumeCsvGuidRootPath:CountedString, tieredVolumeBytesPerCluster:UInt32, approxBlockCountToMoveToFlash:UInt64, approxBlockCountToMoveToDisk:UInt64, blockCountToMovedToFlash:UInt64, blockCountToMovedToDisk:UInt64, processingResult:Int32(HResult), processTimeInMinutes:UInt32, defragTimeInMinutes:UInt32, requiredSsdBytes:UInt64, flashClustersFree:Int64, diskClustersFree:Int64, currentSsdTierSize:UInt64, currentHddTierSize:UInt64, sizeOfFilesPinnedToSsdTier:UInt64, sizeOfFilesPinnedToHddTier:UInt64, numberOfFilesPinnedToSsdTier:UInt64, numberOfFilesPinnedToHddTier:UInt64, percentOfTotalIOsServedFromSsdTier:UInt64, percentOfIOsFromPinnedFileOnSsd:UInt64, percentOfIOsFromPinnedFileOnHdd:UInt64",Direct-Preceding
?OnVolumeInfo@CTieringEngineLib@@AEAAXPEAU_EVENT_RECORD@@@Z,0x140008035,Microsoft.Windows.Storage.Tiering.Telemetry,{6971CAD2-D856-417F-B84D-383A6144FB11},TieredVolumeArrival,5,0x200000000000,tieredVolumeGuid:GUID,Direct-Preceding
?HandleVolumeDismount@CTieredVolume@@AEAAJ_N@Z,0x140011127,Microsoft.Windows.Storage.Tiering.Telemetry,{6971CAD2-D856-417F-B84D-383A6144FB11},TieredVolumeDismount,5,0x200000000000,tieredVolumeCsvGuidRootPath:CountedString,Direct-Preceding
?OnVolumeInfo@CTieringEngineLib@@AEAAXPEAU_EVENT_RECORD@@@Z,0x140042a81,Microsoft.Windows.Storage.Tiering.Telemetry,{6971CAD2-D856-417F-B84D-383A6144FB11},TieredVolumeMountHeatEventLoss,5,0x400000000000,tieredVolumeGuid:GUID,Direct-Preceding
?AllocateAndSetupJetInstance@CTieredVolume@@QEAAJPEAGHPEA_K@Z,0x14001a6b3,Microsoft.Windows.Storage.Tiering.Telemetry,{6971CAD2-D856-417F-B84D-383A6144FB11},TieringJetError,5,0x400000000000,"tieredVolumeCsvGuidRootPath:CountedString, jetPath:UnicodeString, jetInstanceName:UnicodeString, jetError:Int32, hresult:Int32, functionName:AnsiString, operation:UInt32",Direct-Preceding
?CallJetTerm@CTieredVolume@@QEAAJ_KK@Z,0x14001a86b,Microsoft.Windows.Storage.Tiering.Telemetry,{6971CAD2-D856-417F-B84D-383A6144FB11},TieringJetError,5,0x400000000000,"tieredVolumeCsvGuidRootPath:CountedString, jetPath:UnicodeString, jetError:Int32, functionName:AnsiString, operation:UInt32",Direct-Preceding
?CallJetTerm@CTieredVolume@@QEAAJ_KK@Z,0x14001a910,Microsoft.Windows.Storage.Tiering.Telemetry,{6971CAD2-D856-417F-B84D-383A6144FB11},TieringJetError,5,0x400000000000,"tieredVolumeCsvGuidRootPath:CountedString, jetPath:UnicodeString, jetError:Int32, functionName:AnsiString, operation:UInt32",Direct-Preceding
?EnableJetMultiInstance@CTieredVolume@@QEAAXPEAG@Z,0x14001b121,Microsoft.Windows.Storage.Tiering.Telemetry,{6971CAD2-D856-417F-B84D-383A6144FB11},TieringJetError,5,0x400000000000,"tieredVolumeCsvGuidRootPath:CountedString, jetPath:UnicodeString, jetError:Int32, functionName:AnsiString, operation:UInt32",Direct-Preceding
?EnableJetMultiInstance@CTieredVolume@@QEAAXPEAG@Z,0x14001b212,Microsoft.Windows.Storage.Tiering.Telemetry,{6971CAD2-D856-417F-B84D-383A6144FB11},TieringJetError,5,0x400000000000,"tieredVolumeCsvGuidRootPath:CountedString, jetPath:UnicodeString, jetError:Int32, functionName:AnsiString, operation:UInt32, paramId:UInt32",Direct-Preceding
?InitializeJetInstance@CTieredVolume@@QEAAJPEAGHPEA_K@Z,0x14001bc97,Microsoft.Windows.Storage.Tiering.Telemetry,{6971CAD2-D856-417F-B84D-383A6144FB11},TieringJetError,5,0x400000000000,"tieredVolumeCsvGuidRootPath:CountedString, jetPath:UnicodeString, jetError:Int32, functionName:AnsiString, operation:UInt32",Direct-Preceding
?InitializeJetInstance@CTieredVolume@@QEAAJPEAGHPEA_K@Z,0x14001c375,Microsoft.Windows.Storage.Tiering.Telemetry,{6971CAD2-D856-417F-B84D-383A6144FB11},TieringJetError,5,0x400000000000,"tieredVolumeCsvGuidRootPath:CountedString, jetPath:UnicodeString, jetError:Int32, functionName:AnsiString, operation:UInt32",Direct-Preceding
?InitializeJetInstance@CTieredVolume@@QEAAJPEAGHPEA_K@Z,0x14001c848,Microsoft.Windows.Storage.Tiering.Telemetry,{6971CAD2-D856-417F-B84D-383A6144FB11},TieringJetError,5,0x400000000000,"tieredVolumeCsvGuidRootPath:CountedString, jetPath:UnicodeString, jetError:Int32, functionName:AnsiString, operation:UInt32, hResult:Int32(HResult)",Direct-Preceding
