Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
??R_lambda_49b5af19827fe872ac6cbde26b78953e_@@QEBA@XZ,0x180019c2b,Microsoft.Windows.Print.RenderFilterCommon,{AC521649-5EC6-5397-D1C5-749CBF5EA79B},CancelJob,5,0x0,(none),CallGraph-d3
?InitializeFilter@CDesktopRenderFilter@DesktopRenderCommon@@UEAAJPEAUIInterFilterCommunicator@@PEAUIPrintPipelinePropertyBag@@PEAUIPrintPipelineManagerControl@@@Z,0x18001f3a6,Microsoft.Windows.Print.RenderFilterCommon,{AC521649-5EC6-5397-D1C5-749CBF5EA79B},DesktopFilter,5,0x0,(none),CallGraph-d1
??R_lambda_49b5af19827fe872ac6cbde26b78953e_@@QEBA@XZ,0x180019b75,Microsoft.Windows.Print.RenderFilterCommon,{AC521649-5EC6-5397-D1C5-749CBF5EA79B},EndPage,5,0x0,(none),CallGraph-d3
?LogExceptionCaught_@RenderFilterTraceWriter@RenderCommon@@QEAAXJPEBD0I@Z,0x180007533,Microsoft.Windows.Print.RenderFilterCommon,{AC521649-5EC6-5397-D1C5-749CBF5EA79B},ExceptionCaught,3,0x0,"HRESULT:Int32(HResult), Message:AnsiString, File:AnsiString, LineNum:UInt32",CallGraph-d1
?ReportTelemetryFailure@TraceLoggingProvider@wil@@IEAAXAEBUFailureInfo@2@@Z,0x18000953c,Microsoft.Windows.Print.RenderFilterCommon,{AC521649-5EC6-5397-D1C5-749CBF5EA79B},FallbackError,2,0x200000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilResult:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",GlobalFallback
?ReportTraceLoggingFailure@TraceLoggingProvider@wil@@IEAAXAEBUFailureInfo@2@@Z,0x18000968b,Microsoft.Windows.Print.RenderFilterCommon,{AC521649-5EC6-5397-D1C5-749CBF5EA79B},FallbackError,2,0x0,"PartA_PrivTags:UInt64, wilResult:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",GlobalFallback
?LogFilterNameJobEvent_@RenderFilterTraceWriter@RenderCommon@@QEAAXPEBG@Z,0x18000d1f4,Microsoft.Windows.Print.RenderFilterCommon,{AC521649-5EC6-5397-D1C5-749CBF5EA79B},GetFilterName,5,0x0,FilterName:UnicodeString,CallGraph-d1
?InitializeFilter@CDesktopRenderFilter@DesktopRenderCommon@@UEAAJPEAUIInterFilterCommunicator@@PEAUIPrintPipelinePropertyBag@@PEAUIPrintPipelineManagerControl@@@Z,0x18001f3d7,Microsoft.Windows.Print.RenderFilterCommon,{AC521649-5EC6-5397-D1C5-749CBF5EA79B},InitializeFilter,5,0x0,(none),CallGraph-d1
?InitializeFilter@TiffRenderFilter@@UEAAJPEAUIInterFilterCommunicator@@PEAUIPrintPipelinePropertyBag@@PEAUIPrintPipelineManagerControl@@@Z,0x18000cfe3,Microsoft.Windows.Print.RenderFilterCommon,{AC521649-5EC6-5397-D1C5-749CBF5EA79B},InitializeFilter,5,0x0,(none),CallGraph-d2
??$PasswordParameters@AEA_NAEA_N@RenderFilterTraceWriter@RenderCommon@@SAXAEA_N0@Z,0x1800101c9,Microsoft.Windows.Print.RenderFilterCommon,{AC521649-5EC6-5397-D1C5-749CBF5EA79B},PasswordParameters,5,0x0,"HasUserPassword:UInt8(Boolean), HasOwnerPassword:UInt8(Boolean)",CallGraph-d1
_lambda_e3745874c20c790f020a4bc82b73c124_::operator(),0x180019f28,Microsoft.Windows.Print.RenderFilterCommon,{AC521649-5EC6-5397-D1C5-749CBF5EA79B},RenderJob,5,0x0,(none),CallGraph-d3
??R_lambda_49b5af19827fe872ac6cbde26b78953e_@@QEBA@XZ,0x180019aac,Microsoft.Windows.Print.RenderFilterCommon,{AC521649-5EC6-5397-D1C5-749CBF5EA79B},StartPage,5,0x0,(none),CallGraph-d3
?WriteDbgTraceInfoRC@RenderFilterTraceWriter@RenderCommon@@SAXPEBDPEBGZZ,0x18000d502,Microsoft.Windows.Print.RenderFilterCommon,{AC521649-5EC6-5397-D1C5-749CBF5EA79B},TraceInfo,4,0x0,"Function:AnsiString, Message:UnicodeString",CallGraph-d1
?WriteDbgTraceWarningRC@RenderFilterTraceWriter@RenderCommon@@SAXPEBDPEBGZZ,0x180023206,Microsoft.Windows.Print.RenderFilterCommon,{AC521649-5EC6-5397-D1C5-749CBF5EA79B},TraceWarning,3,0x0,"Function:AnsiString, Message:UnicodeString",CallGraph-d1
