Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?FeatureLoggingHook@details@wil@@YAXIPEBUFEATURE_LOGGED_TRAITS@@PEBUFEATURE_ERROR@@HPEBW4wil_ReportingKind@@PEBW4wil_VariantReportingKind@@E_K@Z,0x18007cee4,Microsoft.Windows.Wil.FeatureLogging,{DCEF5411-1F98-5EE7-238B-5ABD0E078E97},EnabledFeatureUsage,5,0xa,"featureId:UInt32, featureVersion:Int32, featureBaseVersion:Int32, featureStage:Int16, enabled:UInt8(Boolean), kind:UInt32, addend:UInt64",CallGraph-d1
?FeatureLoggingHook@details@wil@@YAXIPEBUFEATURE_LOGGED_TRAITS@@PEBUFEATURE_ERROR@@HPEBW4wil_ReportingKind@@PEBW4wil_VariantReportingKind@@E_K@Z,0x18007d176,Microsoft.Windows.Wil.FeatureLogging,{DCEF5411-1F98-5EE7-238B-5ABD0E078E97},FeatureError,2,0x1,"featureId:UInt32, featureVersion:Int32, featureBaseVersion:Int32, featureStage:Int16, hr:Int32(HResult), file:AnsiString, lineNumber:UInt16, module:AnsiString, process:AnsiString, originFile:AnsiString, originLineNumber:UInt16, originModule:AnsiString, originName:AnsiString, message:AnsiString, callerModule:AnsiString, callerReturnAddressOffset:UInt32, originCallerModule:AnsiString, originCallerReturnAddressOffset:UInt32",CallGraph-d1
?FeatureLoggingHook@details@wil@@YAXIPEBUFEATURE_LOGGED_TRAITS@@PEBUFEATURE_ERROR@@HPEBW4wil_ReportingKind@@PEBW4wil_VariantReportingKind@@E_K@Z,0x18007ce4a,Microsoft.Windows.Wil.FeatureLogging,{DCEF5411-1F98-5EE7-238B-5ABD0E078E97},FeatureUsage,5,0x2,"featureId:UInt32, featureVersion:Int32, featureBaseVersion:Int32, featureStage:Int16, enabled:UInt8(Boolean), kind:UInt32, addend:UInt64",CallGraph-d1
?FeatureLoggingHook@details@wil@@YAXIPEBUFEATURE_LOGGED_TRAITS@@PEBUFEATURE_ERROR@@HPEBW4wil_ReportingKind@@PEBW4wil_VariantReportingKind@@E_K@Z,0x18007d067,Microsoft.Windows.Wil.FeatureLogging,{DCEF5411-1F98-5EE7-238B-5ABD0E078E97},FeatureVariantUsage,5,0x4,"featureId:UInt32, featureVersion:Int32, featureBaseVersion:Int32, featureStage:Int16, enabled:UInt8(Boolean), variantKind:UInt32, variant:UInt8, addend:UInt64",CallGraph-d1
?ReportTelemetryFailure@TraceLoggingProvider@wil@@IEAAXAEBUFailureInfo@2@@Z,0x1800bea90,Unknown,Unknown,FallbackError,2,0x200000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilResult:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",Unresolved
?ReportTraceLoggingFailure@TraceLoggingProvider@wil@@IEAAXAEBUFailureInfo@2@@Z,0x1800bebdf,Unknown,Unknown,FallbackError,2,0x0,"PartA_PrivTags:UInt64, wilResult:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",Unresolved
?ReportEventDriverUpdateSummary@CUpdateDiagnostics@@UEAAJPEAU_ReportEventDriverUpdateSummaryParams@@K@Z,0x1800bb3af,Update360Telemetry,{4AEEE6EC-CEFE-4C43-B460-909BD707260C},DriverUpdateSummaryReport,5,0x800000000000,"Result:Int32, ErrorCode:Int32(HResult), Summary:CountedString, AppendError:Bool32, AnalysisErrorCount:Int16, DevicePopulateErrorCount:Int16, TruncatedDriverCount:Int16, TruncatedDeviceCount:Int16, ObjectId:GUID, SessionId:UnicodeString, ScenarioId:Int32, FlightId:UnicodeString, UpdateId:UnicodeString, RelatedCV:AnsiString, __TlgCV__:AnsiString",Direct-Preceding
?ReportEventFellBackToDownloadingAllPackageFiles@CUpdateDiagnostics@@UEAAJPEAU_ReportEventFellBackToDownloadingAllPackageFiles@@K@Z,0x1800bbd04,Update360Telemetry,{4AEEE6EC-CEFE-4C43-B460-909BD707260C},FellBackToDownloadingAllPackageFiles,5,0x800000000000,"PartA_PrivTags:UInt64, ErrorCode:Int32(HResult), Package:UnicodeString, ObjectId:GUID, SessionId:UnicodeString, ScenarioId:Int32, FlightId:UnicodeString, UpdateId:UnicodeString, RelatedCV:AnsiString, __TlgCV__:AnsiString",Direct-Preceding
?ReportEventNormalAttributesOperation@CUpdateDiagnostics@@UEAAJPEAU_ReportEventAttributesOperationParams@@K@Z,0x1800bd35b,Update360Telemetry,{4AEEE6EC-CEFE-4C43-B460-909BD707260C},NormalAttributesOperation,5,0x400000000000,"ErrorCode:Int32(HResult), ElapsedTickCount:UInt64, AttributeName:CountedString, OperationType:Int32, ParameterOrResult:CountedString, ObjectId:GUID, SessionId:UnicodeString, ScenarioId:Int32, FlightId:UnicodeString, UpdateId:UnicodeString, RelatedCV:AnsiString, __TlgCV__:AnsiString",Direct-Preceding
?ReportEventPauseResumeEnd@CUpdateDiagnostics@@UEAAJPEAU_ReportEventPauseResumeParams@@K@Z,0x1800bdab7,Update360Telemetry,{4AEEE6EC-CEFE-4C43-B460-909BD707260C},PauseResume,5,0x800000000000,"ErrorCode:Int32(HResult), Result:Int32, Operation:UnicodeString, ObjectId:GUID, SessionId:UnicodeString, ScenarioId:Int32, FlightId:UnicodeString, UpdateId:UnicodeString, RelatedCV:AnsiString, __TlgCV__:AnsiString",Direct-Preceding
