Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?UusActiveVersionMismatch@UndockedUpdateTelemetry@uus@@SAXV?$optional@Vpath@filesystem@std@@@std@@0PEB_W_N1PEBD1II2@Z,0x18003de28,Microsoft.Windows.Update.Undocked.Brain,{B6ACEF34-FAB6-5909-6B6B-B1C2CC84057F},ActiveVersionMismatched,5,0x400000000000,"PartA_PrivTags:UInt64, BinaryName:UnicodeString, BinaryFinalPath:UnicodeString, CallerVersion:UnicodeString, Stable:UInt8(Boolean), ActiveVersion:UnicodeString, SpecificVerReason:AnsiString, SessionID:UnicodeString, HostArch:UInt32, ProcessArch:UInt32, IsWowProcess:UInt8(Boolean)",CallGraph-d1
?UusUnableToUpdateActiveVersion@UndockedUpdateTelemetry@uus@@SAXAEBVUusVersion@@_N0PEB_W@Z,0x180009aa0,Microsoft.Windows.Update.Undocked.Brain,{B6ACEF34-FAB6-5909-6B6B-B1C2CC84057F},ActiveVersionUnableToBeUpdated,5,0x200000000000,"PartA_PrivTags:UInt64, VerThisBrain:UnicodeString, Stable:UInt8(Boolean), VerActiveBrain:UnicodeString, Lock:UnicodeString",CallGraph-d1
?UusUpdatedActiveVersion@UndockedUpdateCoreTelemetry@uus@@SAXAEBVUusVersion@@_NAEBUUusInfo@2@10PEB_W33H@Z,0x18000a1cf,Microsoft.Windows.Update.Undocked.Brain,{B6ACEF34-FAB6-5909-6B6B-B1C2CC84057F},ActiveVersionUpdated,5,0x800000000000,"PartA_PrivTags:UInt64, VersionActive:UnicodeString, Stable:UInt8(Boolean), UusInfo:Struct(String), ver:UnicodeString, src:UnicodeString, Fallback:UInt8(Boolean), VersionPrevious:UnicodeString, Lock:UnicodeString, UpdateID:UnicodeString, FlightID:UnicodeString, MinutesSinceInstall:Int32",CallGraph-d1
?UusUpdatedButChangedBeforeReread@UndockedUpdateTelemetry@uus@@SAXAEBVUusVersion@@_N00PEB_W@Z,0x180009cab,Microsoft.Windows.Update.Undocked.Brain,{B6ACEF34-FAB6-5909-6B6B-B1C2CC84057F},ActiveVersionUpdatedButChangedBeforeReread,5,0x400000000000,"PartA_PrivTags:UInt64, VersionAnnointed:UnicodeString, Stable:UInt8(Boolean), VersionActive:UnicodeString, VersionPrevious:UnicodeString, Lock:UnicodeString",CallGraph-d1
?UusComponentDisabledByVelocity@UndockedUpdateTelemetry@uus@@SAXAEBV?$basic_string@_WU?$char_traits@_W@std@@V?$allocator@_W@2@@std@@V?$optional@Vpath@filesystem@std@@@4@V?$optional@VUusVersion@@@4@0I@Z,0x18003e225,Microsoft.Windows.Update.Undocked.Brain,{B6ACEF34-FAB6-5909-6B6B-B1C2CC84057F},ComponentDisabledByVelocity,5,0x200000000000,"PartA_PrivTags:UInt64, VerPackage:UnicodeString, PathCaller:UnicodeString, VerCaller:UnicodeString, SessionID:UnicodeString, FeatureID:UInt32",CallGraph-d1
?UusDuplicateVersionsFound@UndockedUpdateTelemetry@uus@@SAXAEBVUusVersion@@PEB_W1@Z,0x1800098c1,Microsoft.Windows.Update.Undocked.Brain,{B6ACEF34-FAB6-5909-6B6B-B1C2CC84057F},DuplicateVersionsFound,5,0x400000000000,"PartA_PrivTags:UInt64, Version:UnicodeString, PathPackage1:UnicodeString, PathPackage2:UnicodeString",CallGraph-d1
?UusExclusionListIsVersionExcluded@UndockedUpdateTelemetry@uus@@SAX_NAEBVUusVersion@@0@Z,0x180040bef,Microsoft.Windows.Update.Undocked.Brain,{B6ACEF34-FAB6-5909-6B6B-B1C2CC84057F},ExclusionListIsVersionExcluded,5,0x10000,"PartA_PrivTags:UInt64, IsExcluded:UInt8(Boolean), Version:UnicodeString, IsLocalExclusionList:UInt8(Boolean)",CallGraph-d1
?UusExclusionListParseFailure@UndockedUpdateTelemetry@uus@@SAX_NPEBD@Z,0x180040a97,Microsoft.Windows.Update.Undocked.Brain,{B6ACEF34-FAB6-5909-6B6B-B1C2CC84057F},ExclusionListParseFailed,5,0x200000000000,"PartA_PrivTags:UInt64, IsLocalExclusionList:UInt8(Boolean), Exception:AnsiString",CallGraph-d1
?UusFailedToLoadActivePackage@UndockedUpdateTelemetry@uus@@SAXPEB_W0@Z,0x18003e78a,Microsoft.Windows.Update.Undocked.Brain,{B6ACEF34-FAB6-5909-6B6B-B1C2CC84057F},FailedToLoadActivePackage,5,0x800000000000,"PartA_PrivTags:UInt64, VerThisBrain:UnicodeString, VerActiveBrain:UnicodeString",CallGraph-d1
?UusFailedToLoadAnointedPackage@UndockedUpdateTelemetry@uus@@SAXPEB_W0@Z,0x18003fba6,Microsoft.Windows.Update.Undocked.Brain,{B6ACEF34-FAB6-5909-6B6B-B1C2CC84057F},FailedToLoadBetterPackage,5,0x200000000000,"PartA_PrivTags:UInt64, VerThisBrain:UnicodeString, VerAnointedBrain:UnicodeString",CallGraph-d1
