Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?LogAssessmentStart@@YAXPEBDPEBGK@Z,0x180017d11,Microsoft.Windows.WaaSAssessment,{EC4BA041-1DFE-5F76-EF6D-0251DA19D178},AssessmentStart,5,0x400000000000,"PartA_PrivTags:UInt64, __TlgCV__:AnsiString, CallerName:UnicodeString, AssessmentType:UInt32",Direct-Preceding
?LogAssessmentStop@@YAXPEBDPEBGHKHJKK@Z,0x180017e7e,Microsoft.Windows.WaaSAssessment,{EC4BA041-1DFE-5F76-EF6D-0251DA19D178},AssessmentStop,5,0x400000000000,"PartA_PrivTags:UInt64, __TlgCV__:AnsiString, CallerName:UnicodeString, ForceCacheCall:Bool32, AssessmentType:UInt32, ForceLiveCall:Bool32, AssessmentImpact:UInt32, AssessmentStatus:UInt32, ResultCode:HexInt32",Direct-Preceding
?LogAssessmentStop@@YAXPEBDPEBGHKHJKK@Z,0x180018014,Microsoft.Windows.WaaSAssessment,{EC4BA041-1DFE-5F76-EF6D-0251DA19D178},AssessmentStop,5,0x400000000000,"PartA_PrivTags:UInt64, __TlgCV__:AnsiString, CallerName:UnicodeString, ForceCacheCall:Bool32, AssessmentType:UInt32, ForceLiveCall:Bool32, ResultCode:HexInt32",Direct-Preceding
?_LogMsgError@@YAXPEAG@Z,0x180018ba2,Microsoft.Windows.WaaSAssessment,{EC4BA041-1DFE-5F76-EF6D-0251DA19D178},Error,2,0x0,m:UnicodeString,Direct-Preceding
?_LogMsgError@@YAXPEAG@Z,0x180018bf3,Microsoft.Windows.WaaSAssessment,{EC4BA041-1DFE-5F76-EF6D-0251DA19D178},Error,5,0x400000000000,"PartA_PrivTags:UInt64, m:UnicodeString",Direct-Preceding
?_LogMsgInfo@@YAXPEAG@Z,0x180018c37,Microsoft.Windows.WaaSAssessment,{EC4BA041-1DFE-5F76-EF6D-0251DA19D178},Info,4,0x0,m:UnicodeString,Direct-Preceding
?LogLevel@@YAXEPEBGZZ,0x1800181dc,Microsoft.Windows.WaaSAssessment,{EC4BA041-1DFE-5F76-EF6D-0251DA19D178},LogLevelError,2,0x0,"fmt:UnicodeString, hr:HexInt32",Direct-Preceding
?LogOSAssessmentStart@@YAXPEBDPEBG@Z,0x180018308,Microsoft.Windows.WaaSAssessment,{EC4BA041-1DFE-5F76-EF6D-0251DA19D178},OSAssessmentStart,5,0x400000000000,"PartA_PrivTags:UInt64, __TlgCV__:AnsiString, CallerName:UnicodeString",Direct-Preceding
?LogOSAssessmentStop@@YAXPEBDPEBGHJKKKK@Z,0x180018474,Microsoft.Windows.WaaSAssessment,{EC4BA041-1DFE-5F76-EF6D-0251DA19D178},OSAssessmentStop,5,0x400000000000,"PartA_PrivTags:UInt64, __TlgCV__:AnsiString, CallerName:UnicodeString, ForceCacheCall:Bool32, CurrentImpact:UInt32, CurrentAssessmentStatus:UInt32, UpToDateImpact:UInt32, UpToDateAssessmentStatus:UInt32, ResultCode:HexInt32",Direct-Preceding
?LogOSAssessmentStop@@YAXPEBDPEBGHJKKKK@Z,0x1800185cd,Microsoft.Windows.WaaSAssessment,{EC4BA041-1DFE-5F76-EF6D-0251DA19D178},OSAssessmentStop,5,0x400000000000,"PartA_PrivTags:UInt64, __TlgCV__:AnsiString, CallerName:UnicodeString, ForceCacheCall:Bool32, ResultCode:HexInt32",Direct-Preceding
?_LogMsgVerbose@@YAXPEAG@Z,0x180018c6b,Microsoft.Windows.WaaSAssessment,{EC4BA041-1DFE-5F76-EF6D-0251DA19D178},Verbose,5,0x0,m:UnicodeString,Direct-Preceding
?_LogMsgWarning@@YAXPEAG@Z,0x180018ca6,Microsoft.Windows.WaaSAssessment,{EC4BA041-1DFE-5F76-EF6D-0251DA19D178},Warning,3,0x0,m:UnicodeString,Direct-Preceding
?_LogMsgWarning@@YAXPEAG@Z,0x180018cf7,Microsoft.Windows.WaaSAssessment,{EC4BA041-1DFE-5F76-EF6D-0251DA19D178},Warning,5,0x200000000000,"PartA_PrivTags:UInt64, m:UnicodeString",Direct-Preceding
?FeatureLoggingHook@details@wil@@YAXIPEBUFEATURE_LOGGED_TRAITS@@PEBUFEATURE_ERROR@@HPEBW4wil_ReportingKind@@PEBW4wil_VariantReportingKind@@E_K@Z,0x180011df4,Microsoft.Windows.Wil.FeatureLogging,{DCEF5411-1F98-5EE7-238B-5ABD0E078E97},EnabledFeatureUsage,5,0xa,"featureId:UInt32, featureVersion:Int32, featureBaseVersion:Int32, featureStage:Int16, enabled:UInt8(Boolean), kind:UInt32, addend:UInt64",CallGraph-d1
?FeatureLoggingHook@details@wil@@YAXIPEBUFEATURE_LOGGED_TRAITS@@PEBUFEATURE_ERROR@@HPEBW4wil_ReportingKind@@PEBW4wil_VariantReportingKind@@E_K@Z,0x180012086,Microsoft.Windows.Wil.FeatureLogging,{DCEF5411-1F98-5EE7-238B-5ABD0E078E97},FeatureError,2,0x1,"featureId:UInt32, featureVersion:Int32, featureBaseVersion:Int32, featureStage:Int16, hr:Int32(HResult), file:AnsiString, lineNumber:UInt16, module:AnsiString, process:AnsiString, originFile:AnsiString, originLineNumber:UInt16, originModule:AnsiString, originName:AnsiString, message:AnsiString, callerModule:AnsiString, callerReturnAddressOffset:UInt32, originCallerModule:AnsiString, originCallerReturnAddressOffset:UInt32",CallGraph-d1
?FeatureLoggingHook@details@wil@@YAXIPEBUFEATURE_LOGGED_TRAITS@@PEBUFEATURE_ERROR@@HPEBW4wil_ReportingKind@@PEBW4wil_VariantReportingKind@@E_K@Z,0x180011d5a,Microsoft.Windows.Wil.FeatureLogging,{DCEF5411-1F98-5EE7-238B-5ABD0E078E97},FeatureUsage,5,0x2,"featureId:UInt32, featureVersion:Int32, featureBaseVersion:Int32, featureStage:Int16, enabled:UInt8(Boolean), kind:UInt32, addend:UInt64",CallGraph-d1
?FeatureLoggingHook@details@wil@@YAXIPEBUFEATURE_LOGGED_TRAITS@@PEBUFEATURE_ERROR@@HPEBW4wil_ReportingKind@@PEBW4wil_VariantReportingKind@@E_K@Z,0x180011f77,Microsoft.Windows.Wil.FeatureLogging,{DCEF5411-1F98-5EE7-238B-5ABD0E078E97},FeatureVariantUsage,5,0x4,"featureId:UInt32, featureVersion:Int32, featureBaseVersion:Int32, featureStage:Int16, enabled:UInt8(Boolean), variantKind:UInt32, variant:UInt8, addend:UInt64",CallGraph-d1
?ReportTelemetryFailure@TraceLoggingProvider@wil@@IEAAXAEBUFailureInfo@2@@Z,0x1800159fc,Unknown,Unknown,FallbackError,2,0x200000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilResult:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",Unresolved
?ReportTraceLoggingFailure@TraceLoggingProvider@wil@@IEAAXAEBUFailureInfo@2@@Z,0x180015b4b,Unknown,Unknown,FallbackError,2,0x0,"PartA_PrivTags:UInt64, wilResult:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",Unresolved
