Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?NotifyFailure@?$ActivityBase@UExperienceExtensionsTelemetry@@$00$0A@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x18001f616,Microsoft.Windows.Services.Experiences.ExperienceExtensions,{FE276891-7D1F-4D1B-8B22-427048D079FE},ActivityError,2,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
?NotifyFailure@?$ActivityBase@UExperienceExtensionsTelemetry@@$00$0A@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x18001f742,Microsoft.Windows.Services.Experiences.ExperienceExtensions,{FE276891-7D1F-4D1B-8B22-427048D079FE},ActivityError,2,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d1
?ReportStopActivity@?$ActivityBase@UExperienceExtensionsTelemetry@@$00$0A@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@AEAAXJ@Z,0x180021646,Microsoft.Windows.Services.Experiences.ExperienceExtensions,{FE276891-7D1F-4D1B-8B22-427048D079FE},ActivityFailure,2,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
?ReportStopActivity@?$ActivityBase@UExperienceExtensionsTelemetry@@$00$0A@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@AEAAXJ@Z,0x18002181c,Microsoft.Windows.Services.Experiences.ExperienceExtensions,{FE276891-7D1F-4D1B-8B22-427048D079FE},ActivityFailure,2,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Hex), hresult:UInt32, threadId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
?Stop@?$ActivityBase@UExperienceExtensionsTelemetry@@$00$0A@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x180021d2b,Microsoft.Windows.Services.Experiences.ExperienceExtensions,{FE276891-7D1F-4D1B-8B22-427048D079FE},ActivityIntermediateStop,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
??$_tlgWriteActivityAutoStop@$0A@$04@@YAXPEBU_tlgProvider_t@@PEBU_GUID@@@Z,0x18001a6f5,Microsoft.Windows.Services.Experiences.ExperienceExtensions,{FE276891-7D1F-4D1B-8B22-427048D079FE},ActivityStoppedAutomatically,5,0x0,(none),GlobalFallback
?ReportTelemetryFailure@TraceLoggingProvider@wil@@IEAAXAEBUFailureInfo@2@@Z,0x180003448,Microsoft.Windows.Services.Experiences.ExperienceExtensions,{FE276891-7D1F-4D1B-8B22-427048D079FE},FallbackError,2,0x200000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilResult:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",GlobalFallback
?ReportTraceLoggingFailure@TraceLoggingProvider@wil@@IEAAXAEBUFailureInfo@2@@Z,0x180003592,Microsoft.Windows.Services.Experiences.ExperienceExtensions,{FE276891-7D1F-4D1B-8B22-427048D079FE},FallbackError,2,0x0,"PartA_PrivTags:UInt64, wilResult:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",GlobalFallback
?ResumedOnForegroundThread@WinRTWrapper_InvokeMethod@ExperienceExtensionsTelemetry@@QEAAXXZ,0x18002197b,Microsoft.Windows.Services.Experiences.ExperienceExtensions,{FE276891-7D1F-4D1B-8B22-427048D079FE},ResumedOnForegroundThread,5,0x0,(none),CallGraph-d1
?StartActivity@WinRTWrapper_InvokeMethod@ExperienceExtensionsTelemetry@@QEAAXPEB_W0@Z,0x180021b1c,Microsoft.Windows.Services.Experiences.ExperienceExtensions,{FE276891-7D1F-4D1B-8B22-427048D079FE},WinRTWrapper_InvokeMethod,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32, className:UnicodeString, methodName:UnicodeString",CallGraph-d1
