Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?NotifyFailure@?$ActivityBase@VFontSubsettingTelemetryProvider@@$0A@$0A@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x1803eb122,Microsoft.Windows.Fonts.FontSubsetting,{37152864-4C08-5745-DA4F-65A46A537347},ActivityError,2,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d2
?StartActivity@CreateFontPackage@FontSubsettingTelemetry@@QEAAXXZ,0x1803eb54a,Microsoft.Windows.Fonts.FontSubsetting,{37152864-4C08-5745-DA4F-65A46A537347},CreateFontPackage,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",CallGraph-d2
?Stop@CreateFontPackage@FontSubsettingTelemetry@@QEAAXK@Z,0x1803eb5e2,Microsoft.Windows.Fonts.FontSubsetting,{37152864-4C08-5745-DA4F-65A46A537347},CreateFontPackage,5,0x0,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString, retCode:UInt32",CallGraph-d2
?Stop@CreateFontPackage@FontSubsettingTelemetry@@QEAAXK@Z,0x1803eb77b,Microsoft.Windows.Fonts.FontSubsetting,{37152864-4C08-5745-DA4F-65A46A537347},CreateFontPackage,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32, retCode:UInt32",CallGraph-d2
?StopActivity@CreateFontPackage@FontSubsettingTelemetry@@MEAAXXZ,0x1803eb847,Microsoft.Windows.Fonts.FontSubsetting,{37152864-4C08-5745-DA4F-65A46A537347},CreateFontPackage,5,0x0,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d2
?StopActivity@CreateFontPackage@FontSubsettingTelemetry@@MEAAXXZ,0x1803eb9cf,Microsoft.Windows.Fonts.FontSubsetting,{37152864-4C08-5745-DA4F-65A46A537347},CreateFontPackage,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
??$_tlgWriteActivityAutoStop@$0A@$04@@YAXPEBU_tlgProvider_t@@PEBU_GUID@@@Z,0x1803eab38,Unknown,Unknown,ActivityStoppedAutomatically,5,0x0,(none),Unresolved
?ReportTelemetryFailure@TraceLoggingProvider@wil@@IEAAXAEBUFailureInfo@2@@Z,0x1803eb265,Unknown,Unknown,FallbackError,2,0x200000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilResult:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",Unresolved
?ReportTraceLoggingFailure@TraceLoggingProvider@wil@@IEAAXAEBUFailureInfo@2@@Z,0x1803eb42a,Unknown,Unknown,FallbackError,2,0x0,"PartA_PrivTags:UInt64, wilResult:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",Unresolved
?_OnPageViewStateChanged@TileRenderer@PdfInternal@@AEAAXIAEBVCRect@Infra@@00AEAV?$list@UBatchRequestInfo@TileRenderer@PdfInternal@@V?$allocator@UBatchRequestInfo@TileRenderer@PdfInternal@@@std@@@std@@@Z,0x180209f8f,Windows.PdfApi,{79374C5B-F272-4BD8-99C2-5B6F53FA2CE1},All tiles cancelled on view state changed,5,0x0,(none),Direct-Preceding
_lambda_aa127a95478b30516ff257ba17ddd4f7_::operator(),0x1801e7c6b,Windows.PdfApi,{79374C5B-F272-4BD8-99C2-5B6F53FA2CE1},AsyncStageCancel,4,0x400000000000,"pdfSessionId:UInt64, AsyncStage:Int32",Direct-Preceding
?Uninitialize@CommandHandler@PdfPrivate@@QEAAXXZ,0x180269cd1,Windows.PdfApi,{79374C5B-F272-4BD8-99C2-5B6F53FA2CE1},CommandHandlerUninitializeCalled,5,0x0,(none),Direct-Preceding
??1CompDocViewHost@PdfPrivate@@UEAA@XZ,0x18027ce05,Windows.PdfApi,{79374C5B-F272-4BD8-99C2-5B6F53FA2CE1},CompDocViewHostDestructorCalled,5,0x0,(none),Direct-Preceding
_lambda_f5efc62b544a4edc9573694931a6d9c2_::operator(),0x1803d8f41,Windows.PdfApi,{79374C5B-F272-4BD8-99C2-5B6F53FA2CE1},CopyTextComplete,4,0x0,(none),Direct-Preceding
?LogMaxCoreRenderTimeIfNecessary@FileSessionLogger@Infra@@AEAAXXZ,0x1801a0421,Windows.PdfApi,{79374C5B-F272-4BD8-99C2-5B6F53FA2CE1},CoreRenderOutlier,4,0x400000000000,"pdfSessionId:UInt64, DataPoint:AnsiString, TimeDiffMSec:UInt32, PageIndex:UInt64, ZoomFactorX:Float, ZoomFactorY:Float, Rect.Left:Float, Rect.Top:Float, Rect.Right:Float, Rect.Bottom:Float",Direct-Preceding
?OnStart@PageRenderAction@PdfPrivate@@UEAAJXZ,0x180258a2a,Windows.PdfApi,{79374C5B-F272-4BD8-99C2-5B6F53FA2CE1},CoreRendererBegin,5,0x0,PageIndex:UInt64,Direct-Preceding
?RenderPage@CPdfControl@PdfInternal@@UEAAJPEAUIPdfPage@Pdf@Data@Windows@@PEAUIInspectable@@URect@Foundation@6@2W4RenderOptions@Internal@456@@Z,0x1801ff0ce,Windows.PdfApi,{79374C5B-F272-4BD8-99C2-5B6F53FA2CE1},CoreRendererBegin,5,0x0,pdfSessionId:UInt64,Direct-Preceding
?TileRender@PdfRenderer@PdfPrivate@@AEAAXPEAUIPdfRenderRequestNative@@PEAUIPdfDrawingSurface@@IMMW4AnnotationType@PageElements@@@Z,0x180259ca4,Windows.PdfApi,{79374C5B-F272-4BD8-99C2-5B6F53FA2CE1},CoreRendererBegin,5,0x0,PageIndex:UInt32,Direct-Preceding
??R_lambda_07741c437e82131fce38068be7eff635_@@QEBA@XZ,0x18025733a,Windows.PdfApi,{79374C5B-F272-4BD8-99C2-5B6F53FA2CE1},CoreRendererEnd,5,0x0,PageIndex:UInt64,Direct-Preceding
