Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
sub_18007527C,0x180075308,Microsoft-Windows-PerceptionRuntime,{ADD0DE40-32B0-4B58-9D5E-938B2F5C1D1F},ServiceEnumSourcesTimeout,3,0x10,(none),Direct-Preceding
sub_18001EE04,0x18001ef13,Microsoft-Windows-PerceptionRuntime-Verbose,{E92355C0-41E4-4AED-8D67-DF6B2058F090},ConnectToService,4,0x0,"hr:Int32, attempt:UInt32",Direct-Preceding
sub_18004D2A0,0x18004d445,Microsoft-Windows-PerceptionRuntime-Verbose,{E92355C0-41E4-4AED-8D67-DF6B2058F090},CreateWatcher,4,0x400000000000,"Kind:UnicodeString, UTCReplace_AppSessionGuid:Bool32",Direct-Preceding
sub_18004D490,0x18004d635,Microsoft-Windows-PerceptionRuntime-Verbose,{E92355C0-41E4-4AED-8D67-DF6B2058F090},CreateWatcher,4,0x400000000000,"Kind:UnicodeString, UTCReplace_AppSessionGuid:Bool32",Direct-Preceding
sub_18004D680,0x18004d825,Microsoft-Windows-PerceptionRuntime-Verbose,{E92355C0-41E4-4AED-8D67-DF6B2058F090},CreateWatcher,4,0x400000000000,"Kind:UnicodeString, UTCReplace_AppSessionGuid:Bool32",Direct-Preceding
sub_180040374,0x180040c8c,Microsoft-Windows-PerceptionRuntime-Verbose,{E92355C0-41E4-4AED-8D67-DF6B2058F090},FindAllAsync,4,0x400000000000,"Kind:UnicodeString, Count:UInt32, UTCReplace_AppSessionGuid:Bool32",Direct-Preceding
sub_180043B40,0x180044458,Microsoft-Windows-PerceptionRuntime-Verbose,{E92355C0-41E4-4AED-8D67-DF6B2058F090},FindAllAsync,4,0x400000000000,"Kind:UnicodeString, Count:UInt32, UTCReplace_AppSessionGuid:Bool32",Direct-Preceding
sub_1800469DC,0x1800472f4,Microsoft-Windows-PerceptionRuntime-Verbose,{E92355C0-41E4-4AED-8D67-DF6B2058F090},FindAllAsync,4,0x400000000000,"Kind:UnicodeString, Count:UInt32, UTCReplace_AppSessionGuid:Bool32",Direct-Preceding
sub_1800575F0,0x18005783e,Microsoft-Windows-PerceptionRuntime-Verbose,{E92355C0-41E4-4AED-8D67-DF6B2058F090},FrameArrived,4,0x200000000000,"SourceId:UnicodeString, Kind:UnicodeString, SourceDisplayName:UnicodeString, FrameCount:Int32, UTCReplace_AppSessionGuid:Bool32",Direct-Preceding
sub_1800578B0,0x180057afe,Microsoft-Windows-PerceptionRuntime-Verbose,{E92355C0-41E4-4AED-8D67-DF6B2058F090},FrameArrived,4,0x200000000000,"SourceId:UnicodeString, Kind:UnicodeString, SourceDisplayName:UnicodeString, FrameCount:Int32, UTCReplace_AppSessionGuid:Bool32",Direct-Preceding
