Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?DeleteCryptogramMaterialStorageKeyAsync@CryptogramGeneratorImpl@SmartCards@Devices@Windows@@UEAAJPEAUHSTRING__@@PEAPEAU?$IAsyncOperation@W4SmartCardCryptogramGeneratorOperationStatus@SmartCards@Devices@Windows@@@Foundation@4@@Z,0x180028f93,Microsoft.Windows.Nfc.SmartCard,{448EA390-E468-4973-9BBD-3CAA4F031209},DeleteCryptogramMaterialStorageKeyAsync,5,0x400000000000,(none),SingleProvider
_lambda_d3bb890695020e812617424fe4e85ba7_::operator(),0x180026d39,Microsoft.Windows.Nfc.SmartCard,{448EA390-E468-4973-9BBD-3CAA4F031209},EndCreateCryptogramMaterialStorageKeyAsync,5,0x200000000000,hResult:Int32,SingleProvider
_lambda_85262f517810f6846d4f5d566bebbf45_::operator(),0x180025c0c,Microsoft.Windows.Nfc.SmartCard,{448EA390-E468-4973-9BBD-3CAA4F031209},EndImportCryptogramMaterialPackageAsync,5,0x200000000000,hResult:Int32,SingleProvider
_lambda_31e92f4dfb7e7cdf3a2bf03eb84b2b47_::operator(),0x1800251e4,Microsoft.Windows.Nfc.SmartCard,{448EA390-E468-4973-9BBD-3CAA4F031209},EndRequestCryptogramMaterialStorageKeyInfoAsync,5,0x200000000000,hResult:Int32,SingleProvider
_lambda_b4ad4f6c8e9546cbdb2eb248517d595f_::operator(),0x180026947,Microsoft.Windows.Nfc.SmartCard,{448EA390-E468-4973-9BBD-3CAA4F031209},EndRequestGetAllCryptogramMaterialCharacteristicsAsync,5,0x200000000000,hResult:Int32,SingleProvider
_lambda_b4b5bdb0a4a12127841b56a152c15f62_::operator(),0x180026bf7,Microsoft.Windows.Nfc.SmartCard,{448EA390-E468-4973-9BBD-3CAA4F031209},EndRequestGetAllCryptogramMaterialPackageCharacteristicsAsync,5,0x200000000000,hResult:Int32,SingleProvider
_lambda_fd6f4c614838517e51b66b48249ad754_::operator(),0x180026ea1,Microsoft.Windows.Nfc.SmartCard,{448EA390-E468-4973-9BBD-3CAA4F031209},EndRequestGetAllCryptogramMaterialPackageCharacteristicsWithStorageKeyAsync,5,0x200000000000,hResult:Int32,SingleProvider
_lambda_67e886b0e29caf44516aade491e9c772_::operator(),0x180025a8c,Microsoft.Windows.Nfc.SmartCard,{448EA390-E468-4973-9BBD-3CAA4F031209},EndRequestGetAllCryptogramStorageKeyCharacteristicsAsync,5,0x200000000000,hResult:Int32,SingleProvider
_lambda_9ed855f17267459c3525d7d7d9e45cbd_::operator(),0x1800262a2,Microsoft.Windows.Nfc.SmartCard,{448EA390-E468-4973-9BBD-3CAA4F031209},EndRequestUnlockCryptogramMaterialPackagesForUseAsync,5,0x200000000000,hResult:Int32,SingleProvider
?RuntimeClassInitialize@SmartCardTriggerDetails@SmartCards@Devices@Windows@@QEAAJKPEAE@Z,0x18003b456,Microsoft.Windows.Nfc.SmartCard,{448EA390-E468-4973-9BBD-3CAA4F031209},ReaderCardAdded,5,0x0,"hResult:Int32, Name:UnicodeString",SingleProvider
