Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?NotifyFailure@?$ActivityBase@VWindowTabManagerTraceLoggingProvider@@$00$0A@$03$0CAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x18001ca58,Microsoft.Windows.Internal.UI.Shell.WindowTabManagerTelemetry,{7326C0E1-AA32-549A-9EF0-357D7D356D35},ActivityError,2,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
?NotifyFailure@?$ActivityBase@VWindowTabManagerTraceLoggingProvider@@$00$0A@$03$0CAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x18001cb86,Microsoft.Windows.Internal.UI.Shell.WindowTabManagerTelemetry,{7326C0E1-AA32-549A-9EF0-357D7D356D35},ActivityError,2,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d2
?ReportStopActivity@?$ActivityBase@VWindowTabManagerTraceLoggingProvider@@$00$0A@$03$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@AEAAXJ@Z,0x18001d3e5,Microsoft.Windows.Internal.UI.Shell.WindowTabManagerTelemetry,{7326C0E1-AA32-549A-9EF0-357D7D356D35},ActivityFailure,2,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
?ReportStopActivity@?$ActivityBase@VWindowTabManagerTraceLoggingProvider@@$00$0A@$03$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@AEAAXJ@Z,0x18001d54f,Microsoft.Windows.Internal.UI.Shell.WindowTabManagerTelemetry,{7326C0E1-AA32-549A-9EF0-357D7D356D35},ActivityFailure,2,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Hex), hresult:UInt32, threadId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
?Stop@?$ActivityBase@VWindowTabManagerTraceLoggingProvider@@$00$0A@$03$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x1800295c3,Microsoft.Windows.Internal.UI.Shell.WindowTabManagerTelemetry,{7326C0E1-AA32-549A-9EF0-357D7D356D35},ActivityIntermediateStop,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
?StartActivity@ReadTabDataFromSharedMemory@WindowTabManagerTraceLoggingProvider@@QEAAXXZ,0x18001dc86,Microsoft.Windows.Internal.UI.Shell.WindowTabManagerTelemetry,{7326C0E1-AA32-549A-9EF0-357D7D356D35},ReadTabDataFromSharedMemory,4,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",CallGraph-d2
?Stop@ReadTabDataFromSharedMemory@WindowTabManagerTraceLoggingProvider@@QEAAX_N@Z,0x18001ddc0,Microsoft.Windows.Internal.UI.Shell.WindowTabManagerTelemetry,{7326C0E1-AA32-549A-9EF0-357D7D356D35},ReadTabDataFromSharedMemory,4,0x0,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString, HasData:UInt8(Boolean)",CallGraph-d2
?Stop@ReadTabDataFromSharedMemory@WindowTabManagerTraceLoggingProvider@@QEAAX_N@Z,0x18001df62,Microsoft.Windows.Internal.UI.Shell.WindowTabManagerTelemetry,{7326C0E1-AA32-549A-9EF0-357D7D356D35},ReadTabDataFromSharedMemory,4,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32, HasData:UInt8(Boolean)",CallGraph-d2
?StopActivity@ReadTabDataFromSharedMemory@WindowTabManagerTraceLoggingProvider@@MEAAXXZ,0x18001e077,Microsoft.Windows.Internal.UI.Shell.WindowTabManagerTelemetry,{7326C0E1-AA32-549A-9EF0-357D7D356D35},ReadTabDataFromSharedMemory,4,0x0,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d2
?StopActivity@ReadTabDataFromSharedMemory@WindowTabManagerTraceLoggingProvider@@MEAAXXZ,0x18001e1ff,Microsoft.Windows.Internal.UI.Shell.WindowTabManagerTelemetry,{7326C0E1-AA32-549A-9EF0-357D7D356D35},ReadTabDataFromSharedMemory,4,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
