Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?NotifyFailure@?$ActivityBase@VAutopilotUpdateLoggingProvider@Logging@Autopilot@Management@Windows@Microsoft@@$00$0IAAAAAAAAAAA@$03$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x18009fe55,Microsoft.Windows.Management.Autopilot,{6263BDE9-33AE-4C30-B2A1-ED90DA5F2295},ActivityError,2,0xa00000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
?NotifyFailure@?$ActivityBase@VAutopilotUpdateLoggingProvider@Logging@Autopilot@Management@Windows@Microsoft@@$00$0IAAAAAAAAAAA@$03$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x18009ff9d,Microsoft.Windows.Management.Autopilot,{6263BDE9-33AE-4C30-B2A1-ED90DA5F2295},ActivityError,2,0x800000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d2
?Stop@?$ActivityBase@VAutopilotUpdateLoggingProvider@Logging@Autopilot@Management@Windows@Microsoft@@$00$0IAAAAAAAAAAA@$03$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x1800a103d,Microsoft.Windows.Management.Autopilot,{6263BDE9-33AE-4C30-B2A1-ED90DA5F2295},ActivityIntermediateStop,5,0x800000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
??$AppendSearchResult@PEAGPEAG@Search@UpdateOperations@Logging@Autopilot@Management@Windows@Microsoft@@QEAAX$$QEAPEAG0@Z,0x180096222,Microsoft.Windows.Management.Autopilot,{6263BDE9-33AE-4C30-B2A1-ED90DA5F2295},AppendSearchResult,5,0x800000000000,"updateTitle:UnicodeString, updateId:UnicodeString",CallGraph-d2
?CancelDownload@Download@UpdateOperations@Logging@Autopilot@Management@Windows@Microsoft@@QEAAXXZ,0x18009e5f4,Microsoft.Windows.Management.Autopilot,{6263BDE9-33AE-4C30-B2A1-ED90DA5F2295},CancelDownload,5,0x800000000000,(none),CallGraph-d2
?CancelInstall@Install@UpdateOperations@Logging@Autopilot@Management@Windows@Microsoft@@QEAAXXZ,0x18009e644,Microsoft.Windows.Management.Autopilot,{6263BDE9-33AE-4C30-B2A1-ED90DA5F2295},CancelInstall,5,0x800000000000,(none),CallGraph-d2
?CancelSearch@Search@UpdateOperations@Logging@Autopilot@Management@Windows@Microsoft@@QEAAXXZ,0x18009e694,Microsoft.Windows.Management.Autopilot,{6263BDE9-33AE-4C30-B2A1-ED90DA5F2295},CancelSearch,5,0x800000000000,(none),CallGraph-d2
??$CommitOnRestart@AEAJ@Install@UpdateOperations@Logging@Autopilot@Management@Windows@Microsoft@@QEAAXAEAJ@Z,0x1800964c0,Microsoft.Windows.Management.Autopilot,{6263BDE9-33AE-4C30-B2A1-ED90DA5F2295},CommitOnRestart,5,0x0,errorCode:Int32,CallGraph-d2
?StartActivity@Download@UpdateOperations@Logging@Autopilot@Management@Windows@Microsoft@@QEAAXXZ,0x1800a0d91,Microsoft.Windows.Management.Autopilot,{6263BDE9-33AE-4C30-B2A1-ED90DA5F2295},Download,4,0x800000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",CallGraph-d2
?Stop@Download@UpdateOperations@Logging@Autopilot@Management@Windows@Microsoft@@QEAAXKK@Z,0x1800a1117,Microsoft.Windows.Management.Autopilot,{6263BDE9-33AE-4C30-B2A1-ED90DA5F2295},Download,4,0x800000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, resultCode:UInt32, downloadResult:UInt32",CallGraph-d2
