Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?OnServiceStateChanged@MediaPlayerImpl@@UEAAXK@Z,0x180045cdd,Microsoft.Windows.MediaFoundation.BackgroundMediaPlayback,{3A2E5A5C-9CAC-5E49-F93A-FBE76451B4AD},AudioSrv has restarted,5,0x0,(none),SingleProvider
_lambda_9a9f04d443b6cddb92697b4a43f78f40_::operator(),0x180006263,Microsoft.Windows.MediaFoundation.BackgroundMediaPlayback,{3A2E5A5C-9CAC-5E49-F93A-FBE76451B4AD},BackgroundMediaPlayerStatics::CreateAudioSession GetAudioSessionControl,2,0x200000000000,"audio session GUID:GUID, HResult:Int32(HResult)",SingleProvider
?get_Current@BackgroundMediaPlayerStatics@@UEAAJPEAPEAUIMediaPlayer@Playback@Media@Windows@@@Z,0x18000c4eb,Microsoft.Windows.MediaFoundation.BackgroundMediaPlayback,{3A2E5A5C-9CAC-5E49-F93A-FBE76451B4AD},BackgroundMediaPlayerStatics::get_Current,5,0x0,"this:HexInt64, value:HexInt64",SingleProvider
?get_Current@BackgroundPlayerPrivateStatics@@UEAAJU_GUID@@PEAPEAUIMediaPlayer@Playback@Media@Windows@@@Z,0x18006945b,Microsoft.Windows.MediaFoundation.BackgroundMediaPlayback,{3A2E5A5C-9CAC-5E49-F93A-FBE76451B4AD},BackgroundPlayerPrivateStatics::get_Current,5,0x0,"this:HexInt64, *value:HexInt64",SingleProvider
?get_Current@BackgroundPlayerPrivateStatics@@UEAAJU_GUID@@PEAPEAUIMediaPlayer@Playback@Media@Windows@@@Z,0x180069347,Microsoft.Windows.MediaFoundation.BackgroundMediaPlayback,{3A2E5A5C-9CAC-5E49-F93A-FBE76451B4AD},BackgroundPlayerPrivateStatics::get_Current - BMP: create as current,5,0x0,this:HexInt64,SingleProvider
?Close@MediaPlayerImpl@@UEAAJXZ,0x180031b8d,Microsoft.Windows.MediaFoundation.BackgroundMediaPlayback,{3A2E5A5C-9CAC-5E49-F93A-FBE76451B4AD},Close,5,0x0,this:HexInt64,SingleProvider
?RaiseMessageFromBackgroundEventOnEventDispatchThread@MediaPlayerImpl@@AEAAXPEAUIPropertySet@Collections@Foundation@Windows@@@Z,0x18004abd3,Microsoft.Windows.MediaFoundation.BackgroundMediaPlayback,{3A2E5A5C-9CAC-5E49-F93A-FBE76451B4AD},DataFromBackgroundSent,5,0x0,this:HexInt64,SingleProvider
?RaiseMessageFromForegroundEventOnEventDispatchThread@MediaPlayerImpl@@AEAAXPEAUIPropertySet@Collections@Foundation@Windows@@@Z,0x18004af77,Microsoft.Windows.MediaFoundation.BackgroundMediaPlayback,{3A2E5A5C-9CAC-5E49-F93A-FBE76451B4AD},DataFromForegroundSent,5,0x0,this:HexInt64,SingleProvider
?LogError@@YAXJPEBDIPEBX@Z,0x180009461,Microsoft.Windows.MediaFoundation.BackgroundMediaPlayback,{3A2E5A5C-9CAC-5E49-F93A-FBE76451B4AD},Error,2,0x0,"Function:AnsiString, Line:UInt32, this:HexInt64, HRESULT:Int32(HResult)",SingleProvider
?LogError@@YAXJPEBDIPEBX@Z,0x1800094a8,Microsoft.Windows.MediaFoundation.BackgroundMediaPlayback,{3A2E5A5C-9CAC-5E49-F93A-FBE76451B4AD},Error,2,0x0,"Function:AnsiString, Line:UInt32, HRESULT:Int32(HResult)",SingleProvider
