Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?SkippedPackage@PackageWrapperProvider@@SAXXZ,0x18000ee8a,Microsoft.Windows.Shell.AppDefaults.PackageIteratorWrapper,{67C7CABC-6A86-4F15-ACE8-596CB87F0A72},SkippedPackage,5,0x400000000000,PartA_PrivTags:UInt64,CallGraph-d1
?StartActivity@AID_ButtonClickHandler@CloudFilesTelemetry@@QEAAXPEBG0@Z,0x180031156,Microsoft.Windows.Shell.CloudFiles,{08F5D47E-67D3-4EE0-8E0C-CBD309AB5D1B},AID_ButtonClickHandler,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32, buttonId:UnicodeString, appName:UnicodeString",CallGraph-d2
?StopActivity@AID_ButtonClickHandler@CloudFilesTelemetry@@MEAAXXZ,0x180031312,Microsoft.Windows.Shell.CloudFiles,{08F5D47E-67D3-4EE0-8E0C-CBD309AB5D1B},AID_ButtonClickHandler,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
?StopActivity@AID_ButtonClickHandler@CloudFilesTelemetry@@MEAAXXZ,0x180031477,Microsoft.Windows.Shell.CloudFiles,{08F5D47E-67D3-4EE0-8E0C-CBD309AB5D1B},AID_ButtonClickHandler,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
?NotifyFailure@?$ActivityBase@VCloudFileProvider@@$00$0EAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x180030d75,Microsoft.Windows.Shell.CloudFiles,{08F5D47E-67D3-4EE0-8E0C-CBD309AB5D1B},ActivityError,2,0x600000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
?NotifyFailure@?$ActivityBase@VCloudFileProvider@@$00$0EAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x180030ebd,Microsoft.Windows.Shell.CloudFiles,{08F5D47E-67D3-4EE0-8E0C-CBD309AB5D1B},ActivityError,2,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d2
?Stop@?$ActivityBase@VCloudFileProvider@@$00$0EAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x18003123d,Microsoft.Windows.Shell.CloudFiles,{08F5D47E-67D3-4EE0-8E0C-CBD309AB5D1B},ActivityIntermediateStop,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
?NotifyFailure@?$ActivityBase@VDefaultAssocLogging@@$00$0A@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x18001d165,Microsoft.Windows.Shell.DefaultAssoc,{E305FB0F-DA8E-52B5-A918-7A4F17A2531A},ActivityError,2,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
?NotifyFailure@?$ActivityBase@VDefaultAssocLogging@@$00$0A@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x18001d293,Microsoft.Windows.Shell.DefaultAssoc,{E305FB0F-DA8E-52B5-A918-7A4F17A2531A},ActivityError,2,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d2
?NotifyFailure@?$ActivityBase@VDefaultAssocLogging@@$00$0EAAAAAAAAAAA@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x1800371e5,Microsoft.Windows.Shell.DefaultAssoc,{E305FB0F-DA8E-52B5-A918-7A4F17A2531A},ActivityError,2,0x600000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
?NotifyFailure@?$ActivityBase@VDefaultAssocLogging@@$00$0EAAAAAAAAAAA@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x18003732d,Microsoft.Windows.Shell.DefaultAssoc,{E305FB0F-DA8E-52B5-A918-7A4F17A2531A},ActivityError,2,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d2
?ReportStopActivity@?$ActivityBase@VDefaultAssocLogging@@$00$0A@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@AEAAXJ@Z,0x18001e5f5,Microsoft.Windows.Shell.DefaultAssoc,{E305FB0F-DA8E-52B5-A918-7A4F17A2531A},ActivityFailure,2,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
?ReportStopActivity@?$ActivityBase@VDefaultAssocLogging@@$00$0A@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@AEAAXJ@Z,0x18001e75f,Microsoft.Windows.Shell.DefaultAssoc,{E305FB0F-DA8E-52B5-A918-7A4F17A2531A},ActivityFailure,2,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Hex), hresult:UInt32, threadId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
?Stop@?$ActivityBase@VDefaultAssocLogging@@$00$0A@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x18001f868,Microsoft.Windows.Shell.DefaultAssoc,{E305FB0F-DA8E-52B5-A918-7A4F17A2531A},ActivityIntermediateStop,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
??$AppUriState@AEAIAEAI@DefaultAssocTelemetry@@SAXAEAI0@Z,0x180013356,Microsoft.Windows.Shell.DefaultAssoc,{E305FB0F-DA8E-52B5-A918-7A4F17A2531A},AppUriState,5,0x400000000000,"countAppUrl:UInt32, countEnabled:UInt32",CallGraph-d2
??$AppUriToggleChoice@AEA_NPEBGAEAJ@DefaultAssocTelemetry@@SAXAEA_N$$QEAPEBGAEAJ@Z,0x180013415,Microsoft.Windows.Shell.DefaultAssoc,{E305FB0F-DA8E-52B5-A918-7A4F17A2531A},AppUriToggleChoice,5,0x400000000000,"enabled:UInt8(Boolean), appId:UnicodeString, hr:Int32",CallGraph-d2
??$DefaultAppsSearch@W4DefaultAppsSubpageContext@@@DefaultAssocTelemetry@@SAX$$QEAW4DefaultAppsSubpageContext@@@Z,0x180021415,Microsoft.Windows.Shell.DefaultAssoc,{E305FB0F-DA8E-52B5-A918-7A4F17A2531A},DefaultAppsSearch,5,0x400000000000,"subpage:Int32, PartA_PrivTags:UInt64",CallGraph-d2
?FileDefaultsCleared@DefaultAssocTelemetry@@SAXXZ,0x1800109ae,Microsoft.Windows.Shell.DefaultAssoc,{E305FB0F-DA8E-52B5-A918-7A4F17A2531A},FileDefaultsCleared,5,0x400000000000,PartA_PrivTags:UInt64,CallGraph-d2
?StartActivity@GetAppHostSettingsCollection@DefaultAssocTelemetry@@QEAAXXZ,0x18001f51f,Microsoft.Windows.Shell.DefaultAssoc,{E305FB0F-DA8E-52B5-A918-7A4F17A2531A},GetAppHostSettingsCollection,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",CallGraph-d2
?StopActivity@GetAppHostSettingsCollection@DefaultAssocTelemetry@@MEAAXXZ,0x18001f927,Microsoft.Windows.Shell.DefaultAssoc,{E305FB0F-DA8E-52B5-A918-7A4F17A2531A},GetAppHostSettingsCollection,5,0x0,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d2
?StopActivity@GetAppHostSettingsCollection@DefaultAssocTelemetry@@MEAAXXZ,0x18001faaf,Microsoft.Windows.Shell.DefaultAssoc,{E305FB0F-DA8E-52B5-A918-7A4F17A2531A},GetAppHostSettingsCollection,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
??$PinStatusSetDefaultBrowserSetting@PEAGAEAEAEAE@DefaultAssocTelemetry@@SAX$$QEAPEAGAEAE1@Z,0x18003c12f,Microsoft.Windows.Shell.DefaultAssoc,{E305FB0F-DA8E-52B5-A918-7A4F17A2531A},PinStatusSetDefaultBrowserSetting,5,0x400000000000,"appId:UnicodeString, isPinTo:UInt8(Boolean), isCheckBoxGroupVisible:UInt8(Boolean), PartA_PrivTags:UInt64",CallGraph-d2
??$PinToStartAsyncSetDefaultBrowserSetting@AEAJPEBGAEAEAEAE@DefaultAssocTelemetry@@SAXAEAJ$$QEAPEBGAEAE2@Z,0x18003c1e4,Microsoft.Windows.Shell.DefaultAssoc,{E305FB0F-DA8E-52B5-A918-7A4F17A2531A},PinToStartAsyncSetDefaultBrowserSetting,5,0x400000000000,"hr:Int32, pinnedTileId:UnicodeString, isPinned:UInt8(Boolean), pinToStartSucceeded:UInt8(Boolean)",CallGraph-d2
??$PinToStartAsyncSetDefaultBrowserSettingImp@AEAJPEBGAEAEAEAE@DefaultAssocTelemetry@@SAXAEAJ$$QEAPEBGAEAE2@Z,0x18003c298,Microsoft.Windows.Shell.DefaultAssoc,{E305FB0F-DA8E-52B5-A918-7A4F17A2531A},PinToStartAsyncSetDefaultBrowserSettingImp,5,0x400000000000,"hr:Int32, pinnedTileId:UnicodeString, isPinned:UInt8(Boolean), pinToStartSucceeded:UInt8(Boolean), PartA_PrivTags:UInt64",CallGraph-d2
?StartActivity@PinToStartSetDefaultBrowserSetting@DefaultAssocTelemetry@@QEAAXXZ,0x180043842,Microsoft.Windows.Shell.DefaultAssoc,{E305FB0F-DA8E-52B5-A918-7A4F17A2531A},PinToStartSetDefaultBrowserSetting,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",CallGraph-d2
?Stop@PinToStartSetDefaultBrowserSetting@DefaultAssocTelemetry@@QEAAX_NPEBG1@Z,0x1800439a2,Microsoft.Windows.Shell.DefaultAssoc,{E305FB0F-DA8E-52B5-A918-7A4F17A2531A},PinToStartSetDefaultBrowserSetting,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, isPinToStart:UInt8(Boolean), appId:UnicodeString, pinnedTileId:UnicodeString",CallGraph-d2
