Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
??$Log@$01@Logger@@QEAAXPEBDZZ,0x18003c37e,Microsoft.Windows.DXaml.InkControls,{8D5FA2C8-70D1-5495-8F4F-25BA174930BD},Diagnostic,2,0x0,Message:AnsiString,CallGraph-d2
??$Log@$02@Logger@@QEAAXPEBDZZ,0x18003c496,Microsoft.Windows.DXaml.InkControls,{8D5FA2C8-70D1-5495-8F4F-25BA174930BD},Diagnostic,3,0x0,Message:AnsiString,CallGraph-d2
??$Log@$03@Logger@@QEAAXPEBDZZ,0x18003c5ae,Microsoft.Windows.DXaml.InkControls,{8D5FA2C8-70D1-5495-8F4F-25BA174930BD},Diagnostic,4,0x0,Message:AnsiString,CallGraph-d2
??$Log@$04@Logger@@QEAAXPEBDZZ,0x18003c6c6,Microsoft.Windows.DXaml.InkControls,{8D5FA2C8-70D1-5495-8F4F-25BA174930BD},Diagnostic,5,0x0,Message:AnsiString,CallGraph-d2
??$InkToolbar_AddStroke@AEA_KAEAIAEAHAEAIAEANAEANI@Logger@@SAXAEA_KAEAIAEAH1AEAN3$$QEAI@Z,0x18003b8d2,Microsoft.Windows.DXaml.InkControls,{8D5FA2C8-70D1-5495-8F4F-25BA174930BD},InkToolbar_AddStroke,5,0x400000000000,"sessionId:UInt64, visibleSessionId:UInt32, DrawingPenKind:Int32, currentColor:UInt32, width:Double, height:Double, pointerType:UInt32",CallGraph-d2
??$InkToolbar_BoundInkCanvas@AEA_KAEAI@Logger@@SAXAEA_KAEAI@Z,0x18003b9a6,Microsoft.Windows.DXaml.InkControls,{8D5FA2C8-70D1-5495-8F4F-25BA174930BD},InkToolbar_BoundInkCanvas,5,0x400000000000,"sessionId:UInt64, visibleSessionId:UInt32",CallGraph-d2
??$InkToolbar_ClickStencilButton@AEA_KAEAIAEAW4InkToolbarStencilKind@Controls@Xaml@UI@Windows@@@Logger@@SAXAEA_KAEAIAEAW4InkToolbarStencilKind@Controls@Xaml@UI@Windows@@@Z,0x18003ba1d,Microsoft.Windows.DXaml.InkControls,{8D5FA2C8-70D1-5495-8F4F-25BA174930BD},InkToolbar_ClickStencilButton,5,0x400000000000,"sessionId:UInt64, visibleSessionId:UInt32, stencilKind:Int32",CallGraph-d2
??$InkToolbar_Close@AEA_KAEAI@Logger@@SAXAEA_KAEAI@Z,0x18003bab2,Microsoft.Windows.DXaml.InkControls,{8D5FA2C8-70D1-5495-8F4F-25BA174930BD},InkToolbar_Close,5,0x400000000000,"sessionId:UInt64, visibleSessionId:UInt32",CallGraph-d2
??$InkToolbar_Create@AEA_KAEAI@Logger@@SAXAEA_KAEAI@Z,0x18003bb39,Microsoft.Windows.DXaml.InkControls,{8D5FA2C8-70D1-5495-8F4F-25BA174930BD},InkToolbar_Create,5,0x400000000000,"sessionId:UInt64, visibleSessionId:UInt32, PartA_PrivTags:UInt64",CallGraph-d2
??$InkToolbar_EraserL3ItemClicked@AEA_KAEAIAEAPEBG@Logger@@SAXAEA_KAEAIAEAPEBG@Z,0x18003bc06,Microsoft.Windows.DXaml.InkControls,{8D5FA2C8-70D1-5495-8F4F-25BA174930BD},InkToolbar_EraserL3ItemClicked,5,0x400000000000,"sessionId:UInt64, visibleSessionId:UInt32, eraserName:UnicodeString",CallGraph-d2
