Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?UXModelMagicTetheringConnectAction@GetConnected@NetworkingTriageScenario@@SAXAEBURequiredFields@12@W4MagicTetheringSource@2@PEBGJ@Z,0x1800325e1,Microsoft.OneCore.NetworkingTriage.GetConnected,{60523747-6516-48B7-84B1-3264FA2CB359},UXModelMagicTetheringConnectAction,5,0x400000000000,"eventSource:AnsiString, interfaceGuid:GUID, magicTetheringSource:AnsiString, interfaceType:AnsiString, profileName:UnicodeString, result:Int32(HResult), PartA_PrivTags:UInt64",CallGraph-d2
?UXModelMagicTetheringDisconnectAction@GetConnected@NetworkingTriageScenario@@SAXAEBURequiredFields@12@W4MagicTetheringSource@2@J@Z,0x180032725,Microsoft.OneCore.NetworkingTriage.GetConnected,{60523747-6516-48B7-84B1-3264FA2CB359},UXModelMagicTetheringDisconnectAction,5,0x400000000000,"eventSource:AnsiString, interfaceGuid:GUID, magicTetheringSource:AnsiString, interfaceType:AnsiString, result:Int32(HResult), PartA_PrivTags:UInt64",CallGraph-d2
?UXModelWiFiCancelConnectionAction@GetConnected@NetworkingTriageScenario@@SAXAEBURequiredFields@12@J@Z,0x180049779,Microsoft.OneCore.NetworkingTriage.GetConnected,{60523747-6516-48B7-84B1-3264FA2CB359},UXModelWiFiCancelConnectionAction,5,0x400000000000,"eventSource:AnsiString, interfaceGuid:GUID, interfaceType:AnsiString, result:Int32(HResult), PartA_PrivTags:UInt64",CallGraph-d2
?UXModelWiFiConnectionCompletedEvent@GetConnected@NetworkingTriageScenario@@SAXAEBURequiredFields@12@PEBGJ@Z,0x1800498a9,Microsoft.OneCore.NetworkingTriage.GetConnected,{60523747-6516-48B7-84B1-3264FA2CB359},UXModelWiFiConnectionCompletedEvent,5,0x400000000000,"eventSource:AnsiString, interfaceGuid:GUID, interfaceType:AnsiString, networkName:UnicodeString, result:Int32(HResult), PartA_PrivTags:UInt64",CallGraph-d2
?UXModelWiFiContinueConnectionAction@GetConnected@NetworkingTriageScenario@@SAXAEBURequiredFields@12@PEBG_NJ@Z,0x180049a04,Microsoft.OneCore.NetworkingTriage.GetConnected,{60523747-6516-48B7-84B1-3264FA2CB359},UXModelWiFiContinueConnectionAction,5,0x400000000000,"eventSource:AnsiString, interfaceGuid:GUID, interfaceType:AnsiString, profileName:UnicodeString, connectAutomatically:Bool32, result:Int32(HResult), PartA_PrivTags:UInt64",CallGraph-d2
?UXModelWiFiDisconnectAction@GetConnected@NetworkingTriageScenario@@SAXAEBURequiredFields@12@PEBGJ@Z,0x180049b41,Microsoft.OneCore.NetworkingTriage.GetConnected,{60523747-6516-48B7-84B1-3264FA2CB359},UXModelWiFiDisconnectAction,5,0x400000000000,"eventSource:AnsiString, interfaceGuid:GUID, interfaceType:AnsiString, profileName:UnicodeString, result:Int32(HResult), PartA_PrivTags:UInt64",CallGraph-d2
?UXModelWiFiProcessUserInputAction@GetConnected@NetworkingTriageScenario@@SAXAEBURequiredFields@12@PEBG11J@Z,0x180071d3d,Microsoft.OneCore.NetworkingTriage.GetConnected,{60523747-6516-48B7-84B1-3264FA2CB359},UXModelWiFiProcessUserInputAction,5,0x400000000000,"eventSource:AnsiString, interfaceGuid:GUID, interfaceType:AnsiString, profileName:UnicodeString, stateName:UnicodeString, userInputType:UnicodeString, result:Int32(HResult), PartA_PrivTags:UInt64",CallGraph-d2
?UXModelWiFiPromptUserAction@GetConnected@NetworkingTriageScenario@@SAXAEBURequiredFields@12@PEBG1J@Z,0x180049ca1,Microsoft.OneCore.NetworkingTriage.GetConnected,{60523747-6516-48B7-84B1-3264FA2CB359},UXModelWiFiPromptUserAction,5,0x400000000000,"eventSource:AnsiString, interfaceGuid:GUID, interfaceType:AnsiString, profileName:UnicodeString, promptType:UnicodeString, result:Int32(HResult), PartA_PrivTags:UInt64",CallGraph-d2
?UXModelWiFiStartConnectionAction@GetConnected@NetworkingTriageScenario@@SAXAEBURequiredFields@12@PEBG_NJ@Z,0x180049e00,Microsoft.OneCore.NetworkingTriage.GetConnected,{60523747-6516-48B7-84B1-3264FA2CB359},UXModelWiFiStartConnectionAction,5,0x400000000000,"eventSource:AnsiString, interfaceGuid:GUID, interfaceType:AnsiString, profileName:UnicodeString, connectAutomatically:Bool32, result:Int32(HResult), PartA_PrivTags:UInt64",CallGraph-d2
?UXModelWiFiUIRequestReceivedEvent@GetConnected@NetworkingTriageScenario@@SAXAEBURequiredFields@12@PEBG11@Z,0x180071ea2,Microsoft.OneCore.NetworkingTriage.GetConnected,{60523747-6516-48B7-84B1-3264FA2CB359},UXModelWiFiUIRequestReceivedEvent,5,0x400000000000,"eventSource:AnsiString, interfaceGuid:GUID, interfaceType:AnsiString, profileName:UnicodeString, stateName:UnicodeString, requestType:UnicodeString, PartA_PrivTags:UInt64",CallGraph-d2
?UXModelWlanConnectAction@GetConnected@NetworkingTriageScenario@@SAXAEBURequiredFields@12@PEBG1J@Z,0x180015c81,Microsoft.OneCore.NetworkingTriage.GetConnected,{60523747-6516-48B7-84B1-3264FA2CB359},UXModelWlanConnectAction,5,0x400000000000,"eventSource:AnsiString, interfaceGuid:GUID, interfaceType:AnsiString, SSID:UnicodeString, profileName:UnicodeString, result:Int32(HResult), PartA_PrivTags:UInt64",CallGraph-d2
?UXModelWlanDisconnectAction@GetConnected@NetworkingTriageScenario@@SAXAEBURequiredFields@12@J@Z,0x180032841,Microsoft.OneCore.NetworkingTriage.GetConnected,{60523747-6516-48B7-84B1-3264FA2CB359},UXModelWlanDisconnectAction,5,0x400000000000,"eventSource:AnsiString, interfaceGuid:GUID, interfaceType:AnsiString, result:Int32(HResult), PartA_PrivTags:UInt64",CallGraph-d2
?NotifyFailure@?$ActivityBase@VNetworkUxLogging@@$00$0EAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x1800439a5,MicrosoftWindowsShellNetworkUX,{0879871C-E412-4C6A-87A6-74581B0AFAC5},ActivityError,2,0x600000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
