Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?CreateKey@CertificatePrivateKeyHelper@@SAJ_KPEBG1AEBUPrivateKeyUIPolicy@1@K_NAEA_K@Z,0x180081f64,Microsoft.AAD.CloudAp.Provider,{74D91EC4-4680-40D2-A213-45E2D2B95F50},CertificatePrivateKeyHelper::CreateKey_Start,5,0x400000000000,PartA_PrivTags:UInt64,Direct-Preceding
?CreateKey@CertificatePrivateKeyHelper@@SAJ_KPEBG1AEBUPrivateKeyUIPolicy@1@K_NAEA_K@Z,0x18008223a,Microsoft.AAD.CloudAp.Provider,{74D91EC4-4680-40D2-A213-45E2D2B95F50},CertificatePrivateKeyHelper::CreateKey_Stop,5,0x400000000000,"PartA_PrivTags:UInt64, hr:Int32, providerName:UnicodeString",Direct-Preceding
?DeviceP2PCertificateUpdate@@YAJPEAVAadContextFunctions@@PEAXAEAVDiagnosticContext@@PEAH@Z,0x18002a11a,Microsoft.AAD.CloudAp.Provider,{74D91EC4-4680-40D2-A213-45E2D2B95F50},DeviceP2PCertificateUpdate_Start,5,0x400000000000,PartA_PrivTags:UInt64,Direct-Preceding
?DeviceP2PCertificateUpdate@@YAJPEAVAadContextFunctions@@PEAXAEAVDiagnosticContext@@PEAH@Z,0x18002a35b,Microsoft.AAD.CloudAp.Provider,{74D91EC4-4680-40D2-A213-45E2D2B95F50},DeviceP2PCertificateUpdate_Stop,5,0x400000000000,"PartA_PrivTags:UInt64, status:Int32",Direct-Preceding
?DoAcceptPeerCertificate@@YAJPEAVAadContextFunctions@@PEAXHPEBU_CERT_CONTEXT@@PEAPEAU_APPLUGIN_USER_INFO@@@Z,0x18000d478,Microsoft.AAD.CloudAp.Provider,{74D91EC4-4680-40D2-A213-45E2D2B95F50},DoAcceptPeerCertificate_Start,5,0x400000000000,PartA_PrivTags:UInt64,Direct-Preceding
?DoAcceptPeerCertificate@@YAJPEAVAadContextFunctions@@PEAXHPEBU_CERT_CONTEXT@@PEAPEAU_APPLUGIN_USER_INFO@@@Z,0x18000d74f,Microsoft.AAD.CloudAp.Provider,{74D91EC4-4680-40D2-A213-45E2D2B95F50},DoAcceptPeerCertificate_Stop,5,0x400000000000,"PartA_PrivTags:UInt64, status:Int32",Direct-Preceding
?DoAssembleOpaqueData@@YAJPEAVAadContextFunctions@@PEAU_AP_BLOB@@11@Z,0x18000d8ab,Microsoft.AAD.CloudAp.Provider,{74D91EC4-4680-40D2-A213-45E2D2B95F50},DoAssembleOpaqueData_Start,5,0x400000000000,PartA_PrivTags:UInt64,Direct-Preceding
?DoAssembleOpaqueData@@YAJPEAVAadContextFunctions@@PEAU_AP_BLOB@@11@Z,0x18000da95,Microsoft.AAD.CloudAp.Provider,{74D91EC4-4680-40D2-A213-45E2D2B95F50},DoAssembleOpaqueData_Stop,5,0x400000000000,"PartA_PrivTags:UInt64, status:Int32",Direct-Preceding
?DoDisassembleOpaqueData@@YAJPEAVAadContextFunctions@@PEAU_AP_BLOB@@11@Z,0x18000dbda,Microsoft.AAD.CloudAp.Provider,{74D91EC4-4680-40D2-A213-45E2D2B95F50},DoDisassembleOpaqueData_Start,5,0x400000000000,PartA_PrivTags:UInt64,Direct-Preceding
?DoDisassembleOpaqueData@@YAJPEAVAadContextFunctions@@PEAU_AP_BLOB@@11@Z,0x18000ddd6,Microsoft.AAD.CloudAp.Provider,{74D91EC4-4680-40D2-A213-45E2D2B95F50},DoDisassembleOpaqueData_Stop,5,0x400000000000,"PartA_PrivTags:UInt64, status:Int32",Direct-Preceding
?DoGenericCallPkg@@YAJPEAVAadContextFunctions@@PEAX1PEAU_AP_BLOB@@22@Z,0x18000e327,Microsoft.AAD.CloudAp.Provider,{74D91EC4-4680-40D2-A213-45E2D2B95F50},DoGenericCallPkg_Info,4,0x400000000000,"PartA_PrivTags:UInt64, correlationID:UnicodeString, genericCallPackageCallType:UInt32, callingPackageSID:UnicodeString, tokenBindingCacheStats:UnicodeString, ssoCacheStats:UnicodeString",Direct-Preceding
?DoGenericCallPkg@@YAJPEAVAadContextFunctions@@PEAX1PEAU_AP_BLOB@@22@Z,0x18000df16,Microsoft.AAD.CloudAp.Provider,{74D91EC4-4680-40D2-A213-45E2D2B95F50},DoGenericCallPkg_Start,5,0x400000000000,PartA_PrivTags:UInt64,Direct-Preceding
?DoGenericCallPkg@@YAJPEAVAadContextFunctions@@PEAX1PEAU_AP_BLOB@@22@Z,0x18000e5c4,Microsoft.AAD.CloudAp.Provider,{74D91EC4-4680-40D2-A213-45E2D2B95F50},DoGenericCallPkg_Stop,5,0x400000000000,"PartA_PrivTags:UInt64, status:Int32",Direct-Preceding
?DoGetCertificateFromCred@@YAJPEAVAadContextFunctions@@PEAXPEAU_LUID@@PEAU_DECRYPTED_AUTH_DATA@@AEAVDiagnosticContext@@PEAPEAX@Z,0x18000e973,Microsoft.AAD.CloudAp.Provider,{74D91EC4-4680-40D2-A213-45E2D2B95F50},DoGetCertificateFromCred_Info,4,0x400000000000,"PartA_PrivTags:UInt64, correlationID:UnicodeString, credentialType:UInt32, joinState:UInt32",Direct-Preceding
?DoGetCertificateFromCred@@YAJPEAVAadContextFunctions@@PEAXPEAU_LUID@@PEAU_DECRYPTED_AUTH_DATA@@AEAVDiagnosticContext@@PEAPEAX@Z,0x18000e778,Microsoft.AAD.CloudAp.Provider,{74D91EC4-4680-40D2-A213-45E2D2B95F50},DoGetCertificateFromCred_Start,5,0x400000000000,PartA_PrivTags:UInt64,Direct-Preceding
?DoGetCertificateFromCred@@YAJPEAVAadContextFunctions@@PEAXPEAU_LUID@@PEAU_DECRYPTED_AUTH_DATA@@AEAVDiagnosticContext@@PEAPEAX@Z,0x18000ec7a,Microsoft.AAD.CloudAp.Provider,{74D91EC4-4680-40D2-A213-45E2D2B95F50},DoGetCertificateFromCred_Stop,5,0x400000000000,"PartA_PrivTags:UInt64, status:Int32",Direct-Preceding
?DoGetEnterpriseOnlyToken@@YAJPEAVAadContextFunctions@@PEAXPEAU_DECRYPTED_AUTH_DATA@@AEAVDiagnosticContext@@PEAU_AP_BLOB@@PEAPEAU_APPLUGIN_USER_INFO@@@Z,0x18000f1fd,Microsoft.AAD.CloudAp.Provider,{74D91EC4-4680-40D2-A213-45E2D2B95F50},DoGetEnterpriseOnlyToken_Error,2,0x400000000000,"PartA_PrivTags:UInt64, status:Int32, error:AnsiString",Direct-Preceding
?DoGetEnterpriseOnlyToken@@YAJPEAVAadContextFunctions@@PEAXPEAU_DECRYPTED_AUTH_DATA@@AEAVDiagnosticContext@@PEAU_AP_BLOB@@PEAPEAU_APPLUGIN_USER_INFO@@@Z,0x18000f062,Microsoft.AAD.CloudAp.Provider,{74D91EC4-4680-40D2-A213-45E2D2B95F50},DoGetEnterpriseOnlyToken_Info,4,0x400000000000,"PartA_PrivTags:UInt64, correlationID:UnicodeString, credentialType:UInt32",Direct-Preceding
?DoGetEnterpriseOnlyToken@@YAJPEAVAadContextFunctions@@PEAXPEAU_DECRYPTED_AUTH_DATA@@AEAVDiagnosticContext@@PEAU_AP_BLOB@@PEAPEAU_APPLUGIN_USER_INFO@@@Z,0x18000ee0e,Microsoft.AAD.CloudAp.Provider,{74D91EC4-4680-40D2-A213-45E2D2B95F50},DoGetEnterpriseOnlyToken_Start,5,0x400000000000,PartA_PrivTags:UInt64,Direct-Preceding
?DoGetEnterpriseOnlyToken@@YAJPEAVAadContextFunctions@@PEAXPEAU_DECRYPTED_AUTH_DATA@@AEAVDiagnosticContext@@PEAU_AP_BLOB@@PEAPEAU_APPLUGIN_USER_INFO@@@Z,0x18000f391,Microsoft.AAD.CloudAp.Provider,{74D91EC4-4680-40D2-A213-45E2D2B95F50},DoGetEnterpriseOnlyToken_Stop,5,0x400000000000,"PartA_PrivTags:UInt64, status:Int32",Direct-Preceding
?DoGetKeys@@YAJPEAXPEAU_AP_BLOB@@PEAU_GUID@@1HAEAVDiagnosticContext@@PEAPEAU_CREDENTIAL_KEY@@PEAH41@Z,0x18000f659,Microsoft.AAD.CloudAp.Provider,{74D91EC4-4680-40D2-A213-45E2D2B95F50},DoGetKeys_Error,2,0x400000000000,"PartA_PrivTags:UInt64, status:Int32, error:AnsiString",Direct-Preceding
?DoGetKeys@@YAJPEAXPEAU_AP_BLOB@@PEAU_GUID@@1HAEAVDiagnosticContext@@PEAPEAU_CREDENTIAL_KEY@@PEAH41@Z,0x18000f7dd,Microsoft.AAD.CloudAp.Provider,{74D91EC4-4680-40D2-A213-45E2D2B95F50},DoGetKeys_Info,4,0x400000000000,"PartA_PrivTags:UInt64, correlationID:UnicodeString",Direct-Preceding
?DoGetKeys@@YAJPEAXPEAU_AP_BLOB@@PEAU_GUID@@1HAEAVDiagnosticContext@@PEAPEAU_CREDENTIAL_KEY@@PEAH41@Z,0x18000f538,Microsoft.AAD.CloudAp.Provider,{74D91EC4-4680-40D2-A213-45E2D2B95F50},DoGetKeys_Start,5,0x400000000000,PartA_PrivTags:UInt64,Direct-Preceding
?DoGetKeys@@YAJPEAXPEAU_AP_BLOB@@PEAU_GUID@@1HAEAVDiagnosticContext@@PEAPEAU_CREDENTIAL_KEY@@PEAH41@Z,0x18000f99e,Microsoft.AAD.CloudAp.Provider,{74D91EC4-4680-40D2-A213-45E2D2B95F50},DoGetKeys_Stop,5,0x400000000000,"PartA_PrivTags:UInt64, status:Int32",Direct-Preceding
?DoGetToken@@YAJPEAVAadContextFunctions@@PEAXW4_SECURITY_LOGON_TYPE@@PEAU_DECRYPTED_AUTH_DATA@@AEAVDiagnosticContext@@PEAU_AP_BLOB@@5PEAPEAU_APPLUGIN_USER_INFO@@PEAPEAU_SECPKG_SUPPLEMENTAL_CRED_ARRAY@@@Z,0x1800101d1,Microsoft.AAD.CloudAp.Provider,{74D91EC4-4680-40D2-A213-45E2D2B95F50},DoGetToken_Error,2,0x400000000000,"PartA_PrivTags:UInt64, hr:Int32, error:AnsiString",Direct-Preceding
?DoGetToken@@YAJPEAVAadContextFunctions@@PEAXW4_SECURITY_LOGON_TYPE@@PEAU_DECRYPTED_AUTH_DATA@@AEAVDiagnosticContext@@PEAU_AP_BLOB@@5PEAPEAU_APPLUGIN_USER_INFO@@PEAPEAU_SECPKG_SUPPLEMENTAL_CRED_ARRAY@@@Z,0x180010482,Microsoft.AAD.CloudAp.Provider,{74D91EC4-4680-40D2-A213-45E2D2B95F50},DoGetToken_Error,2,0x400000000000,"PartA_PrivTags:UInt64, status:Int32, error:AnsiString",Direct-Preceding
?DoGetToken@@YAJPEAVAadContextFunctions@@PEAXW4_SECURITY_LOGON_TYPE@@PEAU_DECRYPTED_AUTH_DATA@@AEAVDiagnosticContext@@PEAU_AP_BLOB@@5PEAPEAU_APPLUGIN_USER_INFO@@PEAPEAU_SECPKG_SUPPLEMENTAL_CRED_ARRAY@@@Z,0x18000fe99,Microsoft.AAD.CloudAp.Provider,{74D91EC4-4680-40D2-A213-45E2D2B95F50},DoGetToken_Info,4,0x400000000000,"PartA_PrivTags:UInt64, correlationID:UnicodeString, credbuffer correlationID:UnicodeString, credentialType:UInt32, logonType:UInt32",Direct-Preceding
?DoGetToken@@YAJPEAVAadContextFunctions@@PEAXW4_SECURITY_LOGON_TYPE@@PEAU_DECRYPTED_AUTH_DATA@@AEAVDiagnosticContext@@PEAU_AP_BLOB@@5PEAPEAU_APPLUGIN_USER_INFO@@PEAPEAU_SECPKG_SUPPLEMENTAL_CRED_ARRAY@@@Z,0x1800108b6,Microsoft.AAD.CloudAp.Provider,{74D91EC4-4680-40D2-A213-45E2D2B95F50},DoGetToken_Info,4,0x400000000000,"PartA_PrivTags:UInt64, correlationID:UnicodeString, rbacVmType:UnicodeString, rbacStatus:UInt32(NTStatus)",Direct-Preceding
