Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
AslTelemetryFlush,0x180026045,Microsoft.Windows.Compatibility.Asl,{18608E62-A628-49D9-8C02-55972E097D24},TelemetryClient,5,0x200000000000,"PartA_PrivTags:UInt64, BinFileVersion:UInt64, ChannelName:AnsiString, CorrelationVectors:AnsiString, Types:AnsiString, Names:AnsiString, Counts:AnsiString, Metrics:AnsiString, Messages:UnicodeString, ActivityResults:AnsiString",Direct-Preceding
?UpdateSoftwareInventoryW@@YAJPEAUHWND__@@PEAUHINSTANCE__@@PEBGH@Z,0x180058cda,Microsoft.Windows.TlgAggregateInternal,{703FCC13-B66F-5868-DDD9-E2DB7F381FFB},RuntimeMetrics,5,0x400000000000,"PartA_PrivTags:UInt64, Scenario:AnsiString, Mode:AnsiString, RunTimeMs:UInt64, Result:Int32, Version:UnicodeString, __TlgCV__:AnsiString",CallGraph-d3
?UpdateSoftwareInventoryW@@YAJPEAUHWND__@@PEAUHINSTANCE__@@PEBGH@Z,0x180058dbb,Microsoft.Windows.TlgAggregateInternal,{703FCC13-B66F-5868-DDD9-E2DB7F381FFB},RuntimeMetrics,5,0x400000000000,"PartA_PrivTags:UInt64, Scenario:AnsiString, Mode:AnsiString, RunTimeMs:UInt64, Result:Int32, Version:UnicodeString, __TlgCV__:AnsiString",CallGraph-d3
LookUpTableFlushComplete,0x1800301e6,Microsoft.Windows.TlgAggregateInternal,{703FCC13-B66F-5868-DDD9-E2DB7F381FFB},TlgAggregateSummary,5,0x200000000000,"PartA_PrivTags:UInt64, UtcAggParams:Struct(Boolean), Period:UInt32, MaxEvents:UInt32, Mode:UInt8, Provider:GUID, UtcAggVal:Struct(Boolean), Name:CountedString, Value:UInt64, Mode:UInt8, UtcAggVal:Struct(Boolean), Name:CountedString, Value:UInt64, Mode:UInt8, UtcAggVal:Struct(Boolean), Name:CountedString, Value:UInt64, Mode:UInt8, UtcAggVal:Struct(Boolean), Name:CountedString, Value:UInt64, Mode:UInt8, UtcAggVal:Struct(Boolean), Name:CountedString, Value:UInt64, Mode:UInt8, UtcAggVal:Struct(Boolean), Name:CountedString, Value:UInt64, Mode:UInt8, UtcAggVal:Struct(Boolean), Name:CountedString, Value:UInt64, Mode:UInt8, UtcAggVal:Struct(Boolean), Name:CountedString, Value:UInt64, Mode:UInt8, UtcAggVal:Struct(Boolean), Name:CountedString, Value:UInt32, Mode:UInt8",Direct-Preceding
?UninitializeWatchdogTimer@Utility@@SA_NXZ,0x1800fcb21,Unknown,Unknown,AppInvResourceUsage,5,0x400000000000,"PartA_PrivTags:UInt64, maxCommitSizeBytes:UInt64, avgCommitSizeBytes:UInt64, maxCpuProcessPercentage:Float, avgCpuProcessPercentage:Float, InventoryVersion:UnicodeString, __TlgCV__:AnsiString",Unresolved
?UninitializeWatchdogTimer@Utility@@SA_NXZ,0x1800fcbdb,Unknown,Unknown,AppInvResourceUsage,5,0x400000000000,"PartA_PrivTags:UInt64, maxCommitSizeBytes:UInt64, avgCommitSizeBytes:UInt64, maxCpuProcessPercentage:Float, avgCpuProcessPercentage:Float, InventoryVersion:UnicodeString, __TlgCV__:AnsiString",Unresolved
?ShouldForceFullSync@TelCacheProvider@@AEAAHPEBG@Z,0x180058211,Unknown,Unknown,CacheInitiatedFullSync,5,0x400000000000,"PartA_PrivTags:UInt64, ProviderName:UnicodeString, NewOsVersionFullSync:UInt8(Boolean), EdpFullSync:UInt8(Boolean), CommercialFullSync:UInt8(Boolean), TelemetryOptinChangeFullSync:UInt8(Boolean), InventoryVersion:UnicodeString, __TlgCV__:AnsiString",Unresolved
?ShouldForceFullSync@TelCacheProvider@@AEAAHPEBG@Z,0x1800582c5,Unknown,Unknown,CacheInitiatedFullSync,5,0x400000000000,"PartA_PrivTags:UInt64, ProviderName:UnicodeString, NewOsVersionFullSync:UInt8(Boolean), EdpFullSync:UInt8(Boolean), CommercialFullSync:UInt8(Boolean), TelemetryOptinChangeFullSync:UInt8(Boolean), InventoryVersion:UnicodeString, __TlgCV__:AnsiString",Unresolved
?OnChange@Application@@UEAAKPEBGH@Z,0x1800fa140,Unknown,Unknown,InventoryApplicationAdd,5,0x800000000000,"PartA_PrivTags:UInt64, ProgramInstanceId:UnicodeString, Name:UnicodeString, Publisher:UnicodeString, Version:UnicodeString, Language:UInt32, Source:UnicodeString, Type:UnicodeString, StoreAppType:UnicodeString, MsiProductCode:UnicodeString, MsiPackageCode:UnicodeString, MsiInstallDate:UnicodeString, HiddenArp:UnicodeString, PackageFullName:UnicodeString, RootDirPath:UnicodeString, InstallDate:UnicodeString, PartB_Ms.Device.DeviceInventoryChange:Struct(PID), action:Int32, objectType:UnicodeString, objectInstanceId:UnicodeString, syncId:UnicodeString, inventoryId:UnicodeString, InventoryVersion:UnicodeString, __TlgCV__:AnsiString",Unresolved
?OnChange@Application@@UEAAKPEBGH@Z,0x1800fa3fa,Unknown,Unknown,InventoryApplicationAdd,5,0x800000000000,"PartA_PrivTags:UInt64, ProgramInstanceId:UnicodeString, Name:UnicodeString, Publisher:UnicodeString, Version:UnicodeString, Language:UInt32, Source:UnicodeString, Type:UnicodeString, StoreAppType:UnicodeString, MsiProductCode:UnicodeString, MsiPackageCode:UnicodeString, MsiInstallDate:UnicodeString, HiddenArp:UnicodeString, PackageFullName:UnicodeString, RootDirPath:UnicodeString, InstallDate:UnicodeString, PartB_Ms.Device.DeviceInventoryChange:Struct(PID), action:Int32, objectType:UnicodeString, objectInstanceId:UnicodeString, syncId:UnicodeString, inventoryId:UnicodeString, InventoryVersion:UnicodeString, __TlgCV__:AnsiString",Unresolved
?OnChange@Application@@UEAAKPEBGH@Z,0x1800fa6f7,Unknown,Unknown,InventoryApplicationAdd,5,0x800000000000,"PartA_PrivTags:UInt64, ProgramInstanceId:UnicodeString, Name:UnicodeString, Publisher:UnicodeString, Version:UnicodeString, Language:UInt32, Source:UnicodeString, Type:UnicodeString, StoreAppType:UnicodeString, MsiProductCode:UnicodeString, MsiPackageCode:UnicodeString, MsiInstallDate:UnicodeString, HiddenArp:UnicodeString, PackageFullName:UnicodeString, SparkId:UnicodeString, RootDirPath:UnicodeString, InstallDate:UnicodeString, PartB_Ms.Device.DeviceInventoryChange:Struct(PID), action:Int32, objectType:UnicodeString, objectInstanceId:UnicodeString, syncId:UnicodeString, inventoryId:UnicodeString, InventoryVersion:UnicodeString, __TlgCV__:AnsiString",Unresolved
