Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
BampCommitThrottledProcessStateChange,0x140018925,Microsoft.Windows.BackgroundActivityModerator,{D82215E3-BDDF-54FA-895B-685099453B1C},ActionCommitProcessStateChange,5,0x0,pid:UInt32(PID),Direct-Preceding
BampCommitThrottledProcessStateChange,0x14001894d,Microsoft.Windows.BackgroundActivityModerator,{D82215E3-BDDF-54FA-895B-685099453B1C},ActionCommitProcessStateChange,5,0x0,pid:UInt32(PID),Direct-Preceding
BampUpdateThrottledProcessPolicy,0x140010f1a,Microsoft.Windows.BackgroundActivityModerator,{D82215E3-BDDF-54FA-895B-685099453B1C},ActionUpdateProcessPolicy,5,0x0,pid:UInt32(PID),Direct-Preceding
BampUpdateThrottledProcessPolicy,0x140010f42,Microsoft.Windows.BackgroundActivityModerator,{D82215E3-BDDF-54FA-895B-685099453B1C},ActionUpdateProcessPolicy,5,0x0,pid:UInt32(PID),Direct-Preceding
BampThrottlingWorkerDispatchActionItem,0x1400174bd,Microsoft.Windows.BackgroundActivityModerator,{D82215E3-BDDF-54FA-895B-685099453B1C},BampApplyUserPresencePolicy,4,0x0,UserPresenceAction:UInt32,Direct-Preceding
BampThrottlingWorkerDispatchActionItem,0x1400174f4,Microsoft.Windows.BackgroundActivityModerator,{D82215E3-BDDF-54FA-895B-685099453B1C},BampApplyUserPresencePolicy,4,0x0,UserPresenceAction:UInt32,Direct-Preceding
BampCancelThrottledProcessActionItem,0x14001310c,Microsoft.Windows.BackgroundActivityModerator,{D82215E3-BDDF-54FA-895B-685099453B1C},CancelProcessActionItem,5,0x0,"pid:UInt32(PID), processAction:UInt32",Direct-Preceding
BampCancelThrottledProcessActionItem,0x140013142,Microsoft.Windows.BackgroundActivityModerator,{D82215E3-BDDF-54FA-895B-685099453B1C},CancelProcessActionItem,5,0x0,"pid:UInt32(PID), processAction:UInt32",Direct-Preceding
BampComputeThrottledProcessPolicy,0x1400117e0,Microsoft.Windows.BackgroundActivityModerator,{D82215E3-BDDF-54FA-895B-685099453B1C},CheckPerMechanismExemption,4,0x0,"pid:UInt32(PID), mechanism:UInt32, isExempted:UInt8(Boolean), processExemptionState:HexInt32, mechanismEnabledExemptions:HexInt32",Direct-Preceding
BampComputeThrottledProcessPolicy,0x140011858,Microsoft.Windows.BackgroundActivityModerator,{D82215E3-BDDF-54FA-895B-685099453B1C},CheckPerMechanismExemption,4,0x0,"pid:UInt32(PID), mechanism:UInt32, isExempted:UInt8(Boolean), processExemptionState:HexInt32, mechanismEnabledExemptions:HexInt32",Direct-Preceding
BampComputeThrottledProcessPolicy,0x1400118f0,Microsoft.Windows.BackgroundActivityModerator,{D82215E3-BDDF-54FA-895B-685099453B1C},CheckPerMechanismExemption,4,0x0,"pid:UInt32(PID), mechanism:UInt32, isExempted:UInt8(Boolean), processExemptionState:HexInt32, mechanismEnabledExemptions:HexInt32",Direct-Preceding
BampComputeThrottledProcessPolicy,0x140011953,Microsoft.Windows.BackgroundActivityModerator,{D82215E3-BDDF-54FA-895B-685099453B1C},CheckPerMechanismExemption,4,0x0,"pid:UInt32(PID), mechanism:UInt32, isExempted:UInt8(Boolean), processExemptionState:HexInt32, mechanismEnabledExemptions:HexInt32",Direct-Preceding
BampIsPerMechanismExemptionActive,0x140017161,Microsoft.Windows.BackgroundActivityModerator,{D82215E3-BDDF-54FA-895B-685099453B1C},CheckPerMechanismExemption,4,0x0,"pid:UInt32(PID), mechanism:UInt32, isExempted:UInt8(Boolean), processExemptionState:HexInt32, mechanismEnabledExemptions:HexInt32",Direct-Preceding
BampIsPerMechanismExemptionActive,0x1400171d2,Microsoft.Windows.BackgroundActivityModerator,{D82215E3-BDDF-54FA-895B-685099453B1C},CheckPerMechanismExemption,4,0x0,"pid:UInt32(PID), mechanism:UInt32, isExempted:UInt8(Boolean), processExemptionState:HexInt32, mechanismEnabledExemptions:HexInt32",Direct-Preceding
BampComputeThrottledProcessPolicy,0x1400116d3,Microsoft.Windows.BackgroundActivityModerator,{D82215E3-BDDF-54FA-895B-685099453B1C},GetCurrentExemptionState,5,0x0,"pid:UInt32(PID), allMechanismExemptions:HexInt32, perMechanismExemptions:HexInt32",Direct-Preceding
BampComputeThrottledProcessPolicy,0x14001172e,Microsoft.Windows.BackgroundActivityModerator,{D82215E3-BDDF-54FA-895B-685099453B1C},GetCurrentExemptionState,5,0x0,"pid:UInt32(PID), allMechanismExemptions:HexInt32, perMechanismExemptions:HexInt32",Direct-Preceding
