Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
BfsAccessRegistryKeyAsUserCallback,0x14000df4c,Microsoft.Windows.BrokeringFileSystem,{D5A97A72-C8F9-5A9C-431D-CD07E82A85D1},BfsStatusLogging,3,0x0,Status:UInt32(NTStatus),SingleProvider
BfsAddPolicyToGlobalFileTable,0x14000b844,Microsoft.Windows.BrokeringFileSystem,{D5A97A72-C8F9-5A9C-431D-CD07E82A85D1},BfsStatusLogging,3,0x0,Status:UInt32(NTStatus),SingleProvider
BfsAddPolicyToGlobalFileTable,0x14000b8b1,Microsoft.Windows.BrokeringFileSystem,{D5A97A72-C8F9-5A9C-431D-CD07E82A85D1},BfsStatusLogging,3,0x0,Status:UInt32(NTStatus),SingleProvider
BfsAdjustRegistryKeySecurity,0x14000e05b,Microsoft.Windows.BrokeringFileSystem,{D5A97A72-C8F9-5A9C-431D-CD07E82A85D1},BfsStatusLogging,3,0x0,Status:UInt32(NTStatus),SingleProvider
BfsAdjustRegistryKeySecurity,0x14000e0e9,Microsoft.Windows.BrokeringFileSystem,{D5A97A72-C8F9-5A9C-431D-CD07E82A85D1},BfsStatusLogging,3,0x0,Status:UInt32(NTStatus),SingleProvider
BfsAdjustRegistryKeySecurity,0x14000e22c,Microsoft.Windows.BrokeringFileSystem,{D5A97A72-C8F9-5A9C-431D-CD07E82A85D1},BfsStatusLogging,3,0x0,Status:UInt32(NTStatus),SingleProvider
BfsAllocateAndConcatenatePath,0x140004d2e,Microsoft.Windows.BrokeringFileSystem,{D5A97A72-C8F9-5A9C-431D-CD07E82A85D1},BfsStatusLogging,3,0x0,Status:UInt32(NTStatus),SingleProvider
BfsApplyPolicyAsUser,0x140004f78,Microsoft.Windows.BrokeringFileSystem,{D5A97A72-C8F9-5A9C-431D-CD07E82A85D1},BfsStatusLogging,3,0x0,Status:UInt32(NTStatus),SingleProvider
BfsBuildPathFromComponents,0x1400051b5,Microsoft.Windows.BrokeringFileSystem,{D5A97A72-C8F9-5A9C-431D-CD07E82A85D1},BfsStatusLogging,3,0x0,Status:UInt32(NTStatus),SingleProvider
BfsCalculateRegistryPrefix,0x14000e35b,Microsoft.Windows.BrokeringFileSystem,{D5A97A72-C8F9-5A9C-431D-CD07E82A85D1},BfsStatusLogging,3,0x0,Status:UInt32(NTStatus),SingleProvider
