Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?NotifyFailure@?$ActivityBase@VCimfsApiTelemetryProvider@@$00$0EAAAAAAAAAAA@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x18000b481,Microsoft.Windows.FileSystem.CimFS,{772FF917-30CF-50BD-D471-55A093EA8CF8},ActivityError,2,0x600000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",SingleProvider
?NotifyFailure@?$ActivityBase@VCimfsApiTelemetryProvider@@$00$0EAAAAAAAAAAA@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x18000b5d4,Microsoft.Windows.FileSystem.CimFS,{772FF917-30CF-50BD-D471-55A093EA8CF8},ActivityError,2,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",SingleProvider
?Stop@?$ActivityBase@VCimfsApiTelemetryProvider@@$00$0EAAAAAAAAAAA@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x18000cf8c,Microsoft.Windows.FileSystem.CimFS,{772FF917-30CF-50BD-D471-55A093EA8CF8},ActivityIntermediateStop,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",SingleProvider
??$_tlgWriteActivityAutoStop@$0EAAAAAAAAAAA@$04@@YAXPEBU_tlgProvider_t@@PEBU_GUID@@@Z,0x180006086,Microsoft.Windows.FileSystem.CimFS,{772FF917-30CF-50BD-D471-55A093EA8CF8},ActivityStoppedAutomatically,5,0x400000000000,(none),SingleProvider
??$GetArray@G@ImageReader@Cim@@QEBA_NPEAV?$span@$$CBG$0?0@gsl@@URegionOffset@Format@1@_K2AEAVStackEventTracer@CimFs@@@Z,0x180018137,Microsoft.Windows.FileSystem.CimFS,{772FF917-30CF-50BD-D471-55A093EA8CF8},CimfsApi.Error,2,0x400000000000,"Function:AnsiString, File:AnsiString, line:Int32, Status:UInt32(NTStatus), Message:AnsiString, RegionCount:UInt16, RequestedRegionIndex:UInt16, RequestedRegionSize:UInt64, RequestedByteOffset:UInt64, RequestedExtraOffset:UInt64, RequestedLength:Int32, ElementSize:Int32, PartA_PrivTags:UInt64",SingleProvider
??$GetArray@UChunkTableDirectoryEntry@Format@Cim@@@ImageReader@Cim@@QEBA_NPEAV?$span@$$CBUChunkTableDirectoryEntry@Format@Cim@@$0?0@gsl@@URegionOffset@Format@1@_K2AEAVStackEventTracer@CimFs@@@Z,0x180018374,Microsoft.Windows.FileSystem.CimFS,{772FF917-30CF-50BD-D471-55A093EA8CF8},CimfsApi.Error,2,0x400000000000,"Function:AnsiString, File:AnsiString, line:Int32, Status:UInt32(NTStatus), Message:AnsiString, RegionCount:UInt16, RequestedRegionIndex:UInt16, RequestedRegionSize:UInt64, RequestedByteOffset:UInt64, RequestedExtraOffset:UInt64, RequestedLength:Int32, ElementSize:Int32, PartA_PrivTags:UInt64",SingleProvider
??$GetArray@UPeImageMapping@Format@Cim@@@ImageReader@Cim@@QEBA_NPEAV?$span@$$CBUPeImageMapping@Format@Cim@@$0?0@gsl@@URegionOffset@Format@1@_K2AEAVStackEventTracer@CimFs@@@Z,0x1800222dd,Microsoft.Windows.FileSystem.CimFS,{772FF917-30CF-50BD-D471-55A093EA8CF8},CimfsApi.Error,2,0x400000000000,"Function:AnsiString, File:AnsiString, line:Int32, Status:UInt32(NTStatus), Message:AnsiString, RegionCount:UInt16, RequestedRegionIndex:UInt16, RequestedRegionSize:UInt64, RequestedByteOffset:UInt64, RequestedExtraOffset:UInt64, RequestedLength:Int32, ElementSize:Int32, PartA_PrivTags:UInt64",SingleProvider
??$GetArray@UPeImageMappingV1@Format@Cim@@@ImageReader@Cim@@QEBA_NPEAV?$span@$$CBUPeImageMappingV1@Format@Cim@@$0?0@gsl@@URegionOffset@Format@1@_K2AEAVStackEventTracer@CimFs@@@Z,0x180022521,Microsoft.Windows.FileSystem.CimFS,{772FF917-30CF-50BD-D471-55A093EA8CF8},CimfsApi.Error,2,0x400000000000,"Function:AnsiString, File:AnsiString, line:Int32, Status:UInt32(NTStatus), Message:AnsiString, RegionCount:UInt16, RequestedRegionIndex:UInt16, RequestedRegionSize:UInt64, RequestedByteOffset:UInt64, RequestedExtraOffset:UInt64, RequestedLength:Int32, ElementSize:Int32, PartA_PrivTags:UInt64",SingleProvider
??$GetArray@W4byte@gsl@@@ImageReader@Cim@@QEBA_NPEAV?$span@$$CBW4byte@gsl@@$0?0@gsl@@URegionOffset@Format@1@_K2AEAVStackEventTracer@CimFs@@@Z,0x18002275a,Microsoft.Windows.FileSystem.CimFS,{772FF917-30CF-50BD-D471-55A093EA8CF8},CimfsApi.Error,2,0x400000000000,"Function:AnsiString, File:AnsiString, line:Int32, Status:UInt32(NTStatus), Message:AnsiString, RegionCount:UInt16, RequestedRegionIndex:UInt16, RequestedRegionSize:UInt64, RequestedByteOffset:UInt64, RequestedExtraOffset:UInt64, RequestedLength:Int32, ElementSize:Int32, PartA_PrivTags:UInt64",SingleProvider
??$GetArray@_W@ImageReader@Cim@@QEBA_NPEAV?$span@$$CB_W$0?0@gsl@@URegionOffset@Format@1@_K2AEAVStackEventTracer@CimFs@@@Z,0x180018596,Microsoft.Windows.FileSystem.CimFS,{772FF917-30CF-50BD-D471-55A093EA8CF8},CimfsApi.Error,2,0x400000000000,"Function:AnsiString, File:AnsiString, line:Int32, Status:UInt32(NTStatus), Message:AnsiString, RegionCount:UInt16, RequestedRegionIndex:UInt16, RequestedRegionSize:UInt64, RequestedByteOffset:UInt64, RequestedExtraOffset:UInt64, RequestedLength:Int32, ElementSize:Int32, PartA_PrivTags:UInt64",SingleProvider
