Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?LogCreateDevice@CD3D9On12TelemetryHelper@@QEAAXAEBU_LUID@@J@Z,0x180050d5e,Microsoft.Windows.Graphics.D3D9ON12,{C0C418C5-1F3C-4EE0-93A2-A0BB8F417F9A},CreateDevice,5,0x400000000000,"UTCReplace_AppSessionGuid:Bool32, schemaVersion:UInt8, adapterLuid:UInt64, hr:Int32(HResult)",SingleProvider
?LogCreateVideoDevice@CD3D9On12TelemetryHelper@@QEAAXAEBU_LUID@@J@Z,0x18008c45e,Microsoft.Windows.Graphics.D3D9ON12,{C0C418C5-1F3C-4EE0-93A2-A0BB8F417F9A},CreateVideoDevice,5,0x400000000000,"UTCReplace_AppSessionGuid:Bool32, schemaVersion:UInt8, adapterLuid:UInt64, hr:Int32(HResult)",SingleProvider
?UpdateEntry@ReferenceDataManager@D3D12TranslationLayer@@QEAAGG@Z,0x18000cd51,Microsoft.Windows.Graphics.D3D9ON12,{C0C418C5-1F3C-4EE0-93A2-A0BB8F417F9A},Decode - Invalid Reference Index,5,0x0,"Index:UInt16, OutputIndex:UInt16",SingleProvider
?StoreFutureReference@ReferenceDataManager@D3D12TranslationLayer@@QEAAGGAEAV?$shared_ptr@VVideoDecoderHeap@D3D12TranslationLayer@@@std@@PEAVResource@2@I@Z,0x18000a779,Microsoft.Windows.Graphics.D3D9ON12,{C0C418C5-1F3C-4EE0-93A2-A0BB8F417F9A},Decode - No available reference map entry for output.,5,0x0,(none),SingleProvider
?DecodeFrame@VideoDecode@D3D12TranslationLayer@@QEAAXPEBUVIDEO_DECODE_INPUT_STREAM_ARGUMENTS@2@PEBUVIDEO_DECODE_OUTPUT_STREAM_ARGUMENTS@2@@Z,0x18000afb6,Microsoft.Windows.Graphics.D3D9ON12,{C0C418C5-1F3C-4EE0-93A2-A0BB8F417F9A},Decode - StatusReportFeedbackNumber,5,0x0,"pID3D12Decoder:HexInt64, statusReportFeedbackNumber:UInt32",SingleProvider
?LogPicParams@VideoDecode@D3D12TranslationLayer@@IEBAXXZ,0x18000b7a4,Microsoft.Windows.Graphics.D3D9ON12,{C0C418C5-1F3C-4EE0-93A2-A0BB8F417F9A},DecodePictureLists,5,0x0,"pID3D12Decoder:HexInt64, CurrPic:Struct(Boolean), Index7Bits:UInt8, AssociatedFlag:UInt8, bPicEntry:UInt8, RefPicList:Struct[](Boolean), Index7Bits:UInt8, AssociatedFlag:UInt8, bPicEntry:UInt8",SingleProvider
?ReadAvailableData@VideoDecodeStatistics@D3D12TranslationLayer@@QEAAXPEAUID3D12VideoDecoder@@W4VIDEO_DECODE_PROFILE_TYPE@2@PEAE_K@Z,0x18002a5dd,Microsoft.Windows.Graphics.D3D9ON12,{C0C418C5-1F3C-4EE0-93A2-A0BB8F417F9A},GetStatus - StatusReportFeedbackNumber,5,0x0,"pID3D12Decoder:HexInt64, statusReportFeedbackNumber:UInt32",SingleProvider
?ReadAvailableData@VideoDecodeStatistics@D3D12TranslationLayer@@QEAAXPEAUID3D12VideoDecoder@@W4VIDEO_DECODE_PROFILE_TYPE@2@PEAE_K@Z,0x18002a5fb,Microsoft.Windows.Graphics.D3D9ON12,{C0C418C5-1F3C-4EE0-93A2-A0BB8F417F9A},GetStatus - StatusReportFeedbackNumber,5,0x0,"pID3D12Decoder:HexInt64, statusReportFeedbackNumber:UInt32",SingleProvider
?ReadAvailableData@VideoDecodeStatistics@D3D12TranslationLayer@@QEAAXPEAUID3D12VideoDecoder@@W4VIDEO_DECODE_PROFILE_TYPE@2@PEAE_K@Z,0x18002a67e,Microsoft.Windows.Graphics.D3D9ON12,{C0C418C5-1F3C-4EE0-93A2-A0BB8F417F9A},GetStatus - StatusReportFeedbackNumber,5,0x0,"pID3D12Decoder:HexInt64, statusReportFeedbackNumber:UInt16",SingleProvider
?ReadAvailableData@VideoDecodeStatistics@D3D12TranslationLayer@@QEAAXPEAUID3D12VideoDecoder@@W4VIDEO_DECODE_PROFILE_TYPE@2@PEAE_K@Z,0x18002a6ee,Microsoft.Windows.Graphics.D3D9ON12,{C0C418C5-1F3C-4EE0-93A2-A0BB8F417F9A},GetStatus - StatusReportFeedbackNumber,5,0x0,"pID3D12Decoder:HexInt64, statusReportFeedbackNumber:UInt16",SingleProvider
?LogOpenAdapter@CD3D9On12TelemetryHelper@@QEAAXPEAU_LUID@@J@Z,0x18008c52a,Microsoft.Windows.Graphics.D3D9ON12,{C0C418C5-1F3C-4EE0-93A2-A0BB8F417F9A},OpenAdapter,5,0x400000000000,"UTCReplace_AppSessionGuid:Bool32, schemaVersion:UInt8, adapterLuid:UInt64, hr:Int32(HResult)",SingleProvider
?SubmitCommandListIfNeeded@CommandListManager@D3D12TranslationLayer@@QEAAXXZ,0x18002e394,Microsoft.Windows.Graphics.D3D9ON12,{C0C418C5-1F3C-4EE0-93A2-A0BB8F417F9A},OpportunisticFlush,5,0x0,"NumCommands:UInt32, NumDraws:UInt32, NumDispatches:UInt32, UploadHeapSpaceAllocated:UInt64",SingleProvider
??$CreateImpl@$0A@@PipelineState@D3D12TranslationLayer@@IEAAXXZ,0x1800471da,Microsoft.Windows.Graphics.D3D9ON12,{C0C418C5-1F3C-4EE0-93A2-A0BB8F417F9A},PSOCreationFailure,2,0x400000000000,"SchemaVersion:Int32, HResult:Int32(HResult), PSOType:Int32",SingleProvider
