Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?AddNode@CCIMProvider@@UEAAJPEBGW4ConfigDataType@@0@Z,0x18000b5f2,Microsoft.Windows.DeviceManagement.WmiCsp,{C37BB754-DC5C-45AD-9D00-A42CFCF137A8},CCIMProvider::AddNode,4,0x0,HResult:Int32(HResult),Direct-Preceding
?ConfigStringOptions@CCMProvider@@IEAAJAEAU_MI_Application@@AEAU_MI_OperationOptions@@AEA_N@Z,0x18000c242,Microsoft.Windows.DeviceManagement.WmiCsp,{C37BB754-DC5C-45AD-9D00-A42CFCF137A8},CCIMProvider::ConfigStringOptions,3,0x0,"""Failed to get session var for OMADM::AccountID"":AnsiString",Direct-Preceding
?ConfigStringOptions@CCMProvider@@IEAAJAEAU_MI_Application@@AEAU_MI_OperationOptions@@AEA_N@Z,0x18000c296,Microsoft.Windows.DeviceManagement.WmiCsp,{C37BB754-DC5C-45AD-9D00-A42CFCF137A8},CCIMProvider::ConfigStringOptions,3,0x0,"""Failed to get session var for OMADM::TargetedUserSID"":AnsiString",Direct-Preceding
?ConfigStringOptions@CCMProvider@@IEAAJAEAU_MI_Application@@AEAU_MI_OperationOptions@@AEA_N@Z,0x18000c36f,Microsoft.Windows.DeviceManagement.WmiCsp,{C37BB754-DC5C-45AD-9D00-A42CFCF137A8},CCIMProvider::ConfigStringOptions,4,0x0,HResult:Int32(HResult),Direct-Preceding
?DeleteInstance@CCIMProvider@@QEAAJAEAV?$vector@UCIMProperty@@V?$allocator@UCIMProperty@@@std@@@std@@@Z,0x18000c715,Microsoft.Windows.DeviceManagement.WmiCsp,{C37BB754-DC5C-45AD-9D00-A42CFCF137A8},CCIMProvider::DeleteInstance,2,0x0,"""MI_Application_NewInstance"":AnsiString, miResult:Int32",Direct-Preceding
?DeleteInstance@CCIMProvider@@QEAAJAEAV?$vector@UCIMProperty@@V?$allocator@UCIMProperty@@@std@@@std@@@Z,0x18000c90e,Microsoft.Windows.DeviceManagement.WmiCsp,{C37BB754-DC5C-45AD-9D00-A42CFCF137A8},CCIMProvider::DeleteInstance,2,0x0,"""MI_Instance_AddElement"":AnsiString, miResult:Int32",Direct-Preceding
?DeleteInstance@CCIMProvider@@QEAAJAEAV?$vector@UCIMProperty@@V?$allocator@UCIMProperty@@@std@@@std@@@Z,0x18000cb06,Microsoft.Windows.DeviceManagement.WmiCsp,{C37BB754-DC5C-45AD-9D00-A42CFCF137A8},CCIMProvider::DeleteInstance,2,0x0,"""MI_Operation_GetInstance"":AnsiString, miResult:Int32",Direct-Preceding
?DeleteInstance@CCIMProvider@@QEAAJAEAV?$vector@UCIMProperty@@V?$allocator@UCIMProperty@@@std@@@std@@@Z,0x18000cb4d,Microsoft.Windows.DeviceManagement.WmiCsp,{C37BB754-DC5C-45AD-9D00-A42CFCF137A8},CCIMProvider::DeleteInstance,2,0x0,"""MI_Operation_GetInstance"":AnsiString, miResult:Int32",Direct-Preceding
?DeleteInstance@CCIMProvider@@QEAAJAEAV?$vector@UCIMProperty@@V?$allocator@UCIMProperty@@@std@@@std@@@Z,0x18000cb83,Microsoft.Windows.DeviceManagement.WmiCsp,{C37BB754-DC5C-45AD-9D00-A42CFCF137A8},CCIMProvider::DeleteInstance,2,0x0,"""MI_Operation_GetClass"":AnsiString, miResult:Int32",Direct-Preceding
?DeleteInstance@CCIMProvider@@QEAAJAEAV?$vector@UCIMProperty@@V?$allocator@UCIMProperty@@@std@@@std@@@Z,0x18000cc25,Microsoft.Windows.DeviceManagement.WmiCsp,{C37BB754-DC5C-45AD-9D00-A42CFCF137A8},CCIMProvider::DeleteInstance,4,0x0,HResult:Int32(HResult),Direct-Preceding
?DeleteNode@CCIMProvider@@UEAAJPEBG@Z,0x18000ce22,Microsoft.Windows.DeviceManagement.WmiCsp,{C37BB754-DC5C-45AD-9D00-A42CFCF137A8},CCIMProvider::DeleteNode,4,0x0,HResult:Int32(HResult),Direct-Preceding
?ExecNode@CCIMProvider@@UEAAJPEBGW4ConfigDataType@@0AEAK@Z,0x18000db2e,Microsoft.Windows.DeviceManagement.WmiCsp,{C37BB754-DC5C-45AD-9D00-A42CFCF137A8},CCIMProvider::ExecNode,4,0x0,HResult:Int32(HResult),Direct-Preceding
?ExecNode@CCIMProvider@@UEAAJPEBGW4ConfigDataType@@0AEAK@Z,0x18000e168,Microsoft.Windows.DeviceManagement.WmiCsp,{C37BB754-DC5C-45AD-9D00-A42CFCF137A8},CCIMProvider::ExecNode,2,0x0,"""MI_Instance_AddElement"":AnsiString, miResult:Int32",Direct-Preceding
?ExecNode@CCIMProvider@@UEAAJPEBGW4ConfigDataType@@0AEAK@Z,0x18000e190,Microsoft.Windows.DeviceManagement.WmiCsp,{C37BB754-DC5C-45AD-9D00-A42CFCF137A8},CCIMProvider::ExecNode,2,0x0,"""MI_Application_NewParameterSet"":AnsiString, miResult:Int32",Direct-Preceding
?ExecNode@CCIMProvider@@UEAAJPEBGW4ConfigDataType@@0AEAK@Z,0x18000e211,Microsoft.Windows.DeviceManagement.WmiCsp,{C37BB754-DC5C-45AD-9D00-A42CFCF137A8},CCIMProvider::ExecNode,2,0x0,"""MI_Operation_GetInstance for Session_Invoke"":AnsiString, miResult:Int32",Direct-Preceding
?GetInstanceName@CCIMProvider@@AEAAJAEAV?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@@Z,0x18000ebf9,Microsoft.Windows.DeviceManagement.WmiCsp,{C37BB754-DC5C-45AD-9D00-A42CFCF137A8},CCIMProvider::GetInstanceName,2,0x0,"""MI_Instance_GetElement"":AnsiString, miResult:Int32",Direct-Preceding
?GetInstanceName@CCIMProvider@@AEAAJAEAV?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@@Z,0x18000ec51,Microsoft.Windows.DeviceManagement.WmiCsp,{C37BB754-DC5C-45AD-9D00-A42CFCF137A8},CCIMProvider::GetInstanceName,2,0x0,"""MI_Operation_GetInstance failed for Session_EnumerateInstances"":AnsiString",Direct-Preceding
?GetInstanceName@CCIMProvider@@AEAAJAEAV?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@@Z,0x18000ecf5,Microsoft.Windows.DeviceManagement.WmiCsp,{C37BB754-DC5C-45AD-9D00-A42CFCF137A8},CCIMProvider::GetInstanceName,4,0x0,HResult:Int32(HResult),Direct-Preceding
?GetNode@CCIMProvider@@UEBAJPEBGAEAW4ConfigDataType@@AEAV?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@@Z,0x18000f795,Microsoft.Windows.DeviceManagement.WmiCsp,{C37BB754-DC5C-45AD-9D00-A42CFCF137A8},CCIMProvider::GetNode,2,0x0,"""MI_FLAG_NULL in flags"":AnsiString",Direct-Preceding
