Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?EnterWait@DWM@KST@InputTraceLogging@@SAXXZ,0x180010341,InputCore,{5FB75EAC-9F0B-550C-339F-FC21FDE966CD},KST::DWM::EnterWait,4,0x2,(none),CallGraph-d1
?ExitWait@DWM@KST@InputTraceLogging@@SAXK@Z,0x1800103b7,InputCore,{5FB75EAC-9F0B-550C-339F-FC21FDE966CD},KST::DWM::ExitWait,4,0x2,Result:UInt32,CallGraph-d1
?SignalReset@DWM@KST@InputTraceLogging@@SAXXZ,0x180010ae9,InputCore,{5FB75EAC-9F0B-550C-339F-FC21FDE966CD},KST::DWM::SignalReset,4,0x2,(none),CallGraph-d1
?ThreadStart@DWM@KST@InputTraceLogging@@SAXK@Z,0x180010df3,InputCore,{5FB75EAC-9F0B-550C-339F-FC21FDE966CD},KST::DWM::ThreadStart,4,0x2,TID:UInt32,CallGraph-d1
?ReportAggregatedValues@_unnamed_type_gDwmInitTelemetryAggregator_@@QEAAXXZ,0x18000c744,Microsoft.Windows.Dwm.DwmInit,{45AC0C12-FA92-4407-BC96-577642890490},DwmInit_AggregateEvent,5,0x400000000000,"PartA_PrivTags:UInt64, sessionActivityId:GUID, restartCount:UInt32, fallbackToBddCount:UInt32, sessionShutdownOnRestartFailureCount:UInt32, sessionShutdownOnCreateFailureCount:UInt32, TargetAppSessionGuid:GUID",Direct-Preceding
?TraceLoggingWriteEtw@@YAXW4DwmInitEtwType@@JI@Z,0x18000cd07,Microsoft.Windows.Dwm.DwmInit,{45AC0C12-FA92-4407-BC96-577642890490},DwmInit_EtwEvent,4,0x0,"PartA_PrivTags:UInt64, sessionActivityId:GUID, eventType:UInt32, hResult:Int32, extraInfo:UInt32, TargetAppSessionGuid:GUID",Direct-Preceding
DwmpCreateSessionProcess,0x18000d9dd,Microsoft.Windows.Dwm.DwmInit,{45AC0C12-FA92-4407-BC96-577642890490},DwmpCreateSessionProcess,5,0x400000000000,"PartA_PrivTags:UInt64, sessionActivityId:GUID, HRESULT:Int32(HResult), dwProcessId:UInt32, TargetAppSessionGuid:GUID",Direct-Preceding
DwmpShutdownWinlogonMouseThread,0x18000dfcc,Microsoft.Windows.Dwm.DwmInit,{45AC0C12-FA92-4407-BC96-577642890490},DwmpShutdownWinlogonMouseThread,5,0x400000000000,"PartA_PrivTags:UInt64, sessionActivityId:GUID, TargetAppSessionGuid:GUID",Direct-Preceding
DwmpStartWinlogonMouseThread,0x18000e196,Microsoft.Windows.Dwm.DwmInit,{45AC0C12-FA92-4407-BC96-577642890490},DwmpStartWinlogonMouseThread,5,0x400000000000,"PartA_PrivTags:UInt64, sessionActivityId:GUID, TargetAppSessionGuid:GUID",Direct-Preceding
DwmpTerminateSessionProcess,0x18000e4c5,Microsoft.Windows.Dwm.DwmInit,{45AC0C12-FA92-4407-BC96-577642890490},DwmpTerminateSessionProcess,5,0x400000000000,"PartA_PrivTags:UInt64, sessionActivityId:GUID, HRESULT:Int32(HResult), dwData:UInt32, TargetAppSessionGuid:GUID",Direct-Preceding
?FallBackToBDD@@YA_NXZ,0x18000b5d2,Microsoft.Windows.Dwm.DwmInit,{45AC0C12-FA92-4407-BC96-577642890490},FallbackToBdd,5,0x400000000000,"PartA_PrivTags:UInt64, sessionActivityId:GUID, ntStatus:Int32, iNumRetriesSoFar:Int32, TargetAppSessionGuid:GUID",Direct-Preceding
?CleanupOldDwmProcess@@YAJXZ,0x18000ad49,Microsoft.Windows.Dwm.DwmInit,{45AC0C12-FA92-4407-BC96-577642890490},Restart,5,0x400000000000,"PartA_PrivTags:UInt64, sessionActivityId:GUID, exitCode:UInt32, iNumRetriesSoFar:Int32, TargetAppSessionGuid:GUID",Direct-Preceding
?DwmpCreateSessionProcessWorker@@YAKPEAX@Z,0x18000b40a,Microsoft.Windows.Dwm.DwmInit,{45AC0C12-FA92-4407-BC96-577642890490},SessionShutdownOnCreateFailure,5,0x400000000000,"PartA_PrivTags:UInt64, sessionActivityId:GUID, hResult:Int32, TargetAppSessionGuid:GUID",Direct-Preceding
?CleanupOldDwmProcess@@YAJXZ,0x18000ae5f,Microsoft.Windows.Dwm.DwmInit,{45AC0C12-FA92-4407-BC96-577642890490},SessionShutdownOnRestartFailure,5,0x400000000000,"PartA_PrivTags:UInt64, sessionActivityId:GUID, iNumRetriesSoFar:Int32, TargetAppSessionGuid:GUID",Direct-Preceding
DllMain,0x18000d812,Microsoft.Windows.Dwm.DwmInit,{45AC0C12-FA92-4407-BC96-577642890490},SessionStart,5,0x400000000000,"PartA_PrivTags:UInt64, sessionActivityId:GUID, TargetAppSessionGuid:GUID",Direct-Preceding
?WaitForDwmExit@@YAJPEAKPEAU_FILETIME@@@Z,0x18000d18c,Microsoft.Windows.Dwm.DwmInit,{45AC0C12-FA92-4407-BC96-577642890490},WaitForDwmExit,5,0x400000000000,"PartA_PrivTags:UInt64, sessionActivityId:GUID, exitTimeInMilliseconds:UInt64, hresult:Int32, requiredTerminateProcess:UInt8(Boolean)",Direct-Preceding
?FeatureLoggingHook@details@wil@@YAXIPEBUFEATURE_LOGGED_TRAITS@@PEBUFEATURE_ERROR@@HPEBW4wil_ReportingKind@@PEBW4wil_VariantReportingKind@@E_K@Z,0x180011054,Microsoft.Windows.Wil.FeatureLogging,{DCEF5411-1F98-5EE7-238B-5ABD0E078E97},EnabledFeatureUsage,5,0xa,"featureId:UInt32, featureVersion:Int32, featureBaseVersion:Int32, featureStage:Int16, enabled:UInt8(Boolean), kind:UInt32, addend:UInt64",CallGraph-d1
?FeatureLoggingHook@details@wil@@YAXIPEBUFEATURE_LOGGED_TRAITS@@PEBUFEATURE_ERROR@@HPEBW4wil_ReportingKind@@PEBW4wil_VariantReportingKind@@E_K@Z,0x1800112e6,Microsoft.Windows.Wil.FeatureLogging,{DCEF5411-1F98-5EE7-238B-5ABD0E078E97},FeatureError,2,0x1,"featureId:UInt32, featureVersion:Int32, featureBaseVersion:Int32, featureStage:Int16, hr:Int32(HResult), file:AnsiString, lineNumber:UInt16, module:AnsiString, process:AnsiString, originFile:AnsiString, originLineNumber:UInt16, originModule:AnsiString, originName:AnsiString, message:AnsiString, callerModule:AnsiString, callerReturnAddressOffset:UInt32, originCallerModule:AnsiString, originCallerReturnAddressOffset:UInt32",CallGraph-d1
?FeatureLoggingHook@details@wil@@YAXIPEBUFEATURE_LOGGED_TRAITS@@PEBUFEATURE_ERROR@@HPEBW4wil_ReportingKind@@PEBW4wil_VariantReportingKind@@E_K@Z,0x180010fba,Microsoft.Windows.Wil.FeatureLogging,{DCEF5411-1F98-5EE7-238B-5ABD0E078E97},FeatureUsage,5,0x2,"featureId:UInt32, featureVersion:Int32, featureBaseVersion:Int32, featureStage:Int16, enabled:UInt8(Boolean), kind:UInt32, addend:UInt64",CallGraph-d1
?FeatureLoggingHook@details@wil@@YAXIPEBUFEATURE_LOGGED_TRAITS@@PEBUFEATURE_ERROR@@HPEBW4wil_ReportingKind@@PEBW4wil_VariantReportingKind@@E_K@Z,0x1800111d7,Microsoft.Windows.Wil.FeatureLogging,{DCEF5411-1F98-5EE7-238B-5ABD0E078E97},FeatureVariantUsage,5,0x4,"featureId:UInt32, featureVersion:Int32, featureBaseVersion:Int32, featureStage:Int16, enabled:UInt8(Boolean), variantKind:UInt32, variant:UInt8, addend:UInt64",CallGraph-d1
?ReportTelemetryFailure@TraceLoggingProvider@wil@@IEAAXAEBUFailureInfo@2@@Z,0x1800106f8,Unknown,Unknown,FallbackError,2,0x200000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilResult:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",Unresolved
?ReportTraceLoggingFailure@TraceLoggingProvider@wil@@IEAAXAEBUFailureInfo@2@@Z,0x180010847,Unknown,Unknown,FallbackError,2,0x0,"PartA_PrivTags:UInt64, wilResult:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",Unresolved
