Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?SendBatteryAnalysisTelemetry@@YAXU_GUID@@@Z,0x18004b2c4,Microsoft.Windows.Power.Battery,{E94614D1-95AA-4BD6-87F8-B6967917F7AF},Characteristics,5,0x400000000000,"sessionGuid:GUID, aggregatedDesignCapacity:UInt32, aggregateFullChargeCapacity:UInt32, cycleCount:UInt32, batteryCount:UInt32",Direct-Preceding
?SendBatteryAnalysisTelemetry@@YAXU_GUID@@@Z,0x18004b412,Microsoft.Windows.Power.Battery,{E94614D1-95AA-4BD6-87F8-B6967917F7AF},DailyUsage,5,0x400000000000,"sessionGuid:GUID, activeDcTime:UInt32, csDcTime:UInt32, activeAcTime:UInt32, csAcTime:UInt32, activeEnergyConsumption:UInt32, csEnergyConsumption:UInt32",Direct-Preceding
?LocalTelemetryAnalysis@BatteryTroubleshooter@@MEAAXU_GUID@@@Z,0x180049b09,Microsoft.Windows.Power.Battery,{E94614D1-95AA-4BD6-87F8-B6967917F7AF},DrainRate,5,0x400000000000,"sessionGuid:GUID, totalDrainRate:UInt32",Direct-Preceding
?LocalTelemetryAnalysis@BatteryTroubleshooter@@MEAAXU_GUID@@@Z,0x180049a1c,Microsoft.Windows.Power.Battery,{E94614D1-95AA-4BD6-87F8-B6967917F7AF},Information,5,0x400000000000,"sessionGuid:GUID, flags:UInt32, cycleCount:UInt32, lastFullCharge:UInt32, manufactureDate:UInt32, designCapacity:UInt32, lastChargeCapacity:UInt32",Direct-Preceding
?LocalTelemetryAnalysis@CpuUtilizationTroubleshooter@@MEAAXU_GUID@@@Z,0x180022ac8,Microsoft.Windows.Power.CpuUtilization,{91F575CD-50CA-496A-97E0-11BC7F12C659},CpuAverageUtilization,5,0x0,"sessionGuid:GUID, systemBusyTime:UInt32",Direct-Preceding
?LocalTelemetryAnalysis@CpuUtilizationTroubleshooter@@MEAAXU_GUID@@@Z,0x180022cb3,Microsoft.Windows.Power.CpuUtilization,{91F575CD-50CA-496A-97E0-11BC7F12C659},CpuTopProcesses,5,0x0,"sessionGuid:GUID, processName:UnicodeString, processUtilization:UInt32, moduleName:UnicodeString, ModuleUtilization:UInt32",Direct-Preceding
?LocalTelemetryAnalysis@DevicesTroubleshooter@@MEAAXU_GUID@@@Z,0x180034050,Microsoft.Windows.Power.Device,{79447BC9-0777-4626-B75D-68D37EC5C820},InstalledDevice,5,0x0,"sessionGuid:GUID, instancePath:UnicodeString, isFxDevice:UInt8",Direct-Preceding
?LocalTelemetryAnalysis@DevicesTroubleshooter@@MEAAXU_GUID@@@Z,0x180033fbd,Microsoft.Windows.Power.DeviceProblems,{CDEF60FA-5777-4B02-9980-1E2C0DF22635},ProblemsDetected,5,0x0,"sessionGuid:GUID, problemsDetected:UInt8",Direct-Preceding
?TelemetryAnalysis@EnergyWizardImpl@@QEAAJH@Z,0x18005c04e,Microsoft.Windows.Power.EnergyWizard,{B87CEB6D-52B1-431B-A19D-E4E559DE4D27},Duration,5,0x0,"sessionGuid:GUID, duration:UInt32",Direct-Preceding
?TelemetryAnalysis@EnergyWizardImpl@@QEAAJH@Z,0x18005c0e0,Microsoft.Windows.Power.EnergyWizard,{B87CEB6D-52B1-431B-A19D-E4E559DE4D27},LogEntriesCount,5,0x400000000000,"sessionGuid:GUID, informational:UInt32, warning:UInt32, error:UInt32",Direct-Preceding
?LocalTelemetryAnalysis@PlatformTroubleshooter@@MEAAXU_GUID@@@Z,0x18005e539,Microsoft.Windows.Power.PlatformCapabilities,{EA44CFB5-807D-41C8-950C-3D24EABCC66E},Flags,5,0x400000000000,"sessionGuid:GUID, flags:UInt32",Direct-Preceding
?LocalTelemetryAnalysis@PlatformTroubleshooter@@MEAAXU_GUID@@@Z,0x18005e3b8,Microsoft.Windows.Power.PlatformCapabilities,{EA44CFB5-807D-41C8-950C-3D24EABCC66E},LegacyDrivers,5,0x400000000000,legacyDriver:UnicodeString,Direct-Preceding
?LocalTelemetryAnalysis@PlatformTroubleshooter@@MEAAXU_GUID@@@Z,0x18005e8ad,Microsoft.Windows.Power.PlatformCapabilities,{EA44CFB5-807D-41C8-950C-3D24EABCC66E},PlatformRole,5,0x400000000000,"sessionGuid:GUID, firmwarePlatformRole:UInt32, cleanPlatformRole:UInt32, hasBattery:UInt8",Direct-Preceding
?LocalTelemetryAnalysis@PlatformTroubleshooter@@MEAAXU_GUID@@@Z,0x18005e7ef,Microsoft.Windows.Power.PlatformCapabilities,{EA44CFB5-807D-41C8-950C-3D24EABCC66E},Ppm,5,0x400000000000,"sessionGuid:GUID, ppmData:UInt32",Direct-Preceding
