Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?LogDeleteResources@CResourceManagerLogger@@QEAAXPEBGJ@Z,0x180012264,Microsoft.Windows.EnterpriseManagement.ResourceManager,{6B865228-DEFA-455A-9E25-27D71E8FE5FA},DeleteResource,2,0x0,"pszMessage:UnicodeString, HResult:Int32(HResult), __TlgCV__:AnsiString",Direct-Preceding
EnterpriseResourceManagerStore_DeleteResource,0x1800049b3,Microsoft.Windows.EnterpriseManagement.ResourceManager,{6B865228-DEFA-455A-9E25-27D71E8FE5FA},DeleteResource,5,0x0,DeleteStartTime:SystemTime,Direct-Preceding
EnterpriseResourceManagerStore_DeleteResource,0x180004a16,Microsoft.Windows.EnterpriseManagement.ResourceManager,{6B865228-DEFA-455A-9E25-27D71E8FE5FA},DeleteResource,2,0x0,"L""Invalid Input Arguments"":UnicodeString, HResult:Int32(HResult)",Direct-Preceding
EnterpriseResourceManagerStore_DeleteResource,0x180004a68,Microsoft.Windows.EnterpriseManagement.ResourceManager,{6B865228-DEFA-455A-9E25-27D71E8FE5FA},DeleteResource,5,0x0,"EnrollmentID:UnicodeString, UserSID:UnicodeString, ContextID:UnicodeString, URIPath:UnicodeString, ResourceType:Int32",Direct-Preceding
EnterpriseResourceManagerStore_DeleteResource,0x180004b06,Microsoft.Windows.EnterpriseManagement.ResourceManager,{6B865228-DEFA-455A-9E25-27D71E8FE5FA},DeleteResource,2,0x0,"L""Invalid Enrollment"":UnicodeString, HResult:Int32(HResult)",Direct-Preceding
EnterpriseResourceManagerStore_DeleteResource,0x180004b7a,Microsoft.Windows.EnterpriseManagement.ResourceManager,{6B865228-DEFA-455A-9E25-27D71E8FE5FA},DeleteResource,2,0x200000000000,"L""Server not Enrolled"":UnicodeString, HResult:Int32(HResult)",Direct-Preceding
EnterpriseResourceManagerStore_DeleteResource,0x180004c2a,Microsoft.Windows.EnterpriseManagement.ResourceManager,{6B865228-DEFA-455A-9E25-27D71E8FE5FA},DeleteResource,5,0x0,"DeleteEndTime:SystemTime, HRESULTForResourceDelete:Int32(HResult)",Direct-Preceding
EnterpriseResourceManagerStore_ReplaceResourceNodePath,0x180005d4b,Microsoft.Windows.EnterpriseManagement.ResourceManager,{6B865228-DEFA-455A-9E25-27D71E8FE5FA},DeleteResource,5,0x0,"L""DeleteResourcePathFromDifferentSource Failed. ERROR_FILE_NOT_FOUND can be expected."":UnicodeString, HResult:Int32(HResult)",Direct-Preceding
?LogDeleteResourceFromDifferentSource@CResourceManagerLogger@@QEAAXPEBG0KKJ@Z,0x180012200,Microsoft.Windows.EnterpriseManagement.ResourceManager,{6B865228-DEFA-455A-9E25-27D71E8FE5FA},DeleteResourceFromDifferentSource,5,0x400000000000,"ExistingEnrollmentID:UnicodeString, ResourceURI:UnicodeString, Command:UInt32, UserType:UInt32, HResult:Int32(HResult), __TlgCV__:AnsiString",Direct-Preceding
EnterpriseResourceManagerStore_IsDoNotTrackPath,0x1800050ca,Microsoft.Windows.EnterpriseManagement.ResourceManager,{6B865228-DEFA-455A-9E25-27D71E8FE5FA},IsDoNotTrackPath,5,0x0,"L""Start"":UnicodeString",Direct-Preceding
EnterpriseResourceManagerStore_IsDoNotTrackPath,0x1800052af,Microsoft.Windows.EnterpriseManagement.ResourceManager,{6B865228-DEFA-455A-9E25-27D71E8FE5FA},IsDoNotTrackPath,2,0x0,"L""Error reading Path"":UnicodeString, HResult:Int32(HResult)",Direct-Preceding
EnterpriseResourceManagerStore_IsDoNotTrackPath,0x180005330,Microsoft.Windows.EnterpriseManagement.ResourceManager,{6B865228-DEFA-455A-9E25-27D71E8FE5FA},IsDoNotTrackPath,2,0x200000000000,"L""DoNotTrack Path"":UnicodeString, HResult:Int32(HResult)",Direct-Preceding
EnterpriseResourceManagerStore_IsDoNotTrackPath,0x180005383,Microsoft.Windows.EnterpriseManagement.ResourceManager,{6B865228-DEFA-455A-9E25-27D71E8FE5FA},IsDoNotTrackPath,5,0x0,"pfDoNotTrack:Bool32, HResult:Int32(HResult)",Direct-Preceding
EnterpriseResourceManagerStore_RemoveAllIgnoredUri,0x180005bc8,Microsoft.Windows.EnterpriseManagement.ResourceManager,{6B865228-DEFA-455A-9E25-27D71E8FE5FA},RemoveAllIgnoredUri,5,0x0,"L""Start"":UnicodeString",Direct-Preceding
EnterpriseResourceManagerStore_RemoveAllIgnoredUri,0x180005c76,Microsoft.Windows.EnterpriseManagement.ResourceManager,{6B865228-DEFA-455A-9E25-27D71E8FE5FA},RemoveAllIgnoredUri,5,0x0,DeleteRegKey:Int32(HResult),Direct-Preceding
EnterpriseResourceManagerStore_RemoveAllIgnoredUri,0x180005ccf,Microsoft.Windows.EnterpriseManagement.ResourceManager,{6B865228-DEFA-455A-9E25-27D71E8FE5FA},RemoveAllIgnoredUri,5,0x0,HResult:Int32(HResult),Direct-Preceding
EnterpriseResourceManagerStore_SaveIgnoredURI,0x180005df7,Microsoft.Windows.EnterpriseManagement.ResourceManager,{6B865228-DEFA-455A-9E25-27D71E8FE5FA},SaveIgnoredURI,5,0x0,"L""Start"":UnicodeString",Direct-Preceding
EnterpriseResourceManagerStore_SaveIgnoredURI,0x180006024,Microsoft.Windows.EnterpriseManagement.ResourceManager,{6B865228-DEFA-455A-9E25-27D71E8FE5FA},SaveIgnoredURI,5,0x0,"URINumber:Int32, URIPath:UnicodeString",Direct-Preceding
EnterpriseResourceManagerStore_SaveIgnoredURI,0x1800060ea,Microsoft.Windows.EnterpriseManagement.ResourceManager,{6B865228-DEFA-455A-9E25-27D71E8FE5FA},SaveIgnoredURI,5,0x0,HResult:Int32(HResult),Direct-Preceding
