Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?OSDiagTrackAssertFail@@YAXPEBDPEBG@Z,0x18016700e,Microsoft.Windows.ESENT.TraceLogging,{02F42B1B-4B78-48CE-8CDF-D98F8B443B93},AssertFail,5,0x400000000000,"szMessage:AnsiString, wszIssueSource:UnicodeString",SingleProvider
?OSDiagTrackCorruptLog@@YAXI@Z,0x18016b071,Microsoft.Windows.ESENT.TraceLogging,{02F42B1B-4B78-48CE-8CDF-D98F8B443B93},CorruptLog,5,0x400000000000,reason:UInt32,SingleProvider
?OSDiagTrackDeferredAttach@@YAXI@Z,0x1802f6ac9,Microsoft.Windows.ESENT.TraceLogging,{02F42B1B-4B78-48CE-8CDF-D98F8B443B93},DeferredAttach,5,0x400000000000,reason:UInt32,SingleProvider
?OSDiagTrackEnforceFail@@YAXPEBGPEBD0@Z,0x1802f6b1a,Microsoft.Windows.ESENT.TraceLogging,{02F42B1B-4B78-48CE-8CDF-D98F8B443B93},EnforceFail,5,0x400000000000,"wszContext:UnicodeString, szMessage:AnsiString, wszIssueSource:UnicodeString",SingleProvider
?OSDiagTrackEventLog@@YAXI@Z,0x1802f6b79,Microsoft.Windows.ESENT.TraceLogging,{02F42B1B-4B78-48CE-8CDF-D98F8B443B93},EventLog,5,0x400000000000,msgid:UInt32,SingleProvider
?OSDiagTrackFileSystemError@@YAXHI@Z,0x18016aece,Microsoft.Windows.ESENT.TraceLogging,{02F42B1B-4B78-48CE-8CDF-D98F8B443B93},FileError,5,0x400000000000,"err:Int32, errorSystem:UInt32",SingleProvider
?OSDiagTrackHungIO@@YAXHII@Z,0x1802f6be6,Microsoft.Windows.ESENT.TraceLogging,{02F42B1B-4B78-48CE-8CDF-D98F8B443B93},HungIO,5,0x200000000000,"fWrite:Bool32, cbRun:UInt32, csecHangTime:UInt32",SingleProvider
?OSDiagTrackJetApiError@@YAXPEBGHH@Z,0x1800311d7,Microsoft.Windows.ESENT.TraceLogging,{02F42B1B-4B78-48CE-8CDF-D98F8B443B93},JetApiError,5,0x400000000000,"InstDisplayName:UnicodeString, JetOp:Int32, err:Int32",SingleProvider
?OSDiagTrackInit@@YAXPEBG_KH@Z,0x18015b326,Microsoft.Windows.ESENT.TraceLogging,{02F42B1B-4B78-48CE-8CDF-D98F8B443B93},JetInitError,5,0x400000000000,"InstDisplayName:UnicodeString, SignHash:UInt64, errTracked:Int32",SingleProvider
?OSDiagTrackRepair@@YAXH@Z,0x1802f6c8d,Microsoft.Windows.ESENT.TraceLogging,{02F42B1B-4B78-48CE-8CDF-D98F8B443B93},Repair,5,0x400000000000,err:Int32,SingleProvider
?OSDiagTrackWriteError@@YAXHI_K@Z,0x1802f6cf3,Microsoft.Windows.ESENT.TraceLogging,{02F42B1B-4B78-48CE-8CDF-D98F8B443B93},WriteError,5,0x400000000000,"err:Int32, errorSystem:UInt32, cmsecIOElapsed:UInt64",SingleProvider
