Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
HumInitDevice,0x1400018ed,Microsoft.Windows.Input.HidUsb,{EB16899E-AE38-517E-294D-B82DC8A04C74},deviceState,5,0x200000000000,"ntStatus:UInt32(NTStatus), state:UInt32, message:AnsiString",SingleProvider
HumInitDevice,0x1400019dc,Microsoft.Windows.Input.HidUsb,{EB16899E-AE38-517E-294D-B82DC8A04C74},deviceState,5,0x200000000000,"ntStatus:UInt32(NTStatus), state:UInt32, message:AnsiString",SingleProvider
HumPnP,0x14000f990,Microsoft.Windows.Input.HidUsb,{EB16899E-AE38-517E-294D-B82DC8A04C74},deviceState,5,0x200000000000,"ntStatus:UInt32(NTStatus), state:UInt32, message:AnsiString",SingleProvider
HumPnP,0x14000f9df,Microsoft.Windows.Input.HidUsb,{EB16899E-AE38-517E-294D-B82DC8A04C74},deviceState,5,0x200000000000,"ntStatus:UInt32(NTStatus), state:UInt32, message:AnsiString",SingleProvider
HumPnP,0x14000faba,Microsoft.Windows.Input.HidUsb,{EB16899E-AE38-517E-294D-B82DC8A04C74},deviceState,5,0x200000000000,"ntStatus:UInt32(NTStatus), state:UInt32, message:AnsiString",SingleProvider
HumPnP,0x14000fb09,Microsoft.Windows.Input.HidUsb,{EB16899E-AE38-517E-294D-B82DC8A04C74},deviceState,5,0x200000000000,"ntStatus:UInt32(NTStatus), state:UInt32, message:AnsiString",SingleProvider
HumInternalIoctl,0x140003def,Microsoft.Windows.Input.HidUsb,{EB16899E-AE38-517E-294D-B82DC8A04C74},ioCtrl,5,0x200000000000,"ntStatus:UInt32(NTStatus), code:UInt32",SingleProvider
HumInternalIoctl,0x140004340,Microsoft.Windows.Input.HidUsb,{EB16899E-AE38-517E-294D-B82DC8A04C74},ioCtrl,5,0x200000000000,"ntStatus:UInt32(NTStatus), code:UInt32",SingleProvider
DriverEntry,0x140005de4,Microsoft.Windows.Input.HidUsb,{EB16899E-AE38-517E-294D-B82DC8A04C74},unexpectedFailure,5,0x200000000000,"ntStatus:UInt32(NTStatus), message:AnsiString",SingleProvider
DriverEntry,0x140005e23,Microsoft.Windows.Input.HidUsb,{EB16899E-AE38-517E-294D-B82DC8A04C74},unexpectedFailure,5,0x200000000000,"ntStatus:UInt32(NTStatus), message:AnsiString",SingleProvider
HumParseHidInterface,0x140002c7e,Microsoft.Windows.Input.HidUsb,{EB16899E-AE38-517E-294D-B82DC8A04C74},unexpectedFailure,5,0x200000000000,"ntStatus:UInt32(NTStatus), message:AnsiString",SingleProvider
HumParseHidInterface,0x140002cbe,Microsoft.Windows.Input.HidUsb,{EB16899E-AE38-517E-294D-B82DC8A04C74},unexpectedFailure,5,0x200000000000,"ntStatus:UInt32(NTStatus), message:AnsiString",SingleProvider
HumParseHidInterface,0x140002e08,Microsoft.Windows.Input.HidUsb,{EB16899E-AE38-517E-294D-B82DC8A04C74},unexpectedFailure,5,0x200000000000,"ntStatus:UInt32(NTStatus), message:AnsiString",SingleProvider
HumParseHidInterface,0x140002e3f,Microsoft.Windows.Input.HidUsb,{EB16899E-AE38-517E-294D-B82DC8A04C74},unexpectedFailure,5,0x200000000000,"ntStatus:UInt32(NTStatus), message:AnsiString",SingleProvider
HumParseHidInterface,0x140003503,Microsoft.Windows.Input.HidUsb,{EB16899E-AE38-517E-294D-B82DC8A04C74},unexpectedFailure,5,0x200000000000,"ntStatus:UInt32(NTStatus), message:AnsiString",SingleProvider
HumParseHidInterface,0x140003542,Microsoft.Windows.Input.HidUsb,{EB16899E-AE38-517E-294D-B82DC8A04C74},unexpectedFailure,5,0x200000000000,"ntStatus:UInt32(NTStatus), message:AnsiString",SingleProvider
