Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?NotifyFailure@?$ActivityBase@VICHeartbeatTraceProvider@@$0A@$0A@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x18000c4c7,Microsoft.Windows.HyperV.Heartbeat,{6ECC4586-A9B8-421D-8678-4625026F82BE},ActivityError,2,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d2
?Stop@?$ActivityBase@VICHeartbeatTraceProvider@@$0A@$0A@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x18000d497,Microsoft.Windows.HyperV.Heartbeat,{6ECC4586-A9B8-421D-8678-4625026F82BE},ActivityIntermediateStop,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
??$ApplicationState@AEAW4GUEST_APPLICATION_STATE@@@MsgHandler@ICHeartbeatTraceProvider@@QEAAXAEAW4GUEST_APPLICATION_STATE@@@Z,0x18000e1d0,Microsoft.Windows.HyperV.Heartbeat,{6ECC4586-A9B8-421D-8678-4625026F82BE},ApplicationState,5,0x0,applicationState:UInt32,CallGraph-d2
?StartActivity@ChildInitialize@ICHeartbeatTraceProvider@@QEAAXXZ,0x18000d2b7,Microsoft.Windows.HyperV.Heartbeat,{6ECC4586-A9B8-421D-8678-4625026F82BE},ChildInitialize,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",CallGraph-d2
?StopActivity@ChildInitialize@ICHeartbeatTraceProvider@@MEAAXXZ,0x18000d567,Microsoft.Windows.HyperV.Heartbeat,{6ECC4586-A9B8-421D-8678-4625026F82BE},ChildInitialize,5,0x0,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d2
?StopActivity@ChildInitialize@ICHeartbeatTraceProvider@@MEAAXXZ,0x18000d6ef,Microsoft.Windows.HyperV.Heartbeat,{6ECC4586-A9B8-421D-8678-4625026F82BE},ChildInitialize,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
?ICHeartbeatApplicationStateCritical@ICHeartbeatTraceProvider@@SAXXZ,0x18000f09d,Microsoft.Windows.HyperV.Heartbeat,{6ECC4586-A9B8-421D-8678-4625026F82BE},ICHeartbeatApplicationStateCritical,5,0x0,(none),CallGraph-d2
?StartActivity@ICServiceMain@ICHeartbeatTraceProvider@@QEAAXXZ,0x18000d343,Microsoft.Windows.HyperV.Heartbeat,{6ECC4586-A9B8-421D-8678-4625026F82BE},ICServiceMain,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",CallGraph-d2
?StopActivity@ICServiceMain@ICHeartbeatTraceProvider@@MEAAXXZ,0x18000d7a7,Microsoft.Windows.HyperV.Heartbeat,{6ECC4586-A9B8-421D-8678-4625026F82BE},ICServiceMain,5,0x0,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d2
?StopActivity@ICServiceMain@ICHeartbeatTraceProvider@@MEAAXXZ,0x18000d92f,Microsoft.Windows.HyperV.Heartbeat,{6ECC4586-A9B8-421D-8678-4625026F82BE},ICServiceMain,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
