Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?IsAppServerInstalled@CUtils@@SAJAEAH@Z,0x18003e97b,LSM,{557D257B-180E-4AAE-8F06-86C4E46E9D00},AppCompat,2,0x0,"msg:AnsiString, lReturn:Int32(HResult)",Direct-Preceding
?IsAppServerInstalled@CUtils@@SAJAEAH@Z,0x18003ea2f,LSM,{557D257B-180E-4AAE-8F06-86C4E46E9D00},AppCompat,4,0x0,"msg:AnsiString, bIsAppServer:Bool32",Direct-Preceding
?IsAppServerInstalled@CUtils@@SAJAEAH@Z,0x18003ea71,LSM,{557D257B-180E-4AAE-8F06-86C4E46E9D00},AppCompat,4,0x0,"msg:AnsiString, lReturn:Int32(HResult), bIsAppServer:Bool32, REG_TERMSRV_APPCOMPAT:UnicodeString",Direct-Preceding
?AddBlackscreenDump@@YAJKPEAX_N@Z,0x180082425,LSM,{557D257B-180E-4AAE-8F06-86C4E46E9D00},BlackscreenDiagnostics,4,0x0,"msg:AnsiString, pid:UInt32, hr:Int32(HResult)",Direct-Preceding
?AddBlackscreenDump@@YAJKPEAX_N@Z,0x1800824a3,LSM,{557D257B-180E-4AAE-8F06-86C4E46E9D00},BlackscreenDiagnostics,3,0x0,"msg:AnsiString, pid:UInt32",Direct-Preceding
?AddBlackscreenDump@@YAJKPEAX_N@Z,0x18008251a,LSM,{557D257B-180E-4AAE-8F06-86C4E46E9D00},BlackscreenDiagnostics,4,0x0,"msg:AnsiString, pid:UInt32, hr:Int32(HResult)",Direct-Preceding
?QueueReportForSubmission@@YA?AW4_WER_SUBMIT_RESULT@@PEAX@Z,0x1800829f8,LSM,{557D257B-180E-4AAE-8F06-86C4E46E9D00},BlackscreenDiagnostics,5,0x0,"msg:AnsiString, submitResult:UInt32",Direct-Preceding
?QueueReportForSubmission@@YA?AW4_WER_SUBMIT_RESULT@@PEAX@Z,0x180082a36,LSM,{557D257B-180E-4AAE-8F06-86C4E46E9D00},BlackscreenDiagnostics,3,0x0,"msg:AnsiString, Failed:AnsiString, Result:HexInt32, function:AnsiString",Direct-Preceding
?UserHitBlackscreenKey@@YAJU_GUID@@K@Z,0x180082c7a,LSM,{557D257B-180E-4AAE-8F06-86C4E46E9D00},BlackscreenDiagnostics,5,0x0,"msg:AnsiString, instanceGuid:GUID, SourceSessionId:UInt32",Direct-Preceding
?UserHitBlackscreenKey@@YAJU_GUID@@K@Z,0x180082d12,LSM,{557D257B-180E-4AAE-8F06-86C4E46E9D00},BlackscreenDiagnostics,3,0x0,"msg:AnsiString, Failed:AnsiString, Result:HexInt32, function:AnsiString",Direct-Preceding
?UserHitBlackscreenKey@@YAJU_GUID@@K@Z,0x180082d9e,LSM,{557D257B-180E-4AAE-8F06-86C4E46E9D00},BlackscreenDiagnostics,3,0x0,"msg:AnsiString, Failed:AnsiString, Result:HexInt32, function:AnsiString",Direct-Preceding
?UserHitBlackscreenKey@@YAJU_GUID@@K@Z,0x180082de8,LSM,{557D257B-180E-4AAE-8F06-86C4E46E9D00},BlackscreenDiagnostics,3,0x0,"msg:AnsiString, Failed:AnsiString, Result:HexInt32, function:AnsiString",Direct-Preceding
