Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
??$H264EncOriginateError@$00@@YAJAEAU_GUID@@QEADJAEAY00$$CBG@Z,0x180074e2b,Microsoft.Windows.MediaFoundation.H264Encoder,{DEB6DE00-A0CB-5689-F9F9-F26CB3970205},MFMediaError,5,0x200000000000,"Function:AnsiString, hr:HexInt32, Description:UnicodeString, MFMediaTelemetrySessionID:GUID",SingleProvider
??$H264EncOriginateError@$0BA@@@YAJAEAU_GUID@@QEADJAEAY0BA@$$CBG@Z,0x180074f27,Microsoft.Windows.MediaFoundation.H264Encoder,{DEB6DE00-A0CB-5689-F9F9-F26CB3970205},MFMediaError,5,0x200000000000,"Function:AnsiString, hr:HexInt32, Description:UnicodeString, MFMediaTelemetrySessionID:GUID",SingleProvider
??$H264EncOriginateError@$0BAA@@@YAJAEAU_GUID@@QEADJAEAY0BAA@$$CBG@Z,0x18007501f,Microsoft.Windows.MediaFoundation.H264Encoder,{DEB6DE00-A0CB-5689-F9F9-F26CB3970205},MFMediaError,5,0x200000000000,"Function:AnsiString, hr:HexInt32, Description:UnicodeString, MFMediaTelemetrySessionID:GUID",SingleProvider
??$H264EncOriginateError@$0BG@@@YAJAEAU_GUID@@QEADJAEAY0BG@$$CBG@Z,0x18007511f,Microsoft.Windows.MediaFoundation.H264Encoder,{DEB6DE00-A0CB-5689-F9F9-F26CB3970205},MFMediaError,5,0x200000000000,"Function:AnsiString, hr:HexInt32, Description:UnicodeString, MFMediaTelemetrySessionID:GUID",SingleProvider
??$H264EncOriginateError@$0BH@@@YAJAEAU_GUID@@QEADJAEAY0BH@$$CBG@Z,0x180075221,Microsoft.Windows.MediaFoundation.H264Encoder,{DEB6DE00-A0CB-5689-F9F9-F26CB3970205},MFMediaError,5,0x200000000000,"Function:AnsiString, hr:HexInt32, Description:UnicodeString, MFMediaTelemetrySessionID:GUID",SingleProvider
??$H264EncOriginateError@$0BM@@@YAJAEAU_GUID@@QEADJAEAY0BM@$$CBG@Z,0x18007531f,Microsoft.Windows.MediaFoundation.H264Encoder,{DEB6DE00-A0CB-5689-F9F9-F26CB3970205},MFMediaError,5,0x200000000000,"Function:AnsiString, hr:HexInt32, Description:UnicodeString, MFMediaTelemetrySessionID:GUID",SingleProvider
??$H264EncOriginateError@$0BO@@@YAJAEAU_GUID@@QEADJAEAY0BO@$$CBG@Z,0x18007541f,Microsoft.Windows.MediaFoundation.H264Encoder,{DEB6DE00-A0CB-5689-F9F9-F26CB3970205},MFMediaError,5,0x200000000000,"Function:AnsiString, hr:HexInt32, Description:UnicodeString, MFMediaTelemetrySessionID:GUID",SingleProvider
??$H264EncOriginateError@$0CB@@@YAJAEAU_GUID@@QEADJAEAY0CB@$$CBG@Z,0x18006e573,Microsoft.Windows.MediaFoundation.H264Encoder,{DEB6DE00-A0CB-5689-F9F9-F26CB3970205},MFMediaError,5,0x200000000000,"Function:AnsiString, hr:HexInt32, Description:UnicodeString, MFMediaTelemetrySessionID:GUID",SingleProvider
??$H264EncOriginateError@$0CD@@@YAJAEAU_GUID@@QEADJAEAY0CD@$$CBG@Z,0x18007551a,Microsoft.Windows.MediaFoundation.H264Encoder,{DEB6DE00-A0CB-5689-F9F9-F26CB3970205},MFMediaError,5,0x200000000000,"Function:AnsiString, hr:HexInt32, Description:UnicodeString, MFMediaTelemetrySessionID:GUID",SingleProvider
??$H264EncOriginateError@$0CF@@@YAJAEAU_GUID@@QEADJAEAY0CF@$$CBG@Z,0x180075613,Microsoft.Windows.MediaFoundation.H264Encoder,{DEB6DE00-A0CB-5689-F9F9-F26CB3970205},MFMediaError,5,0x200000000000,"Function:AnsiString, hr:HexInt32, Description:UnicodeString, MFMediaTelemetrySessionID:GUID",SingleProvider
??$H264EncOriginateError@$0CJ@@@YAJAEAU_GUID@@QEADJAEAY0CJ@$$CBG@Z,0x180075713,Microsoft.Windows.MediaFoundation.H264Encoder,{DEB6DE00-A0CB-5689-F9F9-F26CB3970205},MFMediaError,5,0x200000000000,"Function:AnsiString, hr:HexInt32, Description:UnicodeString, MFMediaTelemetrySessionID:GUID",SingleProvider
??$H264EncOriginateError@$0CK@@@YAJAEAU_GUID@@QEADJAEAY0CK@$$CBG@Z,0x180075813,Microsoft.Windows.MediaFoundation.H264Encoder,{DEB6DE00-A0CB-5689-F9F9-F26CB3970205},MFMediaError,5,0x200000000000,"Function:AnsiString, hr:HexInt32, Description:UnicodeString, MFMediaTelemetrySessionID:GUID",SingleProvider
??$H264EncOriginateError@$0CM@@@YAJAEAU_GUID@@QEADJAEAY0CM@$$CBG@Z,0x180075905,Microsoft.Windows.MediaFoundation.H264Encoder,{DEB6DE00-A0CB-5689-F9F9-F26CB3970205},MFMediaError,5,0x200000000000,"Function:AnsiString, hr:HexInt32, Description:UnicodeString, MFMediaTelemetrySessionID:GUID",SingleProvider
??$H264EncOriginateError@$0CN@@@YAJAEAU_GUID@@QEADJAEAY0CN@$$CBG@Z,0x18006e6cb,Microsoft.Windows.MediaFoundation.H264Encoder,{DEB6DE00-A0CB-5689-F9F9-F26CB3970205},MFMediaError,5,0x200000000000,"Function:AnsiString, hr:HexInt32, Description:UnicodeString, MFMediaTelemetrySessionID:GUID",SingleProvider
??$H264EncOriginateError@$0DB@@@YAJAEAU_GUID@@QEADJAEAY0DB@$$CBG@Z,0x1800759fa,Microsoft.Windows.MediaFoundation.H264Encoder,{DEB6DE00-A0CB-5689-F9F9-F26CB3970205},MFMediaError,5,0x200000000000,"Function:AnsiString, hr:HexInt32, Description:UnicodeString, MFMediaTelemetrySessionID:GUID",SingleProvider
