Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
_tlgWriteTemplate_long_(const__tlgProvider_t____const_void____const__GUID____const__GUID____unsigned_int___EVENT_DATA_DESCRIPTOR__)_&_tlgWriteTransfer_EventWriteTransfer_const__GUID___const__GUID___::Write__tlgWrapperByVal_4___tlgWrapSz_wchar_t___tlgWrapSz_wchar_t___tlgWrapSz_wchar_t___tlgWrapperByVal_4___tlgWrapperByVal_8___tlgWrapSz_char___tlgWrapSz_wchar_t___tlgWrapSz_wchar_t___,0x180211386,Anaheim-SmartScreen,{6ECA6717-A528-4BDE-AE82-A924B29CD2A4},NetworkFilterBreakTheGlass,5,0x0,"Allow:Bool32, UserOverrideKey:UnicodeString, FriendlyName:UnicodeString, Uri:UnicodeString, ProcessId:UInt32, ProcessCreationTime:UInt64, UserSid:AnsiString, ResponseCategory:UnicodeString, IocId:UnicodeString",Direct-Preceding
_tlgWriteTemplate_long_(const__tlgProvider_t____const_void____const__GUID____const__GUID____unsigned_int___EVENT_DATA_DESCRIPTOR__)_&_tlgWriteTransfer_EventWriteTransfer_const__GUID___const__GUID___::Write__tlgWrapSz_wchar_t___tlgWrapSz_wchar_t___tlgWrapSz_wchar_t___tlgWrapSz_wchar_t___tlgWrapSz_wchar_t___tlgWrapSz_wchar_t___tlgWrapSz_wchar_t___tlgWrapSz_wchar_t___tlgWrapperByVal_4___tlgWrapperByVal_8___tlgWrapSz_char___tlgWrapSz_wchar_t___tlgWrapSz_wchar_t___tlgWrapperByRef_16___tlgWrapSz_wchar_t___,0x180211113,Anaheim-SmartScreen,{6ECA6717-A528-4BDE-AE82-A924B29CD2A4},UriLookupSmartScreenEvent,5,0x0,"Uri:UnicodeString, IP:UnicodeString, ReferrerUri:UnicodeString, ReferrerIP:UnicodeString, Recommendation:UnicodeString, HitType:UnicodeString, NavigationType:UnicodeString, ProductType:UnicodeString, CallingProcessId:UInt32, CallingProcessCreationTime:UInt64, Sid:AnsiString, Enforcement:UnicodeString, Experience:UnicodeString, ActivityId:GUID, IocId:UnicodeString",Direct-Preceding
_tlgWriteTemplate_long_(const__tlgProvider_t____const_void____const__GUID____const__GUID____unsigned_int___EVENT_DATA_DESCRIPTOR__)_&_tlgWriteTransfer_EventWriteTransfer_const__GUID___const__GUID___::Write__tlgWrapperByVal_4___tlgWrapperByVal_4___tlgWrapSz_char___tlgWrapperByVal_8___,0x180207b7c,Microsoft.Edge.WebApp,{C3DF6B35-71A7-4E52-9F58-8E710B055D76},PackageDeployment,5,0x800000000000,"error_code:Int32, package_type:Int32, description:AnsiString, PartA_PrivTags:UInt64",Direct-Preceding
_tlgWriteTemplate_long_(const__tlgProvider_t____const_void____const__GUID____const__GUID____unsigned_int___EVENT_DATA_DESCRIPTOR__)_&_tlgWriteTransfer_EventWriteTransfer_const__GUID___const__GUID___::Write__tlgWrapperByVal_4___tlgWrapSz_char___tlgWrapSz_char___tlgWrapperByVal_8___,0x180207c8b,Microsoft.Edge.WebApp,{C3DF6B35-71A7-4E52-9F58-8E710B055D76},WinrtError,5,0x400000000000,"error_code:Int32, winrt_api:AnsiString, description:AnsiString, PartA_PrivTags:UInt64",Direct-Preceding
_anonymous_namespace_::createTicket,0x182a87ca2,Microsoft.Windows.WebDefense.WpTraceLogging,{3B729058-5B83-4E43-9C9A-554BD22BA2CC},OnlineAuthCreateTicket,4,0x0,(none),Direct-Preceding
?ToTraceLoggingTelemetry@NetworkConsumptionEvent@telemetry@wp@@UEBAXW4TraceloggingProviderId_t@23@V?$basic_string_view@DU?$char_traits@D@__Cr@std@@@__Cr@std@@1@Z,0x18d06ad94,Microsoft.Windows.Webdefense.SmartScreen,{BE2D135F-1C5A-5D51-DC4D-CACB014C72A9},Microsoft_WebBrowser_SmartScreen_Network,5,0x400000000000,"PartA_PrivTags:UInt64, client_version:AnsiString, product_guid:AnsiString, service_uri:AnsiString, request_bytes:UInt64, response_bytes:UInt64, period_ms:UInt64",Direct-Preceding
?ToTraceLoggingTelemetry@WebClientEvent@telemetry@wp@@UEBAXW4TraceloggingProviderId_t@23@V?$basic_string_view@DU?$char_traits@D@__Cr@std@@@__Cr@std@@1@Z,0x18d06abe4,Microsoft.Windows.Webdefense.SmartScreen,{BE2D135F-1C5A-5D51-DC4D-CACB014C72A9},WebClientDurationEvent,5,0x400000000000,"PartA_PrivTags:UInt64, ClientVersion:AnsiString, ProductGuid:AnsiString, ServiceUri:AnsiString, Count:UInt64, DurationMs:UInt64, PeriodMs:UInt64",Direct-Preceding
_tlgWriteTemplate_long_(const__tlgProvider_t____const_void____const__GUID____const__GUID____unsigned_int___EVENT_DATA_DESCRIPTOR__)_&_tlgWriteTransfer_EventWriteTransfer_const__GUID___const__GUID___::Write__tlgWrapperByVal_8___tlgWrapSz_char___tlgWrapSz_char___tlgWrapperPtrSize__tlgWrapperPtrSize__tlgWrapperPtrSize__tlgWrapperPtrSize__tlgWrapperPtrSize__tlgWrapperPtrSize__tlgWrapperPtrSize__tlgWrapperPtrSize__tlgWrapperByVal_8___,0x180216d3f,Unknown,Unknown,ApprepDurationAggregateEvent,5,0x400000000000,"PartA_PrivTags:UInt64, ClientVersion:AnsiString, ProductGuid:AnsiString, TotalCount:UInt32[N], TotalMs:UInt64[N], RequestQueuedCount:UInt32[N], RequestQueuedMs:UInt64[N], ServiceLookupCount:UInt32[N], ServiceLookupMs:UInt64[N], HashingCount:UInt32[N], HashingMs:UInt64[N], PeriodMs:UInt64",Unresolved
_tlgWriteTemplate_long_(const__tlgProvider_t____const_void____const__GUID____const__GUID____unsigned_int___EVENT_DATA_DESCRIPTOR__)_&_tlgWriteTransfer_EventWriteTransfer_const__GUID___const__GUID___::Write__tlgWrapperByVal_8___tlgWrapSz_char___tlgWrapSz_char___tlgWrapperPtrSize__tlgWrapperPtrSize__tlgWrapperPtrSize__tlgWrapperPtrSize__tlgWrapperPtrSize__tlgWrapperPtrSize__tlgWrapperPtrSize__tlgWrapperPtrSize__tlgWrapperByVal_8___tlgWrapperByVal_8___,0x180216fb5,Unknown,Unknown,AsyncDurationAggregateEvent,5,0x400000000000,"PartA_PrivTags:UInt64, ClientVersion:AnsiString, ProductGuid:AnsiString, TimeoutCount:UInt32[N], TimeoutMs:UInt64[N], SynchronousCount:UInt32[N], SynchronousMs:UInt64[N], EvaluateCount:UInt32[N], EvaluateMs:UInt64[N], WarnCount:UInt32[N], WarnMs:UInt64[N], NumCounts:UInt64, PeriodMs:UInt64",Unresolved
?PostEarlyInitialization@ChromeMainDelegate@@MEAA?AV?$optional@H@__Cr@std@@V?$variant@UInvokedInBrowserProcess@ContentMainDelegate@content@@UInvokedInChildProcess@23@@34@@Z,0x1802cf6f0,Unknown,Unknown,EdgeHandleAlternatePrefetchFromSingletonResult,5,0x200000000000,"prefetch_result:Int32, notify_result:Int32",Unresolved
