Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?NotifyFailure@?$ActivityBase@VNetworkIdLogging@@$00$0EAAAAAAAAAAA@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x180008565,Microsoft.Windows.Shell.NetworkId,{30A1CF02-27AA-4EF7-B34C-59C36EABA123},ActivityError,2,0x600000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",SingleProvider
?NotifyFailure@?$ActivityBase@VNetworkIdLogging@@$00$0EAAAAAAAAAAA@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x1800086ad,Microsoft.Windows.Shell.NetworkId,{30A1CF02-27AA-4EF7-B34C-59C36EABA123},ActivityError,2,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",SingleProvider
?Stop@?$ActivityBase@VNetworkIdLogging@@$00$0EAAAAAAAAAAA@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x180009ffe,Microsoft.Windows.Shell.NetworkId,{30A1CF02-27AA-4EF7-B34C-59C36EABA123},ActivityIntermediateStop,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",SingleProvider
??$_tlgWriteActivityAutoStop@$0EAAAAAAAAAAA@$04@@YAXPEBU_tlgProvider_t@@PEBU_GUID@@@Z,0x18000640f,Microsoft.Windows.Shell.NetworkId,{30A1CF02-27AA-4EF7-B34C-59C36EABA123},ActivityStoppedAutomatically,5,0x400000000000,(none),SingleProvider
?StartActivity@ChangeComputerDescription@NetworkIdTelemetry@@QEAAXXZ,0x180009ce8,Microsoft.Windows.Shell.NetworkId,{30A1CF02-27AA-4EF7-B34C-59C36EABA123},ChangeComputerDescription,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",SingleProvider
?StopActivity@ChangeComputerDescription@NetworkIdTelemetry@@MEAAXXZ,0x18000a0d2,Microsoft.Windows.Shell.NetworkId,{30A1CF02-27AA-4EF7-B34C-59C36EABA123},ChangeComputerDescription,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",SingleProvider
?StopActivity@ChangeComputerDescription@NetworkIdTelemetry@@MEAAXXZ,0x18000a237,Microsoft.Windows.Shell.NetworkId,{30A1CF02-27AA-4EF7-B34C-59C36EABA123},ChangeComputerDescription,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",SingleProvider
?StartActivity@ChangeComputerName@NetworkIdTelemetry@@QEAAXXZ,0x18000f82c,Microsoft.Windows.Shell.NetworkId,{30A1CF02-27AA-4EF7-B34C-59C36EABA123},ChangeComputerName,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",SingleProvider
?StopActivity@ChangeComputerName@NetworkIdTelemetry@@MEAAXXZ,0x18000fac2,Microsoft.Windows.Shell.NetworkId,{30A1CF02-27AA-4EF7-B34C-59C36EABA123},ChangeComputerName,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",SingleProvider
?StopActivity@ChangeComputerName@NetworkIdTelemetry@@MEAAXXZ,0x18000fc27,Microsoft.Windows.Shell.NetworkId,{30A1CF02-27AA-4EF7-B34C-59C36EABA123},ChangeComputerName,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",SingleProvider
