Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?NotifyFailure@?$ActivityBase@VNgcLocalTraceProvider@@$00$0EAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x180008e31,Microsoft.Windows.Security.NGC.Local,{3B9DBF69-E9F0-5389-D054-A94BC30E33F7},ActivityError,2,0x600000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",SingleProvider
?NotifyFailure@?$ActivityBase@VNgcLocalTraceProvider@@$00$0EAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x180008f84,Microsoft.Windows.Security.NGC.Local,{3B9DBF69-E9F0-5389-D054-A94BC30E33F7},ActivityError,2,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",SingleProvider
?NotifyFailure@?$ActivityBase@VNgcLocalTraceProvider@@$0A@$0A@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x180009291,Microsoft.Windows.Security.NGC.Local,{3B9DBF69-E9F0-5389-D054-A94BC30E33F7},ActivityError,2,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",SingleProvider
?Stop@?$ActivityBase@VNgcLocalTraceProvider@@$00$0EAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x180009d6e,Microsoft.Windows.Security.NGC.Local,{3B9DBF69-E9F0-5389-D054-A94BC30E33F7},ActivityIntermediateStop,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",SingleProvider
?Stop@?$ActivityBase@VNgcLocalTraceProvider@@$0A@$0A@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x180009e92,Microsoft.Windows.Security.NGC.Local,{3B9DBF69-E9F0-5389-D054-A94BC30E33F7},ActivityIntermediateStop,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",SingleProvider
??$_tlgWriteActivityAutoStop@$0A@$04@@YAXPEBU_tlgProvider_t@@PEBU_GUID@@@Z,0x180007609,Microsoft.Windows.Security.NGC.Local,{3B9DBF69-E9F0-5389-D054-A94BC30E33F7},ActivityStoppedAutomatically,5,0x0,(none),SingleProvider
??$_tlgWriteActivityAutoStop@$0EAAAAAAAAAAA@$04@@YAXPEBU_tlgProvider_t@@PEBU_GUID@@@Z,0x18000767e,Microsoft.Windows.Security.NGC.Local,{3B9DBF69-E9F0-5389-D054-A94BC30E33F7},ActivityStoppedAutomatically,5,0x400000000000,(none),SingleProvider
?StartActivity@ApiCall@NgcLocalTraceProvider@@QEAAXXZ,0x180009884,Microsoft.Windows.Security.NGC.Local,{3B9DBF69-E9F0-5389-D054-A94BC30E33F7},ApiCall,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",SingleProvider
?StopActivity@ApiCall@NgcLocalTraceProvider@@MEAAXXZ,0x180009fc3,Microsoft.Windows.Security.NGC.Local,{3B9DBF69-E9F0-5389-D054-A94BC30E33F7},ApiCall,5,0x0,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",SingleProvider
?StopActivity@ApiCall@NgcLocalTraceProvider@@MEAAXXZ,0x18000a172,Microsoft.Windows.Security.NGC.Local,{3B9DBF69-E9F0-5389-D054-A94BC30E33F7},ApiCall,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",SingleProvider
I_c_NgcLocalAccountVaultAddCredential,0x18000b748,Microsoft.Windows.Security.NGC.Local,{3B9DBF69-E9F0-5389-D054-A94BC30E33F7},ClientRpcRecoverableError,4,0x0,retVal:Int32,SingleProvider
I_c_NgcLocalAccountVaultFindCredential,0x18000b93f,Microsoft.Windows.Security.NGC.Local,{3B9DBF69-E9F0-5389-D054-A94BC30E33F7},ClientRpcRecoverableError,4,0x0,retVal:Int32,SingleProvider
I_c_NgcLocalAccountVaultRemoveCredential,0x18000bb21,Microsoft.Windows.Security.NGC.Local,{3B9DBF69-E9F0-5389-D054-A94BC30E33F7},ClientRpcRecoverableError,4,0x0,retVal:Int32,SingleProvider
?ReportTelemetryFailure@TraceLoggingProvider@wil@@IEAAXAEBUFailureInfo@2@@Z,0x1800094e3,Microsoft.Windows.Security.NGC.Local,{3B9DBF69-E9F0-5389-D054-A94BC30E33F7},FallbackError,2,0x200000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilResult:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",SingleProvider
?ReportTraceLoggingFailure@TraceLoggingProvider@wil@@IEAAXAEBUFailureInfo@2@@Z,0x180009636,Microsoft.Windows.Security.NGC.Local,{3B9DBF69-E9F0-5389-D054-A94BC30E33F7},FallbackError,2,0x0,"PartA_PrivTags:UInt64, wilResult:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",SingleProvider
HResultErrorContract__lambda_27dbb7f75d2e4ee7f6d475c5d9372966___,0x180007075,Microsoft.Windows.Security.NGC.Local,{3B9DBF69-E9F0-5389-D054-A94BC30E33F7},FunctionName,5,0x0,name:UnicodeString,SingleProvider
HResultErrorContract__lambda_f33233ac8fdb0bfe4a9531e292417a61___,0x1800072ce,Microsoft.Windows.Security.NGC.Local,{3B9DBF69-E9F0-5389-D054-A94BC30E33F7},FunctionName,5,0x0,name:UnicodeString,SingleProvider
_lambda_7382af783ba64fbff764fbc8b25cc801_::operator(),0x180007d7b,Microsoft.Windows.Security.NGC.Local,{3B9DBF69-E9F0-5389-D054-A94BC30E33F7},FunctionName,5,0x0,name:UnicodeString,SingleProvider
_lambda_983aa4981b62f0bdc5602e724721fcc5_::operator(),0x180007fc9,Microsoft.Windows.Security.NGC.Local,{3B9DBF69-E9F0-5389-D054-A94BC30E33F7},FunctionName,5,0x0,name:UnicodeString,SingleProvider
_lambda_a85729a8e14309dd5930e4b4b602c38a_::operator(),0x1800081e7,Microsoft.Windows.Security.NGC.Local,{3B9DBF69-E9F0-5389-D054-A94BC30E33F7},FunctionName,5,0x0,name:UnicodeString,SingleProvider
?StartActivity@NgcLocalAddCredentialMeasure@NgcLocalTraceProvider@@QEAAXXZ,0x180009a00,Microsoft.Windows.Security.NGC.Local,{3B9DBF69-E9F0-5389-D054-A94BC30E33F7},NgcLocalAddCredentialMeasure,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",SingleProvider
?StopActivity@NgcLocalAddCredentialMeasure@NgcLocalTraceProvider@@MEAAXXZ,0x18000a2d3,Microsoft.Windows.Security.NGC.Local,{3B9DBF69-E9F0-5389-D054-A94BC30E33F7},NgcLocalAddCredentialMeasure,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",SingleProvider
?StopActivity@NgcLocalAddCredentialMeasure@NgcLocalTraceProvider@@MEAAXXZ,0x18000a460,Microsoft.Windows.Security.NGC.Local,{3B9DBF69-E9F0-5389-D054-A94BC30E33F7},NgcLocalAddCredentialMeasure,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",SingleProvider
?StartActivity@NgcLocalAddCredentialSilentMeasure@NgcLocalTraceProvider@@QEAAXXZ,0x180009b18,Microsoft.Windows.Security.NGC.Local,{3B9DBF69-E9F0-5389-D054-A94BC30E33F7},NgcLocalAddCredentialSilentMeasure,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",SingleProvider
?StopActivity@NgcLocalAddCredentialSilentMeasure@NgcLocalTraceProvider@@MEAAXXZ,0x18000a563,Microsoft.Windows.Security.NGC.Local,{3B9DBF69-E9F0-5389-D054-A94BC30E33F7},NgcLocalAddCredentialSilentMeasure,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",SingleProvider
?StopActivity@NgcLocalAddCredentialSilentMeasure@NgcLocalTraceProvider@@MEAAXXZ,0x18000a6f0,Microsoft.Windows.Security.NGC.Local,{3B9DBF69-E9F0-5389-D054-A94BC30E33F7},NgcLocalAddCredentialSilentMeasure,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",SingleProvider
?StartActivity@NgcLocalRemoveCredentialMeasure@NgcLocalTraceProvider@@QEAAXXZ,0x180009c30,Microsoft.Windows.Security.NGC.Local,{3B9DBF69-E9F0-5389-D054-A94BC30E33F7},NgcLocalRemoveCredentialMeasure,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",SingleProvider
?StopActivity@NgcLocalRemoveCredentialMeasure@NgcLocalTraceProvider@@MEAAXXZ,0x18000a7f3,Microsoft.Windows.Security.NGC.Local,{3B9DBF69-E9F0-5389-D054-A94BC30E33F7},NgcLocalRemoveCredentialMeasure,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",SingleProvider
?StopActivity@NgcLocalRemoveCredentialMeasure@NgcLocalTraceProvider@@MEAAXXZ,0x18000a980,Microsoft.Windows.Security.NGC.Local,{3B9DBF69-E9F0-5389-D054-A94BC30E33F7},NgcLocalRemoveCredentialMeasure,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",SingleProvider
?I_NgcLocalAccountVaultAddCredential@@YAJPEBGPEBEK@Z,0x18000b1b6,Microsoft.Windows.Security.NGC.Local,{3B9DBF69-E9F0-5389-D054-A94BC30E33F7},NgcUtils::RpcClient::Bind,2,0x0,retVal:Int32,SingleProvider
?I_NgcLocalAccountVaultFindCredential@@YAJPEBGPEAH@Z,0x18000b38c,Microsoft.Windows.Security.NGC.Local,{3B9DBF69-E9F0-5389-D054-A94BC30E33F7},NgcUtils::RpcClient::Bind,2,0x0,retVal:Int32,SingleProvider
?I_NgcLocalAccountVaultRemoveCredential@@YAJPEBG@Z,0x18000b55b,Microsoft.Windows.Security.NGC.Local,{3B9DBF69-E9F0-5389-D054-A94BC30E33F7},NgcUtils::RpcClient::Bind,2,0x0,retVal:Int32,SingleProvider
?BindInternalNoLocking@RpcClient@NgcUtils@@AEAAJXZ,0x18000c61e,Microsoft.Windows.Security.NGC.Local,{3B9DBF69-E9F0-5389-D054-A94BC30E33F7},NoNewBindAttemptsOnUnrecoverableError,2,0x0,retVal:Int32,SingleProvider
?BindInternalNoLocking@RpcClient@NgcUtils@@AEAAJXZ,0x18000c5e5,Microsoft.Windows.Security.NGC.Local,{3B9DBF69-E9F0-5389-D054-A94BC30E33F7},RpcClientAlreadyBound,3,0x0,(none),SingleProvider
?BindInternalNoLocking@RpcClient@NgcUtils@@AEAAJXZ,0x18000c80a,Microsoft.Windows.Security.NGC.Local,{3B9DBF69-E9F0-5389-D054-A94BC30E33F7},RpcClientBindError,2,0x200000000000,retVal:Int64,SingleProvider
??0RpcClient@NgcUtils@@QEAA@KKKKAEBV?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@PEBU_SID@@QEAX@Z,0x18000c129,Microsoft.Windows.Security.NGC.Local,{3B9DBF69-E9F0-5389-D054-A94BC30E33F7},RpcClientCannotCopyServerSid,2,0x0,retVal:UInt32,SingleProvider
