Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?ResultLoggingCallback@@YAXAEBUFailureInfo@wil@@@Z,0x180006570,Microsoft.Windows.NetworkProfileService,{ED795972-60E8-4815-8634-CFAA21A89DE7},Failure,2,0x0,"hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",Direct-Preceding
_NSPLookupServiceBegin_::_95_::_lambda_1_::operator(),0x18000ae6e,Microsoft.Windows.NetworkProfileService,{ED795972-60E8-4815-8634-CFAA21A89DE7},NSP-WNF fired,5,0x0,(none),Direct-Preceding
GetLatestNetworks,0x18000bbfd,Microsoft.Windows.NetworkProfileService,{ED795972-60E8-4815-8634-CFAA21A89DE7},NSP::GetLatestNetworks,5,0x0,(none),Direct-Preceding
GetLatestNetworks,0x18000bd82,Microsoft.Windows.NetworkProfileService,{ED795972-60E8-4815-8634-CFAA21A89DE7},NSP::GetLatestNetworks,5,0x0,newData.name.value().c_str():UnicodeString,Direct-Preceding
GetLatestNetworks,0x18000beea,Microsoft.Windows.NetworkProfileService,{ED795972-60E8-4815-8634-CFAA21A89DE7},NSP::GetLatestNetworks,5,0x0,interfaceData.adapterName.c_str():AnsiString,Direct-Preceding
GetLatestNetworks,0x18000bf42,Microsoft.Windows.NetworkProfileService,{ED795972-60E8-4815-8634-CFAA21A89DE7},NSP::GetLatestNetworks,5,0x0,interfaceData.interfaceType:UInt32,Direct-Preceding
GetLatestNetworks,0x18000bd20,Microsoft.Windows.NetworkProfileService,{ED795972-60E8-4815-8634-CFAA21A89DE7},NSP::GetLatestNetworks - new network,5,0x0,(none),Direct-Preceding
NotifyClient,0x18000fb2d,Microsoft.Windows.NetworkProfileService,{ED795972-60E8-4815-8634-CFAA21A89DE7},NSP::NotifyClient,5,0x0,query.clientAlreadyNotified:UInt8(Boolean),Direct-Preceding
NotifyClient,0x18000fbba,Microsoft.Windows.NetworkProfileService,{ED795972-60E8-4815-8634-CFAA21A89DE7},NSP::NotifyClient,5,0x0,notificationType:UInt32,Direct-Preceding
?UpdateUserNamesAsync@@YAXPEAU_TP_CALLBACK_INSTANCE@@PEAXPEAU_TP_WAIT@@J@Z,0x18000febd,Microsoft.Windows.NetworkProfileService,{ED795972-60E8-4815-8634-CFAA21A89DE7},NSP::UpdateUserNamesAsync,5,0x0,(none),Direct-Preceding
UpdateUserNamesForQuery,0x1800100c9,Microsoft.Windows.NetworkProfileService,{ED795972-60E8-4815-8634-CFAA21A89DE7},NSP::UpdateUserNamesForQuery,5,0x0,(none),Direct-Preceding
?NSPLookupServiceNext@@YAHPEAXKPEAKPEAU_WSAQuerySetW@@@Z,0x18000e914,Microsoft.Windows.NetworkProfileService,{ED795972-60E8-4815-8634-CFAA21A89DE7},NSPLookupServiceNext,5,0x0,networkName:UnicodeString,Direct-Preceding
?NSPLookupServiceNext@@YAHPEAXKPEAKPEAU_WSAQuerySetW@@@Z,0x18000effd,Microsoft.Windows.NetworkProfileService,{ED795972-60E8-4815-8634-CFAA21A89DE7},NSPLookupServiceNext - alignedCommentSize >0,5,0x0,networkComment:UnicodeString,Direct-Preceding
