Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?Error_@ComTrace@@QEAAXJPEBGAEBUDiagnosticsInfo@wil@@@Z,0x18004c748,CombaseTraceLoggingProvider,{1AFF6089-E863-4D36-BDFD-3581F07440BE},ComError,2,0x0,"hresult:Int32(HResult), code:AnsiString, message:UnicodeString, function:AnsiString, fileName:AnsiString, lineNumber:UInt16",CallGraph-d2
?Failure_@ComTrace@@QEAAXAEBUFailureInfo@wil@@@Z,0x18002f130,CombaseTraceLoggingProvider,{1AFF6089-E863-4D36-BDFD-3581F07440BE},ComError,2,0x0,"hresult:Int32(HResult), code:AnsiString, message:UnicodeString, function:AnsiString, fileName:AnsiString, lineNumber:UInt32",CallGraph-d2
?NoisyError_@ComTrace@@QEAAXJPEBGAEBUDiagnosticsInfo@wil@@@Z,0x18004c9e0,CombaseTraceLoggingProvider,{1AFF6089-E863-4D36-BDFD-3581F07440BE},ComError,101,0x0,"hresult:Int32(HResult), code:AnsiString, message:UnicodeString, function:AnsiString, fileName:AnsiString, lineNumber:UInt16",CallGraph-d2
?NoisyFailure_@ComTrace@@QEAAXAEBUFailureInfo@wil@@@Z,0x18004c315,CombaseTraceLoggingProvider,{1AFF6089-E863-4D36-BDFD-3581F07440BE},ComError,101,0x0,"hresult:Int32(HResult), code:AnsiString, message:UnicodeString, function:AnsiString, fileName:AnsiString, lineNumber:UInt32",CallGraph-d2
?Warning_@ComTrace@@QEAAXJPEBGAEBUDiagnosticsInfo@wil@@@Z,0x18004ceb4,CombaseTraceLoggingProvider,{1AFF6089-E863-4D36-BDFD-3581F07440BE},ComError,3,0x0,"hresult:Int32(HResult), code:AnsiString, message:UnicodeString, function:AnsiString, fileName:AnsiString, lineNumber:UInt16",CallGraph-d2
??R_lambda_5606121ef3edaafef306dff3b7d3ca75_@@QEBA@XZ,0x1800c6335,CombaseTraceLoggingProvider,{1AFF6089-E863-4D36-BDFD-3581F07440BE},LogTokenInfo,3,0x0,"Token:HexInt64, Authentication Id low part:UInt32, Authentication Id high part:UInt32",CallGraph-d2
??R_lambda_5606121ef3edaafef306dff3b7d3ca75_@@QEBA@XZ,0x1800c6382,CombaseTraceLoggingProvider,{1AFF6089-E863-4D36-BDFD-3581F07440BE},LogTokenInfo,3,0x0,"Token:HexInt64, Group Count:UInt32",CallGraph-d2
??R_lambda_5606121ef3edaafef306dff3b7d3ca75_@@QEBA@XZ,0x1800c641d,CombaseTraceLoggingProvider,{1AFF6089-E863-4D36-BDFD-3581F07440BE},LogTokenInfo,3,0x0,"Token:HexInt64, Sid:UnicodeString, Attributes:UInt32",CallGraph-d2
??R_lambda_5606121ef3edaafef306dff3b7d3ca75_@@QEBA@XZ,0x1800c647d,CombaseTraceLoggingProvider,{1AFF6089-E863-4D36-BDFD-3581F07440BE},LogTokenInfo,3,0x0,"Token:HexInt64, Restricted Group Count:UInt32",CallGraph-d2
??R_lambda_5606121ef3edaafef306dff3b7d3ca75_@@QEBA@XZ,0x1800c651a,CombaseTraceLoggingProvider,{1AFF6089-E863-4D36-BDFD-3581F07440BE},LogTokenInfo,3,0x0,"Token:HexInt64, Sid:UnicodeString, Attributes:UInt32",CallGraph-d2
