Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?LogAADTokenFailureProcessCreateTrigger@COmaDmLogger@@QEAAXJ@Z,0x14000eba2,Microsoft.Windows.DeviceManagement.OmaDmClient,{0EC685CD-64E4-4375-92AD-4086B6AF5F1D},AADTokenFailureCreateProcessTriggered,5,0x400000000000,"PartA_PrivTags:UInt64, CreateProcessHresult:Int32(HResult), __TlgCV__:AnsiString",Direct-Preceding
?LogClientAlertInformation@COmaDmLogger@@QEAAXKPEBG@Z,0x14000ec28,Microsoft.Windows.DeviceManagement.OmaDmClient,{0EC685CD-64E4-4375-92AD-4086B6AF5F1D},ClientAlertInformation,5,0x400000000000,"PartA_PrivTags:UInt64, ClientAlertEventType:HexInt32, ClientAlertAlertType:UnicodeString, __TlgCV__:AnsiString",Direct-Preceding
?LogClientCertificateMissing@COmaDmLogger@@QEAAXHHPEBG@Z,0x14000ed65,Microsoft.Windows.DeviceManagement.OmaDmClient,{0EC685CD-64E4-4375-92AD-4086B6AF5F1D},ClientCertificateMissing,5,0x400000000000,"PartA_PrivTags:UInt64, ClientCertSearchCriteriaConfigured:UInt32, ImpersonateRequired:UInt32, TargetUserSid:UnicodeString, __TlgCV__:AnsiString",Direct-Preceding
?LogClientCertificateReferenceUnauthorized@COmaDmLogger@@QEAAXU_FILETIME@@0HPEBG@Z,0x14000eed9,Microsoft.Windows.DeviceManagement.OmaDmClient,{0EC685CD-64E4-4375-92AD-4086B6AF5F1D},ClientCertificateReferenceUnauthorized,5,0x400000000000,"PartA_PrivTags:UInt64, ClientCertInfoNotBefore:FileTime, ClientCertInfoNotAfter:FileTime, ImpersonateRequired:UInt8(Boolean), TargetUserSid:UnicodeString, __TlgCV__:AnsiString",Direct-Preceding
?LogOmaDmContainerFunctionResult@COmaDmLogger@@QEAAXPEBGJK@Z,0x14000efb4,Microsoft.Windows.DeviceManagement.OmaDmClient,{0EC685CD-64E4-4375-92AD-4086B6AF5F1D},ContainerFunctionResult,5,0x400000000000,"FunctionName:UnicodeString, Hresult:HexInt32, Duration:UInt32, __TlgCV__:AnsiString, PartA_PrivTags:UInt64",Direct-Preceding
?LogOmaDmContainerWarningNoSessionId@COmaDmLogger@@QEAAXK@Z,0x14000f091,Microsoft.Windows.DeviceManagement.OmaDmClient,{0EC685CD-64E4-4375-92AD-4086B6AF5F1D},ContainerWarningNotSessionId,5,0x400000000000,"EnrollmentType:UInt32, __TlgCV__:AnsiString, PartA_PrivTags:UInt64",Direct-Preceding
?LogFunctionEntryMeasure@TelemetryLogger@Windows@Microsoft@@QEAAXW4TracingLevel@23@PEBDPEBGZZ,0x140013d1e,Microsoft.Windows.DeviceManagement.OmaDmClient,{0EC685CD-64E4-4375-92AD-4086B6AF5F1D},FunctionEntry,5,0x0,"__TlgCV__:AnsiString, FunctionName:AnsiString, EventData:UnicodeString",Direct-Nearest
?LogFunctionEntryMeasure@TelemetryLogger@Windows@Microsoft@@QEAAXW4TracingLevel@23@PEBDPEBGZZ,0x140013d53,Microsoft.Windows.DeviceManagement.OmaDmClient,{0EC685CD-64E4-4375-92AD-4086B6AF5F1D},FunctionEntry,5,0x0,"__TlgCV__:AnsiString, FunctionName:AnsiString, EventData:UnicodeString",Direct-Nearest
?LogFunctionExitMeasure@TelemetryLogger@Windows@Microsoft@@QEAAXW4TracingLevel@23@PEBDJKPEBGZZ,0x140013f4e,Microsoft.Windows.DeviceManagement.OmaDmClient,{0EC685CD-64E4-4375-92AD-4086B6AF5F1D},FunctionExit,5,0x400000000000,"__TlgCV__:AnsiString, FunctionName:AnsiString, Hresult:Int32(HResult), Tag:Int32, EventData:UnicodeString",Direct-Nearest
?LogFunctionExitMeasure@TelemetryLogger@Windows@Microsoft@@QEAAXW4TracingLevel@23@PEBDJKPEBGZZ,0x140013fa7,Microsoft.Windows.DeviceManagement.OmaDmClient,{0EC685CD-64E4-4375-92AD-4086B6AF5F1D},FunctionExit,5,0x0,"__TlgCV__:AnsiString, FunctionName:AnsiString, Hresult:Int32(HResult), Tag:Int32, EventData:UnicodeString",Direct-Nearest
?LogMeasure@TelemetryLogger@Windows@Microsoft@@QEAAXW4TracingLevel@23@KPEBGZZ,0x140014195,Microsoft.Windows.DeviceManagement.OmaDmClient,{0EC685CD-64E4-4375-92AD-4086B6AF5F1D},GenericLogEvent,5,0x400000000000,"__TlgCV__:AnsiString, Tag:Int32, EventData:UnicodeString",CallGraph-d1
?LogMeasure@TelemetryLogger@Windows@Microsoft@@QEAAXW4TracingLevel@23@KPEBGZZ,0x1400141ca,Microsoft.Windows.DeviceManagement.OmaDmClient,{0EC685CD-64E4-4375-92AD-4086B6AF5F1D},GenericLogEvent,5,0x0,"__TlgCV__:AnsiString, Tag:Int32, EventData:UnicodeString",CallGraph-d1
