Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?HandleStates@CMVEngine@@UEAAJPEAW4__MIDL___MIDL_itf_mvengine_0000_0000_0001@@JK@Z,0x1800145ec,Microsoft.Windows.Provisioning.Engine,{A6A847B7-4429-49AA-BBA6-2AD8C191AC8C},AbortingProvisioningDueToHandlerRequest,3,0x0,(none),SingleProvider
?HandleStatesForPackages@CMVEngine@@UEAAJPEAW4__MIDL___MIDL_itf_mvengine_0000_0000_0001@@JPEAPEBGJ@Z,0x180014c39,Microsoft.Windows.Provisioning.Engine,{A6A847B7-4429-49AA-BBA6-2AD8C191AC8C},AbortingProvisioningDueToHandlerRequest,3,0x0,(none),SingleProvider
??$_tlgWriteActivityAutoStop@$0A@$03@@YAXPEBU_tlgProvider_t@@PEBU_GUID@@@Z,0x18000f16d,Microsoft.Windows.Provisioning.Engine,{A6A847B7-4429-49AA-BBA6-2AD8C191AC8C},ActivityStoppedAutomatically,4,0x0,(none),SingleProvider
??$_tlgWriteActivityAutoStop@$0A@$04@@YAXPEBU_tlgProvider_t@@PEBU_GUID@@@Z,0x18000f1c5,Microsoft.Windows.Provisioning.Engine,{A6A847B7-4429-49AA-BBA6-2AD8C191AC8C},ActivityStoppedAutomatically,5,0x0,(none),SingleProvider
?ApplyMVProvisionData@CMVEngine@@AEAAJAEAV?$unique_struct@U?$co_array_t@U_MVProvisionData@@@@P6AXPEAU1@@_E$1?FreeProvisionDataArray@@YAX0@Z$$T$0A@@wil@@@Z,0x1800127d2,Microsoft.Windows.Provisioning.Engine,{A6A847B7-4429-49AA-BBA6-2AD8C191AC8C},ApplyMVProvisionData,4,0x0,"ProvxmlID:UnicodeString, SequenceLevel:UInt32, PackageName:UnicodeString, PackageId:UnicodeString, PackageVer:UnicodeString, PackageNotes:UnicodeString",SingleProvider
??1AutoDeleteFileStream@@UEAA@XZ,0x180044003,Microsoft.Windows.Provisioning.Engine,{A6A847B7-4429-49AA-BBA6-2AD8C191AC8C},AutoDeleteFileStreamFailed,2,0x0,Path:UnicodeString,SingleProvider
?ValidateResumeSession@ProvSession@@AEAAJPEAUHKEY__@@PEBG@Z,0x18000af68,Microsoft.Windows.Provisioning.Engine,{A6A847B7-4429-49AA-BBA6-2AD8C191AC8C},CannotResumeSession_InvalidSessionStateInRegistry,3,0x0,"SessionId:UnicodeString, SessionState:UInt32, Error:Int32",SingleProvider
?HasProvisionDataChanged@@YA_NPEAUPackageContext@@PEAU_MVProvisionData@@PEBG@Z,0x180036313,Microsoft.Windows.Provisioning.Engine,{A6A847B7-4429-49AA-BBA6-2AD8C191AC8C},CannotRetriveCache,5,0x0,(none),SingleProvider
?InitializeMasterDataStore@CMVEngine@@AEAAJPEBUIProvSource@@@Z,0x1800170d6,Microsoft.Windows.Provisioning.Engine,{A6A847B7-4429-49AA-BBA6-2AD8C191AC8C},CoCreateInstanceMasterDataStoreFailed,2,0x0,HResult:Int32,SingleProvider
?RebootIfRequested@CMVEngine@@UEAAJXZ,0x18001c0f7,Microsoft.Windows.Provisioning.Engine,{A6A847B7-4429-49AA-BBA6-2AD8C191AC8C},ConfiguredBootTask,4,0x0,(none),SingleProvider
