Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
??$_tlgWriteActivityAutoStop@$0A@$03@@YAXPEBU_tlgProvider_t@@PEBU_GUID@@@Z,0x180004189,Microsoft.Windows.Provisioning.Handlers,{0383D92C-2337-4F25-A0B5-A51767F04746},ActivityStoppedAutomatically,4,0x0,(none),GlobalFallback
??$_tlgWriteActivityAutoStop@$0EAAAAAAAAAAA@$03@@YAXPEBU_tlgProvider_t@@PEBU_GUID@@@Z,0x1800373b2,Microsoft.Windows.Provisioning.Handlers,{0383D92C-2337-4F25-A0B5-A51767F04746},ActivityStoppedAutomatically,4,0x400000000000,(none),GlobalFallback
?AddLogonTriggerToCellularTask@CUiccHandler2@@KAXXZ,0x18002fdfb,Microsoft.Windows.Provisioning.Handlers,{0383D92C-2337-4F25-A0B5-A51767F04746},AddedLogonTriggerForCellularTask,4,0x0,triggerCountBefore:Int32,Direct-Preceding
??1CMVUIStatus2@@UEAA@XZ,0x180028ba1,Microsoft.Windows.Provisioning.Handlers,{0383D92C-2337-4F25-A0B5-A51767F04746},CMVUIStatus2 m_cellular->Terminate,4,0x400000000000,HResult:Int32(HResult),Direct-Preceding
?GetMVUISelectionByIccid@CMVUIStatus2@@UEAAJPEBGPEAPEAUIMVUISelection@@@Z,0x18002a7a9,Microsoft.Windows.Provisioning.Handlers,{0383D92C-2337-4F25-A0B5-A51767F04746},CMVUIStatus2::GetMVUISelectionByIccid initiates m_cellular,4,0x400000000000,(none),Direct-Preceding
?BuildCellularStateSnapshot@WwanController@@AEAAJKPEAE@Z,0x18000adbb,Microsoft.Windows.Provisioning.Handlers,{0383D92C-2337-4F25-A0B5-A51767F04746},CellWrapperV2,5,0x0,"GID1/PNN for Line#:UInt32, lenGID1:UInt32, lenPNN:UInt32",Direct-Preceding
_LogByteArray,0x18000e360,Microsoft.Windows.Provisioning.Handlers,{0383D92C-2337-4F25-A0B5-A51767F04746},CellWrapperV2,5,0x0,"Header:AnsiString(UTF8), Bytes in BCD:AnsiString(UTF8)",Direct-Preceding
?BuildCellularStateSnapshot@WwanController@@AEAAJKPEAE@Z,0x18000b02b,Microsoft.Windows.Provisioning.Handlers,{0383D92C-2337-4F25-A0B5-A51767F04746},CellWrapperV2:Error,2,0x0,"""pModemStateHdr->numSIMSlot != sims.size()"":AnsiString, Code1:HexInt32, Code2:HexInt32, Function:AnsiString, HResult:Int32",Direct-Preceding
?BuildCellularStateSnapshot@WwanController@@AEAAJKPEAE@Z,0x18000b134,Microsoft.Windows.Provisioning.Handlers,{0383D92C-2337-4F25-A0B5-A51767F04746},CellWrapperV2:Error,2,0x0,"""cbUsed > cbCSS"":AnsiString, Code1:HexInt32, Code2:HexInt32, Function:AnsiString, HResult:Int32",Direct-Preceding
?BuildCellularStateSnapshot@WwanController@@AEAAJKPEAE@Z,0x18000b183,Microsoft.Windows.Provisioning.Handlers,{0383D92C-2337-4F25-A0B5-A51767F04746},CellWrapperV2:Error,2,0x0,"""m_lenCSSinDWORD != pCellStateHdr->meta.lenTotal"":AnsiString, Code1:HexInt32, Code2:HexInt32, Function:AnsiString, HResult:Int32",Direct-Preceding
?Deinitialize@WwanController@@AEAAJXZ,0x18000b315,Microsoft.Windows.Provisioning.Handlers,{0383D92C-2337-4F25-A0B5-A51767F04746},CellWrapperV2:Error,2,0x0,"Function:AnsiString, HResult:Int32",Direct-Preceding
?DeleteOperatorProfileSelection@CMVCellularV2@@UEAAJPEBU__MIDL___MIDL_itf_mvcellularv2_0000_0000_0004@@@Z,0x180009429,Microsoft.Windows.Provisioning.Handlers,{0383D92C-2337-4F25-A0B5-A51767F04746},CellWrapperV2:Error,2,0x0,"Function:AnsiString, HResult:Int32",Direct-Preceding
?DeleteOperatorProfileSelection@WwanController@@QEAAJPEBU__MIDL___MIDL_itf_mvcellularv2_0000_0000_0004@@@Z,0x18000b39b,Microsoft.Windows.Provisioning.Handlers,{0383D92C-2337-4F25-A0B5-A51767F04746},CellWrapperV2:Error,2,0x0,"Function:AnsiString, HResult:Int32",Direct-Preceding
?DeleteOperatorProfileSelection@WwanController@@QEAAJPEBU__MIDL___MIDL_itf_mvcellularv2_0000_0000_0004@@@Z,0x18000b41b,Microsoft.Windows.Provisioning.Handlers,{0383D92C-2337-4F25-A0B5-A51767F04746},CellWrapperV2:Error,2,0x0,"Function:AnsiString, HResult:Int32",Direct-Preceding
?DeleteOperatorProfileSelection@WwanController@@QEAAJPEBU__MIDL___MIDL_itf_mvcellularv2_0000_0000_0004@@@Z,0x18000b471,Microsoft.Windows.Provisioning.Handlers,{0383D92C-2337-4F25-A0B5-A51767F04746},CellWrapperV2:Error,2,0x0,"Code:HexInt32, Function:AnsiString, HResult:Int32",Direct-Preceding
?EnumerateInterfaces@WwanController@@AEAAJXZ,0x18000b54a,Microsoft.Windows.Provisioning.Handlers,{0383D92C-2337-4F25-A0B5-A51767F04746},CellWrapperV2:Error,2,0x0,"Function:AnsiString, HResult:Int32",Direct-Preceding
?GetDeviceCaps@WwanController@@AEAAJAEAU_WWAN_DEVICE_CAPS@@@Z,0x18000b610,Microsoft.Windows.Provisioning.Handlers,{0383D92C-2337-4F25-A0B5-A51767F04746},CellWrapperV2:Error,2,0x0,"Function:AnsiString, HResult:Int32",Direct-Preceding
?GetDeviceCaps@WwanController@@AEAAJAEAU_WWAN_DEVICE_CAPS@@@Z,0x18000b66b,Microsoft.Windows.Provisioning.Handlers,{0383D92C-2337-4F25-A0B5-A51767F04746},CellWrapperV2:Error,2,0x0,"Code:HexInt32, Function:AnsiString, HResult:Int32",Direct-Preceding
?GetDeviceCaps@WwanController@@AEAAJAEAU_WWAN_DEVICE_CAPS@@@Z,0x18000b6c8,Microsoft.Windows.Provisioning.Handlers,{0383D92C-2337-4F25-A0B5-A51767F04746},CellWrapperV2:Error,2,0x0,"""dataSize is smaller than that of of WWAN_INTERFACE_OBJECT"":AnsiString, Code1:HexInt32, Code2:HexInt32, Function:AnsiString, HResult:Int32",Direct-Preceding
?GetSeqNumLastCellStateChgWnf@WwanController@@AEAAJXZ,0x18000b8f0,Microsoft.Windows.Provisioning.Handlers,{0383D92C-2337-4F25-A0B5-A51767F04746},CellWrapperV2:Error,2,0x0,"Function:AnsiString, HResult:Int32",Direct-Preceding
?GetSeqNumLastCellStateChgWnf@WwanController@@AEAAJXZ,0x18000b94b,Microsoft.Windows.Provisioning.Handlers,{0383D92C-2337-4F25-A0B5-A51767F04746},CellWrapperV2:Error,2,0x0,"Code:HexInt32, Function:AnsiString, HResult:Int32",Direct-Preceding
?GetSeqNumLastCellStateChgWnf@WwanController@@AEAAJXZ,0x18000b9a8,Microsoft.Windows.Provisioning.Handlers,{0383D92C-2337-4F25-A0B5-A51767F04746},CellWrapperV2:Error,2,0x0,"""dataSize is smaller than that of ULONG"":AnsiString, Code1:HexInt32, Code2:HexInt32, Function:AnsiString, HResult:Int32",Direct-Preceding
?GetSubscInfo@WwanController@@AEAAJAEAUWwanExecutorInformation@1@@Z,0x18000bb14,Microsoft.Windows.Provisioning.Handlers,{0383D92C-2337-4F25-A0B5-A51767F04746},CellWrapperV2:Error,2,0x0,"Function:AnsiString, HResult:Int32",Direct-Preceding
?GetSubscInfo@WwanController@@AEAAJAEAUWwanExecutorInformation@1@@Z,0x18000bb6f,Microsoft.Windows.Provisioning.Handlers,{0383D92C-2337-4F25-A0B5-A51767F04746},CellWrapperV2:Error,2,0x0,"Code:HexInt32, Function:AnsiString, HResult:Int32",Direct-Preceding
?GetSubscInfo@WwanController@@AEAAJAEAUWwanExecutorInformation@1@@Z,0x18000bbd2,Microsoft.Windows.Provisioning.Handlers,{0383D92C-2337-4F25-A0B5-A51767F04746},CellWrapperV2:Error,2,0x0,"""dataSize is smaller than that of WWAN_SUBSCRIBER_INFORMATION"":AnsiString, Code1:HexInt32, Code2:HexInt32, Function:AnsiString, HResult:Int32",Direct-Preceding
?GetUiccAddiInfo@WwanController@@AEAAJAEAUWwanExecutorInformation@1@@Z,0x18000bd73,Microsoft.Windows.Provisioning.Handlers,{0383D92C-2337-4F25-A0B5-A51767F04746},CellWrapperV2:Error,2,0x0,"Function:AnsiString, HResult:Int32",Direct-Preceding
?GetUiccAddiInfo@WwanController@@AEAAJAEAUWwanExecutorInformation@1@@Z,0x18000bdc2,Microsoft.Windows.Provisioning.Handlers,{0383D92C-2337-4F25-A0B5-A51767F04746},CellWrapperV2:Error,2,0x0,"Code:HexInt32, Function:AnsiString, HResult:Int32",Direct-Preceding
?GetUiccAddiInfo@WwanController@@AEAAJAEAUWwanExecutorInformation@1@@Z,0x18000bfb6,Microsoft.Windows.Provisioning.Handlers,{0383D92C-2337-4F25-A0B5-A51767F04746},CellWrapperV2:Error,2,0x0,"Code:HexInt32, Function:AnsiString, HResult:Int32",Direct-Preceding
?GetUiccAddiInfo@WwanController@@AEAAJAEAUWwanExecutorInformation@1@@Z,0x18000c035,Microsoft.Windows.Provisioning.Handlers,{0383D92C-2337-4F25-A0B5-A51767F04746},CellWrapperV2:Error,2,0x0,"Code:HexInt32, Function:AnsiString, HResult:Int32",Direct-Preceding
?GetUiccBinds@WwanController@@AEAAJAEAUWwanExecutorInformation@1@@Z,0x18000c148,Microsoft.Windows.Provisioning.Handlers,{0383D92C-2337-4F25-A0B5-A51767F04746},CellWrapperV2:Error,2,0x0,"Function:AnsiString, HResult:Int32",Direct-Preceding
?GetUiccBinds@WwanController@@AEAAJAEAUWwanExecutorInformation@1@@Z,0x18000c1a3,Microsoft.Windows.Provisioning.Handlers,{0383D92C-2337-4F25-A0B5-A51767F04746},CellWrapperV2:Error,2,0x0,"Code:HexInt32, Function:AnsiString, HResult:Int32",Direct-Preceding
?GetUiccBinds@WwanController@@AEAAJAEAUWwanExecutorInformation@1@@Z,0x18000c200,Microsoft.Windows.Provisioning.Handlers,{0383D92C-2337-4F25-A0B5-A51767F04746},CellWrapperV2:Error,2,0x0,"""dataSize does not match WWAN_UICC_BINDINGS"":AnsiString, Code1:HexInt32, Code2:HexInt32, Function:AnsiString, HResult:Int32",Direct-Preceding
