Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?LogEvent@Microsoft_Basix_BasixActivityTransfer_Logger@Microsoft_Streaming_Basix@GlobalProviderList@@UEAAX_KPEBVEventFieldData@EventLogger@Instrumentation@Basix@Microsoft@@@Z,0x180231fb2,Microsoft.Streaming.Basix,{AFC8A033-E28A-415C-ACFF-030E4B113A35},BasixActivityTransfer,4,0x0,(none),Direct-Preceding
?LogEventTransfer@Microsoft_Basix_BasixActivityTransfer_Logger@Microsoft_Streaming_Basix@GlobalProviderList@@UEAAX_KPEBVEventFieldData@EventLogger@Instrumentation@Basix@Microsoft@@AEBUGuid@78@2@Z,0x18023a2dd,Microsoft.Streaming.Basix,{AFC8A033-E28A-415C-ACFF-030E4B113A35},BasixActivityTransfer,4,0x0,(none),Direct-Preceding
?LogEvent@Microsoft_Basix_TraceCritical_Logger@Microsoft_Streaming_Basix@GlobalProviderList@@UEAAX_KPEBVEventFieldData@EventLogger@Instrumentation@Basix@Microsoft@@@Z,0x18023a03a,Microsoft.Streaming.Basix,{AFC8A033-E28A-415C-ACFF-030E4B113A35},TraceCritical,1,0x0,"flag:CountedAnsiString, traceMessage:CountedAnsiString",Direct-Preceding
?LogEventTransfer@Microsoft_Basix_TraceCritical_Logger@Microsoft_Streaming_Basix@GlobalProviderList@@UEAAX_KPEBVEventFieldData@EventLogger@Instrumentation@Basix@Microsoft@@AEBUGuid@78@2@Z,0x18024274d,Microsoft.Streaming.Basix,{AFC8A033-E28A-415C-ACFF-030E4B113A35},TraceCritical,1,0x0,"flag:CountedAnsiString, traceMessage:CountedAnsiString",Direct-Preceding
?LogEvent@Microsoft_Basix_TraceDebug_Logger@Microsoft_Streaming_Basix@GlobalProviderList@@UEAAX_KPEBVEventFieldData@EventLogger@Instrumentation@Basix@Microsoft@@@Z,0x18023a0ba,Microsoft.Streaming.Basix,{AFC8A033-E28A-415C-ACFF-030E4B113A35},TraceDebug,5,0x0,"flag:CountedAnsiString, traceMessage:CountedAnsiString",Direct-Preceding
?LogEventTransfer@Microsoft_Basix_TraceDebug_Logger@Microsoft_Streaming_Basix@GlobalProviderList@@UEAAX_KPEBVEventFieldData@EventLogger@Instrumentation@Basix@Microsoft@@AEBUGuid@78@2@Z,0x1802427cd,Microsoft.Streaming.Basix,{AFC8A033-E28A-415C-ACFF-030E4B113A35},TraceDebug,5,0x0,"flag:CountedAnsiString, traceMessage:CountedAnsiString",Direct-Preceding
?LogEvent@Microsoft_Basix_TraceError_Logger@Microsoft_Streaming_Basix@GlobalProviderList@@UEAAX_KPEBVEventFieldData@EventLogger@Instrumentation@Basix@Microsoft@@@Z,0x18023a13a,Microsoft.Streaming.Basix,{AFC8A033-E28A-415C-ACFF-030E4B113A35},TraceError,2,0x0,"flag:CountedAnsiString, traceMessage:CountedAnsiString",Direct-Preceding
?LogEventTransfer@Microsoft_Basix_TraceError_Logger@Microsoft_Streaming_Basix@GlobalProviderList@@UEAAX_KPEBVEventFieldData@EventLogger@Instrumentation@Basix@Microsoft@@AEBUGuid@78@2@Z,0x18024284d,Microsoft.Streaming.Basix,{AFC8A033-E28A-415C-ACFF-030E4B113A35},TraceError,2,0x0,"flag:CountedAnsiString, traceMessage:CountedAnsiString",Direct-Preceding
?LogEvent@Microsoft_Basix_TraceNormal_Logger@Microsoft_Streaming_Basix@GlobalProviderList@@UEAAX_KPEBVEventFieldData@EventLogger@Instrumentation@Basix@Microsoft@@@Z,0x18023a1ba,Microsoft.Streaming.Basix,{AFC8A033-E28A-415C-ACFF-030E4B113A35},TraceNormal,4,0x0,"flag:CountedAnsiString, traceMessage:CountedAnsiString",Direct-Preceding
?LogEventTransfer@Microsoft_Basix_TraceNormal_Logger@Microsoft_Streaming_Basix@GlobalProviderList@@UEAAX_KPEBVEventFieldData@EventLogger@Instrumentation@Basix@Microsoft@@AEBUGuid@78@2@Z,0x1802428cd,Microsoft.Streaming.Basix,{AFC8A033-E28A-415C-ACFF-030E4B113A35},TraceNormal,4,0x0,"flag:CountedAnsiString, traceMessage:CountedAnsiString",Direct-Preceding
?LogEvent@Microsoft_Basix_TraceWarning_Logger@Microsoft_Streaming_Basix@GlobalProviderList@@UEAAX_KPEBVEventFieldData@EventLogger@Instrumentation@Basix@Microsoft@@@Z,0x18023a23a,Microsoft.Streaming.Basix,{AFC8A033-E28A-415C-ACFF-030E4B113A35},TraceWarning,3,0x0,"flag:CountedAnsiString, traceMessage:CountedAnsiString",Direct-Preceding
?LogEventTransfer@Microsoft_Basix_TraceWarning_Logger@Microsoft_Streaming_Basix@GlobalProviderList@@UEAAX_KPEBVEventFieldData@EventLogger@Instrumentation@Basix@Microsoft@@AEBUGuid@78@2@Z,0x18024294d,Microsoft.Streaming.Basix,{AFC8A033-E28A-415C-ACFF-030E4B113A35},TraceWarning,3,0x0,"flag:CountedAnsiString, traceMessage:CountedAnsiString",Direct-Preceding
?LogEvent@Microsoft_Basix_Instrumentation_BurstLoss_Logger@Microsoft_Streaming_Nano_Network@GlobalProviderList@@UEAAX_KPEBVEventFieldData@EventLogger@Instrumentation@Basix@Microsoft@@@Z,0x18023200a,Microsoft.Streaming.Nano.Network,{36C39BD1-5EB9-4785-A06E-C6D8DE073CB0},BurstLoss,3,0x0,"ControllerID:UInt32, NumPacketsLost:UInt32, NumPacketsSinceLastBurst:UInt32",Direct-Preceding
?LogEventTransfer@Microsoft_Basix_Instrumentation_BurstLoss_Logger@Microsoft_Streaming_Nano_Network@GlobalProviderList@@UEAAX_KPEBVEventFieldData@EventLogger@Instrumentation@Basix@Microsoft@@AEBUGuid@78@2@Z,0x18023a32d,Microsoft.Streaming.Nano.Network,{36C39BD1-5EB9-4785-A06E-C6D8DE073CB0},BurstLoss,3,0x0,"ControllerID:UInt32, NumPacketsLost:UInt32, NumPacketsSinceLastBurst:UInt32",Direct-Preceding
?LogEvent@Microsoft_Basix_Instrumentation_ChannelThreadQueueDequeueBuffer_Logger@Microsoft_Streaming_Nano_Network@GlobalProviderList@@UEAAX_KPEBVEventFieldData@EventLogger@Instrumentation@Basix@Microsoft@@@Z,0x18023207a,Microsoft.Streaming.Nano.Network,{36C39BD1-5EB9-4785-A06E-C6D8DE073CB0},ChannelThreadQueueDequeueBuffer,5,0x0,"connectionId:UInt16, channelId:UInt16, sequenceNo:UInt16",Direct-Preceding
?LogEventTransfer@Microsoft_Basix_Instrumentation_ChannelThreadQueueDequeueBuffer_Logger@Microsoft_Streaming_Nano_Network@GlobalProviderList@@UEAAX_KPEBVEventFieldData@EventLogger@Instrumentation@Basix@Microsoft@@AEBUGuid@78@2@Z,0x18023a3ad,Microsoft.Streaming.Nano.Network,{36C39BD1-5EB9-4785-A06E-C6D8DE073CB0},ChannelThreadQueueDequeueBuffer,5,0x0,"connectionId:UInt16, channelId:UInt16, sequenceNo:UInt16",Direct-Preceding
