Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?CheckPathUsingAllowList@RailExec@@IEAAJXZ,0x1400a1b2d,Microsoft.Windows.RemoteDesktop.RAIL.RdpShell,{39825FFA-F1B4-41B7-8221-20D4B8DBE57E},AllowListCheckFailed,2,0x0,"Path:UnicodeString, Arguments:UnicodeString, LastError:UInt32",Direct-Preceding
?CheckPathUsingAllowList@RailExec@@IEAAJXZ,0x1400a1cc7,Microsoft.Windows.RemoteDesktop.RAIL.RdpShell,{39825FFA-F1B4-41B7-8221-20D4B8DBE57E},AllowListCheckSucceeded,4,0x0,"Path:UnicodeString, Arguments:UnicodeString, TranslatedPath:UnicodeString, TranslatedArguments:UnicodeString",Direct-Preceding
?LogAppExecute@RdpShellLogger@RdpRailTelemetryTraceLogging@@SAXU_GUID@@PEBGHH@Z,0x140011e10,Microsoft.Windows.RemoteDesktop.RAIL.RdpShell,{39825FFA-F1B4-41B7-8221-20D4B8DBE57E},AppExecute,5,0x400000000000,"activityId:GUID, executableName:UnicodeString, isParameterPresent:Bool32, isDocument:Bool32",Direct-Preceding
?ApplyBufferedActions@RailWindowManager@@AEAAXAEBV?$unique_any_t@V?$unique_storage@U?$resource_policy@PEAXP6AXPEAX@_E$1?ReleaseMutex@details@wil@@YAX0@ZU?$integral_constant@_K$01@wistd@@PEAXPEAX$0A@$$T@details@wil@@@details@wil@@@wil@@@Z,0x14005d88d,Microsoft.Windows.RemoteDesktop.RAIL.RdpShell,{39825FFA-F1B4-41B7-8221-20D4B8DBE57E},ApplyBufferedActions,4,0x0,(none),Direct-Preceding
?ApplyBufferedActions@RailWindowManager@@AEAAXAEBV?$unique_any_t@V?$unique_storage@U?$resource_policy@PEAXP6AXPEAX@_E$1?ReleaseMutex@details@wil@@YAX0@ZU?$integral_constant@_K$01@wistd@@PEAXPEAX$0A@$$T@details@wil@@@details@wil@@@wil@@@Z,0x14005d998,Microsoft.Windows.RemoteDesktop.RAIL.RdpShell,{39825FFA-F1B4-41B7-8221-20D4B8DBE57E},ApplyBufferedActions,4,0x0,(none),Direct-Preceding
?ApplyWindowActionIndirect@RailWindowManager@@AEAAXPEAUHWND__@@AEBU_WINDOW_ACTION@@@Z,0x14005da06,Microsoft.Windows.RemoteDesktop.RAIL.RdpShell,{39825FFA-F1B4-41B7-8221-20D4B8DBE57E},ApplyWindowAction::ApplyAction,4,0x0,"WindowId:HexInt32, ActionKinds:HexInt32",Direct-Preceding
?ApplyWindowActionIndirect@RailWindowManager@@AEAAXPEAUHWND__@@AEBU_WINDOW_ACTION@@@Z,0x14005da7a,Microsoft.Windows.RemoteDesktop.RAIL.RdpShell,{39825FFA-F1B4-41B7-8221-20D4B8DBE57E},ApplyWindowAction::ApplyActionFailed,3,0x0,WindowId:HexInt32,Direct-Preceding
?V2_OnSettingsSyncPdu@RailProtocolHandler@@AEAAXAEBV?$span@E$0?0@utl@@@Z,0x140057fd1,Microsoft.Windows.RemoteDesktop.RAIL.RdpShell,{39825FFA-F1B4-41B7-8221-20D4B8DBE57E},AppsUseLightTheme (disabled),3,0x0,(none),Direct-Preceding
?AreAllRecalcActionsValid@RailWindowManager@@AEBA_NPEAUHWND__@@@Z,0x14005db2c,Microsoft.Windows.RemoteDesktop.RAIL.RdpShell,{39825FFA-F1B4-41B7-8221-20D4B8DBE57E},AreAllRecalcActionsValid::ReceivedDuplicateRecalcAction,3,0x0,WindowId:HexInt32,Direct-Preceding
?OnApplicationViewChanged@CAvcEvents@@UEAAJPEAUIApplicationView@@W4APPLICATION_VIEW_CHANGE@@PEAUIUnknown@@@Z,0x14003e78c,Microsoft.Windows.RemoteDesktop.RAIL.RdpShell,{39825FFA-F1B4-41B7-8221-20D4B8DBE57E},AvcShowInSwitchersDiscarded,3,0x0,Hwnd:HexInt64,Direct-Preceding
