Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?TelemetryAutoRestartPolicyStream@@YAXPEAVWdfDevNode@@W4AutoRestartPolicyStreamAction@@@Z,0x14004748f,Microsoft.Wdf.UMDF.Dm,{0BB8E5CA-316F-4B0F-9100-DEBBC6671308},DrvMgrDeviceArrival,5,0x200000000000,"PartA_PrivTags:UInt64, HostLifetimeGUID:GUID, PdoName:UnicodeString, HardwareId:UnicodeString, MatchingId:UnicodeString, DriverBinaryName:UnicodeString, InfDateAndVersion:UnicodeString, IsDebugModeEnabled:UInt8, IsMultipleDrivers:UInt8, MaxPoolErrorCount:UInt32, MaxDeviceErrorCount:UInt32, PoolType:UnicodeString, PoolConfig:Struct(Hex), CanRestartInOwnProcess:UInt8, DontPoolHwIdOverride:UInt8, DontPoolErrorTagOverride:UInt8, DontPoolSoftOverride:UInt8",Direct-Preceding
?TelemetryAutoRestartPolicyStream@@YAXPEAVWdfDevNode@@W4AutoRestartPolicyStreamAction@@@Z,0x1400475d8,Microsoft.Wdf.UMDF.Dm,{0BB8E5CA-316F-4B0F-9100-DEBBC6671308},DrvMgrDeviceFailed,5,0x200000000000,"PartA_PrivTags:UInt64, FailureAction:UInt32, HostLifetimeGUID:GUID, PdoName:UnicodeString, HardwareId:UnicodeString, MatchingId:UnicodeString, DriverBinaryName:UnicodeString, InfDateAndVersion:UnicodeString, IsDebugModeEnabled:UInt8, IsMultipleDrivers:UInt8, PoolType:UnicodeString, PoolConfig:Struct(Hex), CanRestartInOwnProcess:UInt8, DontPoolHwIdOverride:UInt8, DontPoolErrorTagOverride:UInt8, DontPoolSoftOverride:UInt8",Direct-Preceding
?TelemetryAutoRestartPolicyStream@@YAXPEAVWdfDevNode@@W4AutoRestartPolicyStreamAction@@@Z,0x14004760c,Microsoft.Wdf.UMDF.Dm,{0BB8E5CA-316F-4B0F-9100-DEBBC6671308},DrvMgrDeviceFailedInPool,5,0x200000000000,"PartA_PrivTags:UInt64, FailureAction:UInt32, HostLifetimeGUID:GUID, PdoName:UnicodeString, HardwareId:UnicodeString, MatchingId:UnicodeString, DriverBinaryName:UnicodeString, InfDateAndVersion:UnicodeString, IsDebugModeEnabled:UInt8, IsMultipleDrivers:UInt8, PoolType:UnicodeString, PoolConfig:Struct(Hex), CanRestartInOwnProcess:UInt8, DontPoolHwIdOverride:UInt8, DontPoolErrorTagOverride:UInt8, DontPoolSoftOverride:UInt8",Direct-Preceding
?Initialize@WdfDriverManager@@QEAAKPEAVDrvMgrCmdLineArguments@@@Z,0x140097a0a,Microsoft.Wdf.UMDF.Dm,{0BB8E5CA-316F-4B0F-9100-DEBBC6671308},DrvMgrStartFailure,5,0x200000000000,"PartA_PrivTags:UInt64, Win32ErrorCode:UInt32",Direct-Preceding
?ScAutoStartServices@@YAKPEAH@Z,0x1400527de,Microsoft.Windows.ServiceControlManager,{B8DDCEA7-B520-4909-BCEB-E0170C9F0E99},AutoStartPhase1Complete,5,0x400000000000,DurationInMs:UInt64,Direct-Preceding
?ScAutoStartServices@@YAKPEAH@Z,0x1400528d1,Microsoft.Windows.ServiceControlManager,{B8DDCEA7-B520-4909-BCEB-E0170C9F0E99},AutoStartPhaseComplete,5,0x200000000000,DurationInMs:UInt64,Direct-Preceding
?ScAutoStartServices@@YAKPEAH@Z,0x1400525a9,Microsoft.Windows.ServiceControlManager,{B8DDCEA7-B520-4909-BCEB-E0170C9F0E99},AutoStartPhaseStart,5,0x400000000000,(none),Direct-Preceding
?ScExtpRegisterTriggers@@YAKPEAU_SERVICE_TRIGGER_REGISTRATION@@KHPEAU_SERVICE_TRIGGER_CONTEXT@@@Z,0x140032bfe,Microsoft.Windows.ServiceControlManager,{B8DDCEA7-B520-4909-BCEB-E0170C9F0E99},DabRegisterTriggerConsumer_Failed,5,0x200000000000,"ServiceName:UnicodeString, TriggerId:UnicodeString, Status:UInt32, PartA_PrivTags:UInt64",Direct-Preceding
?Perform@CDelayStartContext@@UEAAXE@Z,0x14000d1e2,Microsoft.Windows.ServiceControlManager,{B8DDCEA7-B520-4909-BCEB-E0170C9F0E99},DelayStartPhaseComplete,5,0x200000000000,m_userContext:UInt64,Direct-Preceding
?Perform@CDelayStartContext@@UEAAXE@Z,0x14000d042,Microsoft.Windows.ServiceControlManager,{B8DDCEA7-B520-4909-BCEB-E0170C9F0E99},DelayStartPhaseStart,5,0x200000000000,(none),Direct-Preceding
