Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
??$ActiveViewChanged@H@ShutdownUX_ViewModel_Activity@ShutdownTelemetry@@QEAAX$$QEAH@Z,0x180018ccd,Microsoft-Windows-ShutdownUX,{BBC9A2C9-EEED-58D4-9483-6C87118F9EC6},ActiveViewChanged,5,0x200000000000,"activeView:Int32, PartA_PrivTags:UInt64",CallGraph-d1
?NotifyFailure@?$ActivityBase@VShutdownLogger@@$00$0CAAAAAAAAAAA@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x18000d3f1,Microsoft-Windows-ShutdownUX,{BBC9A2C9-EEED-58D4-9483-6C87118F9EC6},ActivityError,2,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
?NotifyFailure@?$ActivityBase@VShutdownLogger@@$00$0CAAAAAAAAAAA@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x18000d544,Microsoft-Windows-ShutdownUX,{BBC9A2C9-EEED-58D4-9483-6C87118F9EC6},ActivityError,2,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d1
?NotifyFailure@?$ActivityBase@VShutdownLogger@@$00$0EAAAAAAAAAAA@$04$0DAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x18001d3f1,Microsoft-Windows-ShutdownUX,{BBC9A2C9-EEED-58D4-9483-6C87118F9EC6},ActivityError,2,0x600000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
?NotifyFailure@?$ActivityBase@VShutdownLogger@@$00$0EAAAAAAAAAAA@$04$0DAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x18001d544,Microsoft-Windows-ShutdownUX,{BBC9A2C9-EEED-58D4-9483-6C87118F9EC6},ActivityError,2,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d1
?Stop@?$ActivityBase@VShutdownLogger@@$00$0CAAAAAAAAAAA@$04$0DAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x18000facc,Microsoft-Windows-ShutdownUX,{BBC9A2C9-EEED-58D4-9483-6C87118F9EC6},ActivityIntermediateStop,5,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
??$CLegacyShutdownDialog_DialogResult@AEA_J@ShutdownTelemetry@@SAXAEA_J@Z,0x180015039,Microsoft-Windows-ShutdownUX,{BBC9A2C9-EEED-58D4-9483-6C87118F9EC6},CLegacyShutdownDialog_DialogResult,5,0x200000000000,"DialogResultFlags:UInt32, PartA_PrivTags:UInt64",CallGraph-d1
?StopActivity@CLegacyShutdownDialog_ShowSETOnly_Activity@ShutdownTelemetry@@MEAAXXZ,0x180015ed2,Microsoft-Windows-ShutdownUX,{BBC9A2C9-EEED-58D4-9483-6C87118F9EC6},CLegacyShutdownDialog_ShowSETOnly_Activity,5,0x200000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
?StopActivity@CLegacyShutdownDialog_ShowSETOnly_Activity@ShutdownTelemetry@@MEAAXXZ,0x18001605e,Microsoft-Windows-ShutdownUX,{BBC9A2C9-EEED-58D4-9483-6C87118F9EC6},CLegacyShutdownDialog_ShowSETOnly_Activity,5,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
?StopActivity@CLegacyShutdownDialog_Show_Activity@ShutdownTelemetry@@MEAAXXZ,0x1800161b2,Microsoft-Windows-ShutdownUX,{BBC9A2C9-EEED-58D4-9483-6C87118F9EC6},CLegacyShutdownDialog_Show_Activity,5,0x200000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
