Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
??0SM_CLUSTER@@QEAA@XZ,0x14000399b,Microsoft.Windows.Storage.Spaceman,{0254F21F-4809-477E-AD36-C812A8C631A1},Enter function,5,0x0,"Function:AnsiString, Line:UInt32",Direct-Preceding
??0SM_WORKER@@QEAA@XZ,0x140002017,Microsoft.Windows.Storage.Spaceman,{0254F21F-4809-477E-AD36-C812A8C631A1},Enter function,5,0x0,"Function:AnsiString, Line:UInt32",Direct-Preceding
??1SM_CLUSTER@@QEAA@XZ,0x140003a3b,Microsoft.Windows.Storage.Spaceman,{0254F21F-4809-477E-AD36-C812A8C631A1},Enter function,5,0x0,"Function:AnsiString, Line:UInt32",Direct-Preceding
??1SM_WORKER@@QEAA@XZ,0x1400020c5,Microsoft.Windows.Storage.Spaceman,{0254F21F-4809-477E-AD36-C812A8C631A1},Enter function,5,0x0,"Function:AnsiString, Line:UInt32",Direct-Preceding
?Callback@SM_WORKER@@SAXPEAU_TP_CALLBACK_INSTANCE@@PEAXPEAU_TP_WORK@@@Z,0x1400022c0,Microsoft.Windows.Storage.Spaceman,{0254F21F-4809-477E-AD36-C812A8C631A1},Enter function,5,0x0,"Function:AnsiString, Line:UInt32",Direct-Preceding
?GetRegistryValue@SM_CLUSTER@@QEAAHPEBGPEAEPEAK@Z,0x140003b21,Microsoft.Windows.Storage.Spaceman,{0254F21F-4809-477E-AD36-C812A8C631A1},Enter function,5,0x0,"Function:AnsiString, Line:UInt32",Direct-Preceding
?Initialize@SM_CLUSTER@@QEAAHXZ,0x140003c42,Microsoft.Windows.Storage.Spaceman,{0254F21F-4809-477E-AD36-C812A8C631A1},Enter function,5,0x0,"Function:AnsiString, Line:UInt32",Direct-Preceding
?Initialize@SM_WORKER@@QEAAHXZ,0x140002652,Microsoft.Windows.Storage.Spaceman,{0254F21F-4809-477E-AD36-C812A8C631A1},Enter function,5,0x0,"Function:AnsiString, Line:UInt32",Direct-Preceding
?Insert@SM_WORKER@@QEAAXPEAU_SU_WORK_OBJECT@@@Z,0x140002766,Microsoft.Windows.Storage.Spaceman,{0254F21F-4809-477E-AD36-C812A8C631A1},Enter function,5,0x0,"Function:AnsiString, Line:UInt32",Direct-Preceding
?OpenResourceById@SM_CLUSTER@@QEAAPEAU_HRESOURCE@@PEAU_GUID@@@Z,0x140003d97,Microsoft.Windows.Storage.Spaceman,{0254F21F-4809-477E-AD36-C812A8C631A1},Enter function,5,0x0,"Function:AnsiString, Line:UInt32",Direct-Preceding
?Remove@SM_WORKER@@QEAAPEAU_SU_WORK_OBJECT@@XZ,0x140002843,Microsoft.Windows.Storage.Spaceman,{0254F21F-4809-477E-AD36-C812A8C631A1},Enter function,5,0x0,"Function:AnsiString, Line:UInt32",Direct-Preceding
?Run@SM_WORKER@@QEAAXXZ,0x140002b72,Microsoft.Windows.Storage.Spaceman,{0254F21F-4809-477E-AD36-C812A8C631A1},Enter function,5,0x0,"Function:AnsiString, Line:UInt32",Direct-Preceding
?SendWork@SM_CLUSTER@@QEAAHPEAU_HRESOURCE@@PEAXK@Z,0x140003f1b,Microsoft.Windows.Storage.Spaceman,{0254F21F-4809-477E-AD36-C812A8C631A1},Enter function,5,0x0,"Function:AnsiString, Line:UInt32",Direct-Preceding
?SetRegistryValue@SM_CLUSTER@@QEAAHPEBGPEAEK@Z,0x140004061,Microsoft.Windows.Storage.Spaceman,{0254F21F-4809-477E-AD36-C812A8C631A1},Enter function,5,0x0,"Function:AnsiString, Line:UInt32",Direct-Preceding
?SmAttachSpace@@YAHPEAU_SU_WORK_OBJECT@@@Z,0x140002dd8,Microsoft.Windows.Storage.Spaceman,{0254F21F-4809-477E-AD36-C812A8C631A1},Enter function,5,0x0,"Function:AnsiString, Line:UInt32",Direct-Preceding
?SmDetachSpace@@YAHPEAU_SU_WORK_OBJECT@@@Z,0x140003079,Microsoft.Windows.Storage.Spaceman,{0254F21F-4809-477E-AD36-C812A8C631A1},Enter function,5,0x0,"Function:AnsiString, Line:UInt32",Direct-Preceding
?SmExecuteRepair@@YAHPEAU_SU_WORK_OBJECT@@@Z,0x14000327e,Microsoft.Windows.Storage.Spaceman,{0254F21F-4809-477E-AD36-C812A8C631A1},Enter function,5,0x0,"Function:AnsiString, Line:UInt32",Direct-Preceding
?SmExecuteWitness@@YAHPEAU_SU_WORK_OBJECT@@@Z,0x14000339f,Microsoft.Windows.Storage.Spaceman,{0254F21F-4809-477E-AD36-C812A8C631A1},Enter function,5,0x0,"Function:AnsiString, Line:UInt32",Direct-Preceding
?SmExecuteWorkRemote@@YAHPEAU_SU_WORK_OBJECT@@PEAU_GUID@@@Z,0x140003599,Microsoft.Windows.Storage.Spaceman,{0254F21F-4809-477E-AD36-C812A8C631A1},Enter function,5,0x0,"Function:AnsiString, Line:UInt32",Direct-Preceding
?SpaceDetachExceptLocal@SM_CLUSTER@@QEAAHPEAU_SP_ID@@@Z,0x140004184,Microsoft.Windows.Storage.Spaceman,{0254F21F-4809-477E-AD36-C812A8C631A1},Enter function,5,0x0,"Function:AnsiString, Line:UInt32",Direct-Preceding
?WaitForResourceOnline@SM_CLUSTER@@AEAAHPEAU_HRESOURCE@@@Z,0x140004309,Microsoft.Windows.Storage.Spaceman,{0254F21F-4809-477E-AD36-C812A8C631A1},Enter function,5,0x0,"Function:AnsiString, Line:UInt32",Direct-Preceding
??0SM_CLUSTER@@QEAA@XZ,0x1400039db,Microsoft.Windows.Storage.Spaceman,{0254F21F-4809-477E-AD36-C812A8C631A1},Exit function,5,0x0,"Function:AnsiString, Line:UInt32",Direct-Preceding
??0SM_WORKER@@QEAA@XZ,0x140002064,Microsoft.Windows.Storage.Spaceman,{0254F21F-4809-477E-AD36-C812A8C631A1},Exit function,5,0x0,"Function:AnsiString, Line:UInt32",Direct-Preceding
??1SM_CLUSTER@@QEAA@XZ,0x140003aac,Microsoft.Windows.Storage.Spaceman,{0254F21F-4809-477E-AD36-C812A8C631A1},Exit function,5,0x0,"Function:AnsiString, Line:UInt32",Direct-Preceding
??1SM_WORKER@@QEAA@XZ,0x140002234,Microsoft.Windows.Storage.Spaceman,{0254F21F-4809-477E-AD36-C812A8C631A1},Exit function,5,0x0,"Function:AnsiString, Line:UInt32",Direct-Preceding
?Callback@SM_WORKER@@SAXPEAU_TP_CALLBACK_INSTANCE@@PEAXPEAU_TP_WORK@@@Z,0x1400024d3,Microsoft.Windows.Storage.Spaceman,{0254F21F-4809-477E-AD36-C812A8C631A1},Exit function,2,0x0,"Function:AnsiString, Line:UInt32, Error:HexInt32",Direct-Preceding
?Callback@SM_WORKER@@SAXPEAU_TP_CALLBACK_INSTANCE@@PEAXPEAU_TP_WORK@@@Z,0x140002520,Microsoft.Windows.Storage.Spaceman,{0254F21F-4809-477E-AD36-C812A8C631A1},Exit function,5,0x0,"Function:AnsiString, Line:UInt32",Direct-Preceding
?GetRegistryValue@SM_CLUSTER@@QEAAHPEBGPEAEPEAK@Z,0x140003b83,Microsoft.Windows.Storage.Spaceman,{0254F21F-4809-477E-AD36-C812A8C631A1},Exit function,2,0x0,"Function:AnsiString, Line:UInt32, Error:HexInt32",Direct-Preceding
?GetRegistryValue@SM_CLUSTER@@QEAAHPEBGPEAEPEAK@Z,0x140003bd5,Microsoft.Windows.Storage.Spaceman,{0254F21F-4809-477E-AD36-C812A8C631A1},Exit function,5,0x0,"Function:AnsiString, Line:UInt32",Direct-Preceding
?Initialize@SM_CLUSTER@@QEAAHXZ,0x140003cd8,Microsoft.Windows.Storage.Spaceman,{0254F21F-4809-477E-AD36-C812A8C631A1},Exit function,2,0x0,"Function:AnsiString, Line:UInt32, Error:HexInt32",Direct-Preceding
?Initialize@SM_CLUSTER@@QEAAHXZ,0x140003d33,Microsoft.Windows.Storage.Spaceman,{0254F21F-4809-477E-AD36-C812A8C631A1},Exit function,5,0x0,"Function:AnsiString, Line:UInt32",Direct-Preceding
?Initialize@SM_WORKER@@QEAAHXZ,0x1400026b2,Microsoft.Windows.Storage.Spaceman,{0254F21F-4809-477E-AD36-C812A8C631A1},Exit function,2,0x0,"Function:AnsiString, Line:UInt32, Error:HexInt32",Direct-Preceding
?Initialize@SM_WORKER@@QEAAHXZ,0x14000270d,Microsoft.Windows.Storage.Spaceman,{0254F21F-4809-477E-AD36-C812A8C631A1},Exit function,5,0x0,"Function:AnsiString, Line:UInt32",Direct-Preceding
?Insert@SM_WORKER@@QEAAXPEAU_SU_WORK_OBJECT@@@Z,0x1400027dd,Microsoft.Windows.Storage.Spaceman,{0254F21F-4809-477E-AD36-C812A8C631A1},Exit function,5,0x0,"Function:AnsiString, Line:UInt32",Direct-Preceding
?OpenResourceById@SM_CLUSTER@@QEAAPEAU_HRESOURCE@@PEAU_GUID@@@Z,0x140003e50,Microsoft.Windows.Storage.Spaceman,{0254F21F-4809-477E-AD36-C812A8C631A1},Exit function,2,0x0,"Function:AnsiString, Line:UInt32, Error:HexInt32",Direct-Preceding
?OpenResourceById@SM_CLUSTER@@QEAAPEAU_HRESOURCE@@PEAU_GUID@@@Z,0x140003e9d,Microsoft.Windows.Storage.Spaceman,{0254F21F-4809-477E-AD36-C812A8C631A1},Exit function,5,0x0,"Function:AnsiString, Line:UInt32",Direct-Preceding
?Remove@SM_WORKER@@QEAAPEAU_SU_WORK_OBJECT@@XZ,0x1400028b5,Microsoft.Windows.Storage.Spaceman,{0254F21F-4809-477E-AD36-C812A8C631A1},Exit function,5,0x0,"Function:AnsiString, Line:UInt32",Direct-Preceding
?Run@SM_WORKER@@QEAAXXZ,0x140002d4e,Microsoft.Windows.Storage.Spaceman,{0254F21F-4809-477E-AD36-C812A8C631A1},Exit function,2,0x0,"Function:AnsiString, Line:UInt32, Error:HexInt32",Direct-Preceding
?SendWork@SM_CLUSTER@@QEAAHPEAU_HRESOURCE@@PEAXK@Z,0x140003f8b,Microsoft.Windows.Storage.Spaceman,{0254F21F-4809-477E-AD36-C812A8C631A1},Exit function,2,0x0,"Function:AnsiString, Line:UInt32, Error:HexInt32",Direct-Preceding
?SendWork@SM_CLUSTER@@QEAAHPEAU_HRESOURCE@@PEAXK@Z,0x140003fd8,Microsoft.Windows.Storage.Spaceman,{0254F21F-4809-477E-AD36-C812A8C631A1},Exit function,5,0x0,"Function:AnsiString, Line:UInt32",Direct-Preceding
?SetRegistryValue@SM_CLUSTER@@QEAAHPEBGPEAEK@Z,0x1400040c3,Microsoft.Windows.Storage.Spaceman,{0254F21F-4809-477E-AD36-C812A8C631A1},Exit function,2,0x0,"Function:AnsiString, Line:UInt32, Error:HexInt32",Direct-Preceding
?SetRegistryValue@SM_CLUSTER@@QEAAHPEBGPEAEK@Z,0x140004115,Microsoft.Windows.Storage.Spaceman,{0254F21F-4809-477E-AD36-C812A8C631A1},Exit function,5,0x0,"Function:AnsiString, Line:UInt32",Direct-Preceding
?SmAttachSpace@@YAHPEAU_SU_WORK_OBJECT@@@Z,0x140002fae,Microsoft.Windows.Storage.Spaceman,{0254F21F-4809-477E-AD36-C812A8C631A1},Exit function,2,0x0,"Function:AnsiString, Line:UInt32, Error:HexInt32",Direct-Preceding
?SmAttachSpace@@YAHPEAU_SU_WORK_OBJECT@@@Z,0x140002ffb,Microsoft.Windows.Storage.Spaceman,{0254F21F-4809-477E-AD36-C812A8C631A1},Exit function,5,0x0,"Function:AnsiString, Line:UInt32",Direct-Preceding
