Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
userauth_finish,0x1400106b3,Microsoft.Windows.Win32OpenSSH,{0D986661-0DD7-561A-B15B-FCC1CD46D2BB},AuthMethods,5,0x400000000000,"PartA_PrivTags:UInt64, authMethodsConfigured:AnsiString",Direct-Preceding
userauth_finish,0x1400106fd,Microsoft.Windows.Win32OpenSSH,{0D986661-0DD7-561A-B15B-FCC1CD46D2BB},AuthMethods,5,0x400000000000,"PartA_PrivTags:UInt64, authMethodsConfigured:AnsiString",Direct-Preceding
send_encryption_telemetry,0x140060c1a,Microsoft.Windows.Win32OpenSSH,{0D986661-0DD7-561A-B15B-FCC1CD46D2BB},Encryption,5,0x400000000000,"PartA_PrivTags:UInt64, direction:AnsiString, cipher:AnsiString, kex:AnsiString, mac:AnsiString, compression:AnsiString, hostKey:AnsiString, clientProposedKex:AnsiString, clientProposedHostKeys:AnsiString, clientProposedCiphersCtos:AnsiString, clientProposedCiphersStoc:AnsiString, clientProposedMACsCtos:AnsiString, clientProposedMACsStoc:AnsiString, clientProposedCompressionCtos:AnsiString, clientProposedCompressionStoc:AnsiString, serverProposedKex:AnsiString, serverProposedHostKeys:AnsiString, serverProposedCiphersCtos:AnsiString, serverProposedCiphersStoc:AnsiString, serverProposedMACsCtos:AnsiString, serverProposedMACsStoc:AnsiString, serverProposedCompressionCtos:AnsiString, serverProposedCompressionStoc:AnsiString",Direct-Preceding
send_encryption_telemetry,0x140060c60,Microsoft.Windows.Win32OpenSSH,{0D986661-0DD7-561A-B15B-FCC1CD46D2BB},Encryption,5,0x400000000000,"PartA_PrivTags:UInt64, direction:AnsiString, cipher:AnsiString, kex:AnsiString, mac:AnsiString, compression:AnsiString, hostKey:AnsiString, clientProposedKex:AnsiString, clientProposedHostKeys:AnsiString, clientProposedCiphersCtos:AnsiString, clientProposedCiphersStoc:AnsiString, clientProposedMACsCtos:AnsiString, clientProposedMACsStoc:AnsiString, clientProposedCompressionCtos:AnsiString, clientProposedCompressionStoc:AnsiString, serverProposedKex:AnsiString, serverProposedHostKeys:AnsiString, serverProposedCiphersCtos:AnsiString, serverProposedCiphersStoc:AnsiString, serverProposedMACsCtos:AnsiString, serverProposedMACsStoc:AnsiString, serverProposedCompressionCtos:AnsiString, serverProposedCompressionStoc:AnsiString",Direct-Preceding
send_kex_exch_exit_code_telemetry,0x140060d94,Microsoft.Windows.Win32OpenSSH,{0D986661-0DD7-561A-B15B-FCC1CD46D2BB},KexExchExitCodeSSHD,5,0x400000000000,"PartA_PrivTags:UInt64, KexExchExitCodeSSHD:Int16",Direct-Preceding
send_kex_exch_exit_code_telemetry,0x140060dda,Microsoft.Windows.Win32OpenSSH,{0D986661-0DD7-561A-B15B-FCC1CD46D2BB},KexExchExitCodeSSHD,5,0x400000000000,"PartA_PrivTags:UInt64, KexExchExitCodeSSHD:Int16",Direct-Preceding
send_sshd_connection_telemetry,0x140060f25,Microsoft.Windows.Win32OpenSSH,{0D986661-0DD7-561A-B15B-FCC1CD46D2BB},SSHD,5,0x400000000000,"PartA_PrivTags:UInt64, connStatus:AnsiString",Direct-Preceding
send_sshd_connection_telemetry,0x140060f6c,Microsoft.Windows.Win32OpenSSH,{0D986661-0DD7-561A-B15B-FCC1CD46D2BB},SSHD,5,0x400000000000,"PartA_PrivTags:UInt64, connStatus:AnsiString",Direct-Preceding
do_exec_windows,0x14004524f,Microsoft.Windows.Win32OpenSSH,{0D986661-0DD7-561A-B15B-FCC1CD46D2BB},Shell,5,0x400000000000,"PartA_PrivTags:UInt64, PTY:Int16, type:Int16",Direct-Preceding
do_exec_windows,0x140045293,Microsoft.Windows.Win32OpenSSH,{0D986661-0DD7-561A-B15B-FCC1CD46D2BB},Shell,5,0x400000000000,"PartA_PrivTags:UInt64, PTY:Int16, type:Int16",Direct-Preceding
send_ssh_version_telemetry,0x140061123,Microsoft.Windows.Win32OpenSSH,{0D986661-0DD7-561A-B15B-FCC1CD46D2BB},Startup,5,0x400000000000,"PartA_PrivTags:UInt64, ourVersion:AnsiString, remoteProtocolError:AnsiString, peerVersion:AnsiString",Direct-Preceding
send_ssh_version_telemetry,0x14006115b,Microsoft.Windows.Win32OpenSSH,{0D986661-0DD7-561A-B15B-FCC1CD46D2BB},Startup,5,0x400000000000,"PartA_PrivTags:UInt64, ourVersion:AnsiString, remoteProtocolError:AnsiString, peerVersion:AnsiString",Direct-Preceding
