Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?EmitDeviceDeleteEvent@DeviceDelete@Diagnostics@Microsoft@@SAJ_N@Z,0x1800ee7c4,Microsoft.Windows.DeviceDelete,{8648E819-0883-4904-B730-D76D8498B521},DeviceDelete_0,5,0x800000000000,"__TlgCV__:AnsiString, IsInitiatedByUser:UInt8(Boolean)",Direct-Preceding
?EmitDeviceDeleteEvent@DeviceDelete@Diagnostics@Microsoft@@SAJ_N@Z,0x1800ee827,Microsoft.Windows.DeviceDelete,{8648E819-0883-4904-B730-D76D8498B521},DeviceDelete_0,5,0x800000000000,"__TlgCV__:AnsiString, IsInitiatedByUser:UInt8(Boolean)",Direct-Preceding
wil::details::lambda_call__Microsoft::Diagnostics::IActionDef::Create_::_2_::_lambda_1___::_lambda_call__Microsoft::Diagnostics::IActionDef::Create_::_2_::_lambda_1___,0x1801d90ee,Microsoft.Windows.DiagTrack,{43AC453B-97CD-4B51-4376-DB7C9BB963AC},ActionFactory_CreateEscalationAction,5,0x8,Type:CountedString,Direct-Preceding
?StaticListenerThreadProc@AgentETWConsumer@Diagnostics@Microsoft@@CAKPEAX@Z,0x1802840a5,Microsoft.Windows.DiagTrack,{43AC453B-97CD-4B51-4376-DB7C9BB963AC},AgentETWConsumer_ListenerThreadExit,4,0x8000,ExitCode:UInt32,Direct-Preceding
?StopConsumer@AgentETWConsumer@Diagnostics@Microsoft@@UEAAXXZ,0x180284216,Microsoft.Windows.DiagTrack,{43AC453B-97CD-4B51-4376-DB7C9BB963AC},AgentETWConsumer_StopConsumer,4,0x8010,(none),Direct-Preceding
?StopConsumer@AgentETWConsumer@Diagnostics@Microsoft@@UEAAXXZ,0x1802842db,Microsoft.Windows.DiagTrack,{43AC453B-97CD-4B51-4376-DB7C9BB963AC},AgentETWConsumer_StopConsumer_CloseTrace,4,0x8010,(none),Direct-Preceding
?StopConsumer@AgentETWConsumer@Diagnostics@Microsoft@@UEAAXXZ,0x180284352,Microsoft.Windows.DiagTrack,{43AC453B-97CD-4B51-4376-DB7C9BB963AC},AgentETWConsumer_StopConsumer_ListenerThreadExited,4,0x8010,(none),Direct-Preceding
?UpdateEtwSession@AgentETWConsumer@Diagnostics@Microsoft@@AEAAXXZ,0x18028469a,Microsoft.Windows.DiagTrack,{43AC453B-97CD-4B51-4376-DB7C9BB963AC},AgentEtwConsumer_SkipUpdateEtwSession_ConsumerStopping,4,0x8000,(none),Direct-Preceding
?RegisterWatsonCrashRequest@AgentWatsonCrashManager@Diagnostics@Microsoft@@QEAAJV?$basic_string_view@_WU?$char_traits@_W@std@@@std@@AEAV?$shared_ptr@VIoRequest@Diagnostics@Microsoft@@@5@@Z,0x18015bdef,Microsoft.Windows.DiagTrack,{43AC453B-97CD-4B51-4376-DB7C9BB963AC},AgentManagerCrashRegistered,4,0x8000,RequestId:CountedString,Direct-Preceding
_Microsoft::Diagnostics::AgentManager::OnMessageReceived_::_2_::_lambda_1_::operator(),0x18011c796,Microsoft.Windows.DiagTrack,{43AC453B-97CD-4B51-4376-DB7C9BB963AC},AgentManager_AcceptedAgentVersion,4,0x8000,"AgentSocket:UInt64, HostVersion:UInt8, AgentVersion:UInt8",Direct-Preceding
