Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
??$_tlgWriteActivityAutoStop@$0A@$04@@YAXPEBU_tlgProvider_t@@PEBU_GUID@@@Z,0x18000679c,Microsoft.Windows.Security.SmartCards.TpmVscDll,{8D9160D6-2BBE-5A07-45C9-BCEA3A8F8E2C},ActivityStoppedAutomatically,5,0x0,(none),GlobalFallback
??$_tlgWriteActivityAutoStop@$0EAAAAAAAAAAA@$04@@YAXPEBU_tlgProvider_t@@PEBU_GUID@@@Z,0x18001d4d2,Microsoft.Windows.Security.SmartCards.TpmVscDll,{8D9160D6-2BBE-5A07-45C9-BCEA3A8F8E2C},ActivityStoppedAutomatically,5,0x400000000000,(none),GlobalFallback
?ConvertFromSmartCardPinCharacterPolicyOption@PinPolicyRules@PinPolicy@@SAJW4SmartCardPinCharacterPolicyOption@SmartCards@Devices@Windows@@PEAW4_PIN_CHARACTER_POLICY_OPTION@@@Z,0x180034b49,Microsoft.Windows.Security.SmartCards.TpmVscDll,{8D9160D6-2BBE-5A07-45C9-BCEA3A8F8E2C},ConversionFromSmartCardPolicyOptionFailedInvalidValue,2,0x0,retVal:Int32,Direct-Preceding
_lambda_44a7a581b38561abe53e1ded03bb771f_::operator(),0x1800185c2,Microsoft.Windows.Security.SmartCards.TpmVscDll,{8D9160D6-2BBE-5A07-45C9-BCEA3A8F8E2C},CreateClaim,5,0x400000000000,"retVal:UInt32, retValCreateClaim:Int32",Direct-Preceding
I_DecreaseRemainingRetryCount,0x180009114,Microsoft.Windows.Security.SmartCards.TpmVscDll,{8D9160D6-2BBE-5A07-45C9-BCEA3A8F8E2C},DecreaseRemainingRetryCount,5,0x0,"retVal:UInt32, cardRole:UInt32, currentRetryCount:Int32, newRetryCount:Int32",Direct-Preceding
_lambda_831a9cfc22581c62ccff22cf1ffce7a9_::operator(),0x180007296,Microsoft.Windows.Security.SmartCards.TpmVscDll,{8D9160D6-2BBE-5A07-45C9-BCEA3A8F8E2C},DecreaseRemainingRetryCount,5,0x0,"retVal:UInt32, cardRole:UInt32, currentRetryCount:Int32, newRetryCount:Int32",Direct-Preceding
_lambda_ae027c0574f1a6a18e9766287e9107b6_::operator(),0x18000754d,Microsoft.Windows.Security.SmartCards.TpmVscDll,{8D9160D6-2BBE-5A07-45C9-BCEA3A8F8E2C},DeleteAuthBlobFailed,5,0x0,retVal:UInt32,Direct-Preceding
PinPolicy::PinPolicySerialization1To2,0x1800350f8,Microsoft.Windows.Security.SmartCards.TpmVscDll,{8D9160D6-2BBE-5A07-45C9-BCEA3A8F8E2C},InvalidDigitsPolicyOption,2,0x0,retVal:Int32,Direct-Preceding
PinPolicy::PinPolicySerialization1To2,0x1800350d4,Microsoft.Windows.Security.SmartCards.TpmVscDll,{8D9160D6-2BBE-5A07-45C9-BCEA3A8F8E2C},InvalidLowercaseCharacterPolicyOption,2,0x0,retVal:Int32,Direct-Preceding
PinPolicy::PinPolicySerialization1To2,0x180035146,Microsoft.Windows.Security.SmartCards.TpmVscDll,{8D9160D6-2BBE-5A07-45C9-BCEA3A8F8E2C},InvalidOtherCharactersPolicyOption,2,0x0,retVal:Int32,Direct-Preceding
?ValidatePin@PinPolicyRules@PinPolicy@@QEBAJAEBV?$basic_string@GU?$char_traits@G@std@@U?$secure_allocator@G@wil@@@std@@PEAW4PinValidationResult@2@@Z,0x1800356fd,Microsoft.Windows.Security.SmartCards.TpmVscDll,{8D9160D6-2BBE-5A07-45C9-BCEA3A8F8E2C},InvalidPinDigitNotAllowed,3,0x0,retVal:Int32,Direct-Preceding
?ValidatePin@PinPolicyRules@PinPolicy@@QEBAJAEBV?$basic_string@GU?$char_traits@G@std@@U?$secure_allocator@G@wil@@@std@@PEAW4PinValidationResult@2@@Z,0x1800355f5,Microsoft.Windows.Security.SmartCards.TpmVscDll,{8D9160D6-2BBE-5A07-45C9-BCEA3A8F8E2C},InvalidPinDigitRequired,3,0x0,retVal:Int32,Direct-Preceding
?ValidatePin@PinPolicyRules@PinPolicy@@QEBAJAEBV?$basic_string@GU?$char_traits@G@std@@U?$secure_allocator@G@wil@@@std@@PEAW4PinValidationResult@2@@Z,0x180035798,Microsoft.Windows.Security.SmartCards.TpmVscDll,{8D9160D6-2BBE-5A07-45C9-BCEA3A8F8E2C},InvalidPinDigitSequenceNotAllowed,3,0x0,retVal:Int32,Direct-Preceding
?ValidatePin@PinPolicyRules@PinPolicy@@QEBAJAEBV?$basic_string@GU?$char_traits@G@std@@U?$secure_allocator@G@wil@@@std@@PEAW4PinValidationResult@2@@Z,0x1800356c9,Microsoft.Windows.Security.SmartCards.TpmVscDll,{8D9160D6-2BBE-5A07-45C9-BCEA3A8F8E2C},InvalidPinLowercaseLetterNotAllowed,3,0x0,retVal:Int32,Direct-Preceding
?ValidatePin@PinPolicyRules@PinPolicy@@QEBAJAEBV?$basic_string@GU?$char_traits@G@std@@U?$secure_allocator@G@wil@@@std@@PEAW4PinValidationResult@2@@Z,0x1800355bd,Microsoft.Windows.Security.SmartCards.TpmVscDll,{8D9160D6-2BBE-5A07-45C9-BCEA3A8F8E2C},InvalidPinLowercaseLetterRequired,3,0x0,retVal:Int32,Direct-Preceding
?ValidatePin@PinPolicyRules@PinPolicy@@QEBAJAEBV?$basic_string@GU?$char_traits@G@std@@U?$secure_allocator@G@wil@@@std@@PEAW4PinValidationResult@2@@Z,0x180035761,Microsoft.Windows.Security.SmartCards.TpmVscDll,{8D9160D6-2BBE-5A07-45C9-BCEA3A8F8E2C},InvalidPinOtherCharacterNotAllowed,3,0x0,retVal:Int32,Direct-Preceding
?ValidatePin@PinPolicyRules@PinPolicy@@QEBAJAEBV?$basic_string@GU?$char_traits@G@std@@U?$secure_allocator@G@wil@@@std@@PEAW4PinValidationResult@2@@Z,0x180035661,Microsoft.Windows.Security.SmartCards.TpmVscDll,{8D9160D6-2BBE-5A07-45C9-BCEA3A8F8E2C},InvalidPinOtherCharacterRequired,3,0x0,retVal:Int32,Direct-Preceding
?Initialize@PinPolicyRules@PinPolicy@@QEAAJAEBV?$vector@EV?$allocator@E@std@@@std@@@Z,0x180034d8c,Microsoft.Windows.Security.SmartCards.TpmVscDll,{8D9160D6-2BBE-5A07-45C9-BCEA3A8F8E2C},InvalidPinPolicySerializationTooSmall,2,0x0,retVal:Int32,Direct-Preceding
?Initialize@PinPolicyRules@PinPolicy@@QEAAJAEBV?$vector@EV?$allocator@E@std@@@std@@@Z,0x180034eda,Microsoft.Windows.Security.SmartCards.TpmVscDll,{8D9160D6-2BBE-5A07-45C9-BCEA3A8F8E2C},InvalidPinPolicySerializationUnsupportedVersion,2,0x0,retVal:Int32,Direct-Preceding
PinPolicy::PinPolicySerialization1To2,0x180035046,Microsoft.Windows.Security.SmartCards.TpmVscDll,{8D9160D6-2BBE-5A07-45C9-BCEA3A8F8E2C},InvalidPinPolicySerializationVersion,2,0x0,retVal:Int32,Direct-Preceding
PinPolicy::PinPolicySerialization2To3,0x1800351b3,Microsoft.Windows.Security.SmartCards.TpmVscDll,{8D9160D6-2BBE-5A07-45C9-BCEA3A8F8E2C},InvalidPinPolicySerializationVersion,2,0x0,retVal:Int32,Direct-Preceding
?Initialize@PinPolicyRules@PinPolicy@@QEAAJAEBV?$vector@EV?$allocator@E@std@@@std@@@Z,0x180034dc4,Microsoft.Windows.Security.SmartCards.TpmVscDll,{8D9160D6-2BBE-5A07-45C9-BCEA3A8F8E2C},InvalidPinPolicySerializationWrongSizeV1,2,0x0,retVal:Int32,Direct-Preceding
?Initialize@PinPolicyRules@PinPolicy@@QEAAJAEBV?$vector@EV?$allocator@E@std@@@std@@@Z,0x180034e1e,Microsoft.Windows.Security.SmartCards.TpmVscDll,{8D9160D6-2BBE-5A07-45C9-BCEA3A8F8E2C},InvalidPinPolicySerializationWrongSizeV2,2,0x0,retVal:Int32,Direct-Preceding
