Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?NotifyFailure@?$ActivityBase@VAnimationClockLogging@@$0A@$0A@$03$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x1800a5ce1,Microsoft.Windows.Dwm.AnimationClock,{FFDB63BC-4194-5395-03D2-F8C9165E1B94},ActivityError,2,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d2
?Stop@?$ActivityBase@VAnimationClockLogging@@$0A@$0A@$03$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x18000a506,Microsoft.Windows.Dwm.AnimationClock,{FFDB63BC-4194-5395-03D2-F8C9165E1B94},ActivityIntermediateStop,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
?StartActivity@AnimationClockStateChange@AnimationClockLoggingTelemetry@@QEAAXU_GUID@@HH@Z,0x180009c50,Microsoft.Windows.Dwm.AnimationClock,{FFDB63BC-4194-5395-03D2-F8C9165E1B94},AnimationClockStateChange,4,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32, id:GUID, oldState:Int32, newState:Int32",CallGraph-d2
?StopActivity@AnimationClockStateChange@AnimationClockLoggingTelemetry@@MEAAXXZ,0x18000b8df,Microsoft.Windows.Dwm.AnimationClock,{FFDB63BC-4194-5395-03D2-F8C9165E1B94},AnimationClockStateChange,4,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
?StopActivity@AnimationClockStateChange@AnimationClockLoggingTelemetry@@MEAAXXZ,0x18000b947,Microsoft.Windows.Dwm.AnimationClock,{FFDB63BC-4194-5395-03D2-F8C9165E1B94},AnimationClockStateChange,4,0x0,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d2
?StartActivity@BeginAnimationClock@AnimationClockLoggingTelemetry@@QEAAXU_GUID@@J@Z,0x18000c340,Microsoft.Windows.Dwm.AnimationClock,{FFDB63BC-4194-5395-03D2-F8C9165E1B94},BeginAnimationClock,4,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32, id:GUID, count:Int64",CallGraph-d2
?StopActivity@BeginAnimationClock@AnimationClockLoggingTelemetry@@MEAAXXZ,0x18007fcd7,Microsoft.Windows.Dwm.AnimationClock,{FFDB63BC-4194-5395-03D2-F8C9165E1B94},BeginAnimationClock,4,0x0,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d2
?StopActivity@BeginAnimationClock@AnimationClockLoggingTelemetry@@MEAAXXZ,0x18007fe5f,Microsoft.Windows.Dwm.AnimationClock,{FFDB63BC-4194-5395-03D2-F8C9165E1B94},BeginAnimationClock,4,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
?StartActivity@CreateAnimationClock@AnimationClockLoggingTelemetry@@QEAAXU_GUID@@@Z,0x18005c646,Microsoft.Windows.Dwm.AnimationClock,{FFDB63BC-4194-5395-03D2-F8C9165E1B94},CreateAnimationClock,4,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32, id:GUID",CallGraph-d2
?StopActivity@CreateAnimationClock@AnimationClockLoggingTelemetry@@MEAAXXZ,0x180083537,Microsoft.Windows.Dwm.AnimationClock,{FFDB63BC-4194-5395-03D2-F8C9165E1B94},CreateAnimationClock,4,0x0,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d2
