Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
ChkdskEx,0x1800118e1,Microsoft.Windows.FileSystem.Chkdsk,{A3A38AAA-2521-4849-9B65-AE781B455984},ChkdskCompleted,5,0x400000000000,"chkdskFix:Bool32, chkdskAutocheckScheduled:Bool32, chkdskCountAttributesDeleted:UInt32, chkdskCountAttributeListEntriesDeleted:UInt32, chkdskCountReparsePointAttributeListEntriesDeleted:UInt32, chkdskCountCloudFileReparsePointsDeleted:UInt32, chkdskCountIndexEntriesDeleted:UInt32, chkdskCountCloudFileReparsePointIndexEntriesDeleted:UInt32, chkdskCountReparsePointIndexEntriesDeleted:UInt32, chkdskCountReparsePointsDeleted:UInt32, chkdskVolumeGuid:GUID, chkdskFileSystemName:UnicodeString, busType:UInt32, nativeNVMe:Bool32, chkdskAutocheck:Int32, chkdskFixLevel:Int32, chkdskExitStatus:UInt32, chkdskSourceTag:UInt32, chkdskResult:Bool32, chkdskAborted:Bool32, chkdskDuration:UInt64, chkdskSequenceNumber:UInt32, chkdskVolumeIsDirty:Bool32",SingleProvider
?SendTelemetry@NTFS_SA@@AEAAEPEBVWSTRING@@PEAUNTFS_CHKDSK_REPORT@@PEAVNTFS_CHKDSK_INFO@@JPEAU_VOLUME_CORRUPTION_STATE@@@Z,0x180050b88,Microsoft.Windows.FileSystem.Chkdsk,{A3A38AAA-2521-4849-9B65-AE781B455984},ChkdskRunInfo,5,0x400000000000,"volumeCorruptionNtStatus:UInt32, volumeCorruptionState:UInt32, volumeCorruptionFlags:UInt32, chkdskProgramName:UnicodeString, chkdskVolumeSize:Int64, chkdskHouseKeepingBitmask:HexInt64, chkdskArgumentsBitmask:HexInt64, chkdskVolumeGuid:GUID, busType:UInt32, nativeNVMe:Bool32, chkdskNumberUserFiles:Int64, chkdskDuration:UnicodeString",SingleProvider
?SendTelemetry@NTFS_SA@@AEAAEPEBVWSTRING@@PEAUNTFS_CHKDSK_REPORT@@PEAVNTFS_CHKDSK_INFO@@JPEAU_VOLUME_CORRUPTION_STATE@@@Z,0x180050d7d,Microsoft.Windows.FileSystem.Chkdsk,{A3A38AAA-2521-4849-9B65-AE781B455984},ChkdskRunInfo,5,0x400000000000,"chkdskProgramName:UnicodeString, chkdskVolumeSize:Int64, chkdskHouseKeepingBitmask:HexInt64, chkdskArgumentsBitmask:HexInt64, chkdskVolumeGuid:GUID, busType:UInt32, nativeNVMe:Bool32, chkdskNumberUserFiles:Int64, chkdskDuration:UnicodeString",SingleProvider
?ProcessFiles@NTFS_SA@@AEAAEVBIG_INT@@PEAV2@PEAKPEAEPEAVNTFS_FRS_STRUCTURE@@W4FIX_LEVEL@@PEAVNTFS_ATTRIBUTE@@PEAVNTFS_BITMAP@@7PEAVNTFS_UPCASE_TABLE@@PEAVNTFS_ATTRIBUTE_COLUMNS@@PEAVNUMBER_SET@@PEAUNTFS_CHKDSK_REPORT@@PEAVNTFS_CHKDSK_INFO@@PEAVMESSAGE@@@Z,0x180066fe9,Microsoft.Windows.FileSystem.Chkdsk,{A3A38AAA-2521-4849-9B65-AE781B455984},ChkdskStageEntered,5,0x400000000000,chkdskStage:UInt16,SingleProvider
?RecoverAllUserFiles@@YAEPEAVNTFS_CHKDSK_INFO@@EPEAVNTFS_MASTER_FILE_TABLE@@PEAVNUMBER_SET@@PEAVMESSAGE@@@Z,0x18004e586,Microsoft.Windows.FileSystem.Chkdsk,{A3A38AAA-2521-4849-9B65-AE781B455984},ChkdskStageEntered,5,0x400000000000,chkdskStage:UInt16,SingleProvider
?RecoverFreeSpace@@YAEPEAVNTFS_CHKDSK_INFO@@PEAVNTFS_MASTER_FILE_TABLE@@PEAVNUMBER_SET@@PEAVMESSAGE@@@Z,0x18004e9cc,Microsoft.Windows.FileSystem.Chkdsk,{A3A38AAA-2521-4849-9B65-AE781B455984},ChkdskStageEntered,5,0x400000000000,chkdskStage:UInt16,SingleProvider
?ValidateIndices@NTFS_SA@@AEAAEPEAVNTFS_CHKDSK_INFO@@PEAVDIGRAPH@@PEAVNTFS_MASTER_FILE_TABLE@@PEBVNTFS_ATTRIBUTE_COLUMNS@@PEAUNTFS_CHKDSK_REPORT@@PEAVNUMBER_SET@@GEPEAE6E@Z,0x180032bde,Microsoft.Windows.FileSystem.Chkdsk,{A3A38AAA-2521-4849-9B65-AE781B455984},ChkdskStageEntered,5,0x400000000000,chkdskStage:UInt16,SingleProvider
?ValidateSecurityDescriptors@NTFS_SA@@AEAAEPEAVNTFS_CHKDSK_INFO@@PEAUNTFS_CHKDSK_REPORT@@PEAVNTFS_MASTER_FILE_TABLE@@PEAVNUMBER_SET@@EW4FIX_LEVEL@@PEAVMESSAGE@@E@Z,0x18006cb46,Microsoft.Windows.FileSystem.Chkdsk,{A3A38AAA-2521-4849-9B65-AE781B455984},ChkdskStageEntered,5,0x400000000000,chkdskStage:UInt16,SingleProvider
ChkdskEx,0x180010c92,Microsoft.Windows.FileSystem.Chkdsk,{A3A38AAA-2521-4849-9B65-AE781B455984},ChkdskStarting,5,0x400000000000,"chkdskVolumeGuid:GUID, chkdskFileSystemName:UnicodeString, busType:UInt32, nativeNVMe:Bool32, chkdskAutocheck:Int32, chkdskFixLevel:Int32",SingleProvider
?ForceFullChkdsk@NTFS_SPOTFIX_COMMANDS@@UEAAEPEAVNTFS_CHKDSK_INFO@@K@Z,0x180073678,Microsoft.Windows.FileSystem.Chkdsk,{A3A38AAA-2521-4849-9B65-AE781B455984},ChkdskVerbEncountered,5,0x400000000000,"chkdskVerb:UInt32, chkdskVerbOutcome:UInt32, chkdskVerbOutcomeStatus:UInt32, chkdskVerbHeaderFlags:HexInt32, chkdskVerbSourceId:UInt32, chkdskVerbSignature:UInt64, chkdskVerbObjectId:UInt64, chkdskVerbDuration:UInt64",SingleProvider
