Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
sub_1400459E0,0x140045a5b,Microsoft.Windows.HyperV.StorageActivity,{C7AD62C6-5C99-5A1B-BBC4-0821AE5B765E},ActivityFailure,2,0x10000,Status:UInt32(NTStatus),Direct-Preceding
sub_14009EDD0,0x14009f00c,Microsoft.Windows.HyperV.StorageActivity,{C7AD62C6-5C99-5A1B-BBC4-0821AE5B765E},ActivityFailure,2,0x10000,Status:UInt32(NTStatus),Direct-Preceding
sub_1400A6F1C,0x1400a7024,Microsoft.Windows.HyperV.StorageActivity,{C7AD62C6-5C99-5A1B-BBC4-0821AE5B765E},ActivityFailure,2,0x10000,Status:UInt32(NTStatus),Direct-Preceding
sub_1400AE854,0x1400aea2a,Microsoft.Windows.HyperV.StorageActivity,{C7AD62C6-5C99-5A1B-BBC4-0821AE5B765E},ActivityFailure,2,0x10000,Status:UInt32(NTStatus),Direct-Preceding
sub_1400AE854,0x1400aec03,Microsoft.Windows.HyperV.StorageActivity,{C7AD62C6-5C99-5A1B-BBC4-0821AE5B765E},ActivityFailure,2,0x10000,Status:UInt32(NTStatus),Direct-Preceding
sub_1400AED20,0x1400af715,Microsoft.Windows.HyperV.StorageActivity,{C7AD62C6-5C99-5A1B-BBC4-0821AE5B765E},ActivityFailure,2,0x10000,Status:UInt32(NTStatus),Direct-Preceding
sub_1400AFEB0,0x1400b05ad,Microsoft.Windows.HyperV.StorageActivity,{C7AD62C6-5C99-5A1B-BBC4-0821AE5B765E},ActivityFailure,2,0x10000,Status:UInt32(NTStatus),Direct-Preceding
sub_1400AFEB0,0x1400b08c7,Microsoft.Windows.HyperV.StorageActivity,{C7AD62C6-5C99-5A1B-BBC4-0821AE5B765E},ActivityFailure,2,0x10000,Status:UInt32(NTStatus),Direct-Preceding
sub_1400AFEB0,0x1400b0ab6,Microsoft.Windows.HyperV.StorageActivity,{C7AD62C6-5C99-5A1B-BBC4-0821AE5B765E},ActivityFailure,2,0x10000,Status:UInt32(NTStatus),Direct-Preceding
sub_1400AFEB0,0x1400b0b69,Microsoft.Windows.HyperV.StorageActivity,{C7AD62C6-5C99-5A1B-BBC4-0821AE5B765E},ActivityFailure,2,0x10000,Status:UInt32(NTStatus),Direct-Preceding
sub_1400AFEB0,0x1400b0dd3,Microsoft.Windows.HyperV.StorageActivity,{C7AD62C6-5C99-5A1B-BBC4-0821AE5B765E},ActivityFailure,2,0x10000,Status:UInt32(NTStatus),Direct-Preceding
sub_1400B17B0,0x1400b19ed,Microsoft.Windows.HyperV.StorageActivity,{C7AD62C6-5C99-5A1B-BBC4-0821AE5B765E},ActivityFailure,2,0x10000,Status:UInt32(NTStatus),Direct-Preceding
sub_1400B5E58,0x1400b5fa5,Microsoft.Windows.HyperV.StorageActivity,{C7AD62C6-5C99-5A1B-BBC4-0821AE5B765E},ActivityFailure,2,0x10000,Status:UInt32(NTStatus),Direct-Preceding
sub_1400BC75C,0x1400bc987,Microsoft.Windows.HyperV.StorageActivity,{C7AD62C6-5C99-5A1B-BBC4-0821AE5B765E},ActivityFailure,2,0x10000,Status:UInt32(NTStatus),Direct-Preceding
sub_1400BEF80,0x1400bf160,Microsoft.Windows.HyperV.StorageActivity,{C7AD62C6-5C99-5A1B-BBC4-0821AE5B765E},ActivityFailure,2,0x10000,Status:UInt32(NTStatus),Direct-Preceding
sub_1400DDAB0,0x1400dde6a,Microsoft.Windows.HyperV.StorageActivity,{C7AD62C6-5C99-5A1B-BBC4-0821AE5B765E},ActivityFailure,2,0x10000,Status:UInt32(NTStatus),Direct-Preceding
sub_1400DE2D8,0x1400de746,Microsoft.Windows.HyperV.StorageActivity,{C7AD62C6-5C99-5A1B-BBC4-0821AE5B765E},ActivityFailure,2,0x10000,Status:UInt32(NTStatus),Direct-Preceding
sub_1400E48B0,0x1400e4c83,Microsoft.Windows.HyperV.StorageActivity,{C7AD62C6-5C99-5A1B-BBC4-0821AE5B765E},ActivityFailure,2,0x10000,Status:UInt32(NTStatus),Direct-Preceding
sub_1400E54D4,0x1400e56ac,Microsoft.Windows.HyperV.StorageActivity,{C7AD62C6-5C99-5A1B-BBC4-0821AE5B765E},ActivityFailure,2,0x10000,Status:UInt32(NTStatus),Direct-Preceding
sub_1400E6E74,0x1400e70a6,Microsoft.Windows.HyperV.StorageActivity,{C7AD62C6-5C99-5A1B-BBC4-0821AE5B765E},ActivityFailure,2,0x10000,Status:UInt32(NTStatus),Direct-Preceding
